pair,func,dim,n_reps,evo_wins,base_wins,ties,base_mean,evo_mean,base_std,evo_std,wilcoxon_stat,p_value,significant_005
SMCO_BR_vs_SMCO_BR_EVO,Ackley,2,100,42,41,17,22.25266761935612,22.25148992628553,0.034296623206082615,0.03835073940541248,1709.0,0.8773222918564949,0
SMCO_BR_vs_SMCO_BR_EVO,Ackley,10,100,51,36,13,22.145492645969824,22.151891875491742,0.032184889979567616,0.03394631637873609,1523.0,0.09795202392256848,0
SMCO_BR_vs_SMCO_BR_EVO,Ackley,50,30,30,0,0,22.072395825116377,22.183912578877013,0.013492222810919682,0.026095626590454165,0.0,1.862645149230957e-09,1
SMCO_BR_vs_SMCO_BR_EVO,Ackley,200,10,10,0,0,21.975188629743023,22.1698491590414,0.03196973790661891,0.01710196794625787,0.0,0.001953125,1
SMCO_BR_vs_SMCO_BR_EVO,DixonPrice,10,100,49,51,0,2104852.6074710563,2106720.334368104,58128.25055862883,58527.779946843024,2491.0,0.9069368853915614,0
SMCO_BR_vs_SMCO_BR_EVO,Griewank,2,100,45,41,14,180.5667886098329,180.55605055733176,0.8092826742526061,0.8334203803538422,1861.0,0.9673700600649553,0
SMCO_BR_vs_SMCO_BR_EVO,Griewank,10,100,46,54,0,872.1499778829162,871.8595780569663,5.33379758297346,5.1436368146251485,2224.0,0.3006989045676194,0
SMCO_BR_vs_SMCO_BR_EVO,Griewank,50,30,17,13,0,4161.502242656982,4161.803256780636,19.32031629466903,19.216465946476223,222.0,0.8393927440047264,0
SMCO_BR_vs_SMCO_BR_EVO,Griewank,200,10,4,6,0,15578.70217706977,15576.367334504388,85.07931678052869,89.43614058904788,23.0,0.6953125,0
SMCO_BR_vs_SMCO_BR_EVO,Michalewicz,2,100,42,45,13,-1.2061562272282222e-58,-1.3332303346025312e-57,9.670675418337458e-58,9.244966280782908e-57,1720.0,0.41159866564421355,0
SMCO_BR_vs_SMCO_BR_EVO,Michalewicz,10,100,39,58,3,-9.70292766903717e-32,-1.5365959824911233e-29,8.568799906903653e-31,1.4961037884163902e-28,1655.0,0.00942815187052187,1
SMCO_BR_vs_SMCO_BR_EVO,Michalewicz,50,30,13,17,0,-2.944480251657575e-19,-2.8130258475549247e-20,1.6052725079320842e-18,1.076663310421985e-19,195.0,0.4521643426269293,0
SMCO_BR_vs_SMCO_BR_EVO,Qing,10,100,45,55,0,586044053956.6036,585629679144.5173,7089645354.98461,6838660284.873286,2204.0,0.26972230853401546,0
SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,2,100,48,50,2,80.70615662283413,80.706164398317,0.0005185904697652643,0.00047060071258834917,2391.0,0.9026983316939798,0
SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,10,100,54,46,0,381.42697815029277,382.3156560776643,11.167704988746507,10.22426951590732,2267.0,0.37503162666521384,0
SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,50,30,12,18,0,1714.4801784393044,1712.3182716711403,28.752643342573297,29.115613014305538,181.0,0.2988441474735737,0
SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,200,10,4,6,0,6361.405096932282,6360.889805127879,92.64390411243812,92.24683207345774,18.0,0.375,0
SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,2,100,57,37,6,1061717.2484793565,1080188.9346364217,172546.37295723616,79954.09018570998,1654.0,0.029147517636115765,1
SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,10,100,45,55,0,5914284.850647721,5905863.965489033,548459.664222233,551070.5628000076,2025.0,0.08558480118974492,0
SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,50,30,15,15,0,25257153.760523695,25266864.95369458,943803.6183489403,935788.2736543079,213.0,0.7000329215079546,0
SMCO_BR_vs_SMCO_BR_EVO,Zakharov,10,100,49,51,0,5191240827.079428,5187725885.772758,122459077.29551092,123163607.70115255,2303.0,0.44527966341666914,0
SMCO_R_vs_SMCO_R_EVO,Ackley,2,100,44,36,20,22.24676481715858,22.250113068756846,0.041133295380826274,0.038751420484529564,1412.0,0.3184599064692759,0
SMCO_R_vs_SMCO_R_EVO,Ackley,10,100,28,52,20,22.148787704234056,22.13881195126055,0.03182493370226273,0.038709468504199304,987.0,0.0023969977646286452,1
SMCO_R_vs_SMCO_R_EVO,Ackley,50,30,30,0,0,22.074412344857198,22.15098154977112,0.01665023487068719,0.03382777617881324,0.0,1.862645149230957e-09,1
SMCO_R_vs_SMCO_R_EVO,Ackley,200,10,10,0,0,21.954004355923583,22.11920014131754,0.026772567787665357,0.03921380665080651,0.0,0.001953125,1
SMCO_R_vs_SMCO_R_EVO,DixonPrice,10,100,53,47,0,2186850.2959596594,2187672.765969131,54874.361685302465,54068.05896053192,2312.0,0.4639469189039841,0
