experiment,func,dim,elimination_rate,evolution_points,rep,fopt
4,Rastrigin,10,0.1,"(0.5,)",0,371.3624391388082
4,Rastrigin,10,0.1,"(0.5,)",1,377.3832734879798
4,Rastrigin,10,0.1,"(0.5,)",2,369.3466494979565
4,Rastrigin,10,0.1,"(0.5,)",3,385.4347867558598
4,Rastrigin,10,0.1,"(0.5,)",4,387.4422105511234
4,Rastrigin,10,0.1,"(0.5,)",5,379.39887804726095
4,Rastrigin,10,0.1,"(0.5,)",6,385.4296982794847
4,Rastrigin,10,0.1,"(0.5,)",7,357.2938623360459
4,Rastrigin,10,0.1,"(0.5,)",8,375.3754375341593
4,Rastrigin,10,0.1,"(0.5,)",9,379.3947062964785
4,Rastrigin,10,0.1,"(0.5,)",10,403.51874412264465
4,Rastrigin,10,0.1,"(0.5,)",11,389.4527855323677
4,Rastrigin,10,0.1,"(0.5,)",12,373.3703440476349
4,Rastrigin,10,0.1,"(0.5,)",13,377.3893982835351
4,Rastrigin,10,0.1,"(0.5,)",14,371.36034498069796
4,Rastrigin,10,0.1,"(0.5,)",15,395.4764371255313
4,Rastrigin,10,0.1,"(0.5,)",16,389.443782074424
4,Rastrigin,10,0.1,"(0.5,)",17,371.36236773306746
4,Rastrigin,10,0.1,"(0.5,)",18,403.50973040285174
4,Rastrigin,10,0.1,"(0.5,)",19,363.3224225960281
4,Rastrigin,10,0.1,"(0.5,)",20,395.482932075314
4,Rastrigin,10,0.1,"(0.5,)",21,387.44022433800325
4,Rastrigin,10,0.1,"(0.5,)",22,387.4470777453192
4,Rastrigin,10,0.1,"(0.5,)",23,373.36587017641455
4,Rastrigin,10,0.1,"(0.5,)",24,395.483949519783
4,Rastrigin,10,0.1,"(0.5,)",25,379.3982430416277
4,Rastrigin,10,0.1,"(0.5,)",26,377.382899686169
4,Rastrigin,10,0.1,"(0.5,)",27,385.4276463999547
4,Rastrigin,10,0.1,"(0.5,)",28,371.36089222199905
4,Rastrigin,10,0.1,"(0.5,)",29,395.4828306267822
4,Rastrigin,10,0.1,"(0.5, 0.75)",0,363.32047303983927
4,Rastrigin,10,0.1,"(0.5, 0.75)",1,345.22513962841816
4,Rastrigin,10,0.1,"(0.5, 0.75)",2,403.5142782198429
4,Rastrigin,10,0.1,"(0.5, 0.75)",3,389.4530620948325
4,Rastrigin,10,0.1,"(0.5, 0.75)",4,395.4761963462728
4,Rastrigin,10,0.1,"(0.5, 0.75)",5,375.37820353537876
4,Rastrigin,10,0.1,"(0.5, 0.75)",6,381.410072424271
4,Rastrigin,10,0.1,"(0.5, 0.75)",7,403.5223235623636
