strategy,dim_groups,algo,func,dim,rep,fopt,time,iterations,seed
rand1bin,1,SMCO_BR_EVO,Rosenbrock,5000,0,-78018.14029903682,10457.649753837846,221,645967753
best1bin,8,SMCO_BR_EVO,Rosenbrock,5000,0,-77846.4904312962,10591.344499504194,221,645967753
best1bin,4,SMCO_BR_EVO,Rosenbrock,5000,0,-78324.30267814768,10603.002939713188,221,645967753
rand1bin,8,SMCO_BR_EVO,Rosenbrock,5000,0,-77944.71863810552,11720.430566286668,221,645967753
best1bin,8,SMCO_R_EVO,Rosenbrock,5000,0,-1150.2349130293028,14083.995707578957,371,645967753
best1bin,4,SMCO_EVO,Rosenbrock,5000,0,-1060.406734699683,15512.670014469884,371,645967753
rand1bin,4,SMCO_R_EVO,Rosenbrock,5000,0,-1467.4591403191962,16331.063289323822,371,645967753
rand1bin,1,SMCO_EVO,Rosenbrock,5000,1,-1093.7934172939667,17155.225905954838,371,551607445
best1bin,8,SMCO_EVO,Rosenbrock,5000,0,-1142.62337261819,17190.700324005447,371,645967753
rand1bin,2,SMCO_EVO,Rosenbrock,5000,1,-1150.7468196864902,17458.51208454091,371,551607445
best1bin,2,SMCO_BR_EVO,Rosenbrock,5000,0,-77819.04444551267,17571.95637320634,221,645967753
best1bin,2,SMCO_EVO,Rosenbrock,5000,0,-1063.6477160222048,17660.65641888976,371,645967753
rand1bin,8,SMCO_R_EVO,Rosenbrock,5000,0,-1363.8427201443135,17732.05241796188,371,645967753
rand1bin,1,SMCO_R_EVO,Rosenbrock,5000,0,-1390.5179453160958,17977.63373167813,371,645967753
rand1bin,2,SMCO_EVO,Rosenbrock,5000,0,-1115.983626188133,18031.751893901266,371,645967753
rand1bin,1,SMCO_BR_EVO,Rosenbrock,5000,1,-76807.93899959108,18033.107660299167,221,551607445
rand1bin,8,SMCO_EVO,Rosenbrock,5000,0,-1094.9437337032055,18226.732226348482,371,645967753
best1bin,4,SMCO_R_EVO,Rosenbrock,5000,0,-926.4407722320332,18246.633870814927,371,645967753
rand1bin,1,SMCO_EVO,Rosenbrock,5000,0,-1063.9755449470667,18452.33661757596,371,645967753
best1bin,1,SMCO_EVO,Rosenbrock,5000,0,-1070.2906644149969,18478.735984789208,371,645967753
rand1bin,4,SMCO_EVO,Rosenbrock,5000,0,-1134.2712469502776,18602.544184283353,371,645967753
rand1bin,2,SMCO_R_EVO,Rosenbrock,5000,0,-1072.8497949187208,18945.27705987543,371,645967753
rand1bin,1,SMCO_R_EVO,Rosenbrock,5000,1,-1334.117585802922,19130.682189764455,371,551607445
rand1bin,4,SMCO_BR_EVO,Rosenbrock,5000,0,-78195.95908775859,19143.229362561367,221,645967753
best1bin,1,SMCO_R_EVO,Rosenbrock,5000,0,-1358.1027164695302,19177.67604235653,371,645967753
rand1bin,2,SMCO_BR_EVO,Rosenbrock,5000,0,-78284.38838256603,19197.17949558515,221,645967753
best1bin,1,SMCO_BR_EVO,Rosenbrock,5000,0,-77929.02362060329,19361.529536268674,221,645967753
rand1bin,4,SMCO_EVO,Rosenbrock,5000,1,-1061.6347789894912,8775.308466902934,371,551607445
best1bin,2,SMCO_R_EVO,Rosenbrock,5000,0,-1239.7708953999932,19501.270566381514,371,645967753
rand1bin,2,SMCO_R_EVO,Rosenbrock,5000,1,-1344.4431678186786,9086.4610598078,371,551607445
rand1bin,2,SMCO_BR_EVO,Rosenbrock,5000,1,-76772.63340487078,9023.187856698409,221,551607445
rand1bin,4,SMCO_R_EVO,Rosenbrock,5000,1,-1263.0569342095869,9282.998857712373,371,551607445
rand1bin,8,SMCO_EVO,Rosenbrock,5000,1,-1094.496530885547,8775.872375086881,371,551607445
rand1bin,4,SMCO_BR_EVO,Rosenbrock,5000,1,-76409.04197552946,10637.748081120662,221,551607445
best1bin,1,SMCO_EVO,Rosenbrock,5000,1,-1054.2536350273463,8835.518580083735,371,551607445
best1bin,2,SMCO_EVO,Rosenbrock,5000,1,-1074.5122927874424,8645.351627307013,371,551607445
rand1bin,8,SMCO_BR_EVO,Rosenbrock,5000,1,-76860.4206468369,9242.786780412309,221,551607445
best1bin,4,SMCO_EVO,Rosenbrock,5000,1,-1071.6799871974858,8665.59732544329,371,551607445
rand1bin,8,SMCO_R_EVO,Rosenbrock,5000,1,-1148.0571462926123,10366.891209797934,371,551607445
best1bin,2,SMCO_R_EVO,Rosenbrock,5000,1,-1312.4925226790244,9003.7404344948,371,551607445
best1bin,1,SMCO_BR_EVO,Rosenbrock,5000,1,-76007.39212175892,9176.077453801408,221,551607445
best1bin,2,SMCO_BR_EVO,Rosenbrock,5000,1,-76435.79902835518,8787.779578442685,221,551607445
best1bin,1,SMCO_R_EVO,Rosenbrock,5000,1,-1231.240912166883,9377.574803117663,371,551607445
best1bin,4,SMCO_R_EVO,Rosenbrock,5000,1,-1365.7168441082742,8814.819809739478,371,551607445
best1bin,4,SMCO_BR_EVO,Rosenbrock,5000,1,-76279.71707125545,8746.082996563055,221,551607445
best1bin,8,SMCO_EVO,Rosenbrock,5000,1,-1067.6251933992864,8758.573742599227,371,551607445
best1bin,8,SMCO_R_EVO,Rosenbrock,5000,1,-1355.574391123835,8576.431777479127,371,551607445
best1bin,8,SMCO_BR_EVO,Rosenbrock,5000,1,-76576.40994091865,8628.465044437908,221,551607445
