strategy,dim_groups,algo,func,dim,rep,fopt,time,iterations,seed
best1bin,4,SMCO_BR_EVO,Rastrigin,1000,1,29229.234835937255,548.4319663031492,182,802871722
best1bin,2,SMCO_BR_EVO,Rastrigin,1000,0,29122.555311198303,639.7405454660766,182,1992977623
best1bin,2,SMCO_EVO,Rastrigin,1000,2,28921.667704951244,651.0442245921586,332,986617303
best1bin,1,SMCO_BR_EVO,Rastrigin,1000,0,29122.68358478134,661.3364600751083,182,1992977623
best1bin,8,SMCO_BR_EVO,Rastrigin,1000,2,28937.384117353482,668.4543940820731,182,986617303
best1bin,8,SMCO_R_EVO,Rastrigin,1000,0,29135.99786088893,675.3058641371317,332,1992977623
best1bin,4,SMCO_EVO,Rastrigin,1000,2,28920.788628517643,725.053417168092,332,986617303
best1bin,2,SMCO_R_EVO,Rastrigin,1000,2,28949.078371461394,734.5708745541051,332,986617303
best1bin,2,SMCO_EVO,Rastrigin,1000,0,29108.560646299928,738.176609240938,332,1992977623
best1bin,4,SMCO_R_EVO,Rastrigin,1000,2,28949.056407382952,813.6872710341122,332,986617303
best1bin,8,SMCO_BR_EVO,Rastrigin,1000,0,29125.07216953401,816.6647683829069,182,1992977623
best1bin,8,SMCO_BR_EVO,Rastrigin,1000,1,29227.801032663156,821.8607880740892,182,802871722
best1bin,1,SMCO_EVO,Rastrigin,1000,1,29211.502425392904,829.799774952,332,802871722
best1bin,1,SMCO_EVO,Rastrigin,1000,3,29278.11114002987,839.9367718868889,332,172460067
best1bin,1,SMCO_EVO,Rastrigin,1000,0,29108.52593224227,848.3587783831172,332,1992977623
best1bin,2,SMCO_EVO,Rastrigin,1000,3,29278.537970101323,882.3963197551202,332,172460067
best1bin,8,SMCO_EVO,Rastrigin,1000,1,29212.415167208288,886.4581016339362,332,802871722
best1bin,2,SMCO_BR_EVO,Rastrigin,1000,1,29227.08403871899,900.4619725539815,182,802871722
best1bin,4,SMCO_EVO,Rastrigin,1000,1,29213.15339603674,927.7917507928796,332,802871722
best1bin,1,SMCO_R_EVO,Rastrigin,1000,3,29306.836491161797,945.0655897238757,332,172460067
best1bin,4,SMCO_BR_EVO,Rastrigin,1000,2,28936.446027374484,951.161091750022,182,986617303
best1bin,8,SMCO_R_EVO,Rastrigin,1000,1,29240.559508551072,959.6200949591585,332,802871722
best1bin,8,SMCO_EVO,Rastrigin,1000,2,28921.619232368,965.1046446489636,332,986617303
best1bin,4,SMCO_R_EVO,Rastrigin,1000,1,29240.565801809225,970.0218175069895,332,802871722
best1bin,4,SMCO_EVO,Rastrigin,1000,0,29109.10619248965,984.3281542081386,332,1992977623
best1bin,1,SMCO_R_EVO,Rastrigin,1000,2,28949.04784350899,992.1021442380734,332,986617303
best1bin,8,SMCO_R_EVO,Rastrigin,1000,2,28949.156926558317,992.6926558250561,332,986617303
best1bin,2,SMCO_R_EVO,Rastrigin,1000,0,29135.94141073367,1003.7622491270304,332,1992977623
best1bin,8,SMCO_EVO,Rastrigin,1000,0,29107.50966839491,1024.0600231688004,332,1992977623
best1bin,2,SMCO_EVO,Rastrigin,1000,1,29212.03219548426,1024.3846377539448,332,802871722
best1bin,1,SMCO_R_EVO,Rastrigin,1000,1,29240.618209353604,1028.8180729150772,332,802871722
best1bin,4,SMCO_R_EVO,Rastrigin,1000,0,29135.975534062265,1029.8710588528775,332,1992977623
best1bin,1,SMCO_EVO,Rastrigin,1000,2,28920.67013150554,1030.6009475199971,332,986617303
best1bin,2,SMCO_R_EVO,Rastrigin,1000,1,29240.487881180066,1038.817506043939,332,802871722
best1bin,1,SMCO_BR_EVO,Rastrigin,1000,2,28937.26075646177,1041.0804271609522,182,986617303
best1bin,1,SMCO_BR_EVO,Rastrigin,1000,1,29227.545358141666,1041.853293190943,182,802871722
best1bin,1,SMCO_R_EVO,Rastrigin,1000,0,29135.996164271346,1042.3620976179373,332,1992977623
best1bin,4,SMCO_BR_EVO,Rastrigin,1000,0,29123.575890572443,1047.623478586087,182,1992977623
best1bin,2,SMCO_BR_EVO,Rastrigin,1000,2,28936.34599666983,1047.979647486005,182,986617303
best1bin,1,SMCO_BR_EVO,Rastrigin,1000,3,29294.117185811952,1063.8629623639863,182,172460067
best1bin,2,SMCO_R_EVO,Rastrigin,1000,3,29306.892751794527,535.2336189551279,332,172460067
best1bin,1,SMCO_R_EVO,Rastrigin,1000,4,29057.611792918673,548.6396153201349,332,1626558576
best1bin,2,SMCO_R_EVO,Rastrigin,1000,4,29057.583728764865,535.0299336570315,332,1626558576
best1bin,1,SMCO_EVO,Rastrigin,1000,4,29028.85746920063,674.1919088969007,332,1626558576
best1bin,4,SMCO_EVO,Rastrigin,1000,4,29028.905034779964,574.6492083331104,332,1626558576
best1bin,4,SMCO_R_EVO,Rastrigin,1000,3,29306.888084596503,789.2717313859612,332,172460067
best1bin,8,SMCO_R_EVO,Rastrigin,1000,3,29306.86339260057,739.9150941029657,332,172460067
best1bin,4,SMCO_BR_EVO,Rastrigin,1000,3,29294.94872651201,864.2363319711294,182,172460067
best1bin,4,SMCO_R_EVO,Rastrigin,1000,4,29057.55767161772,771.9731738541741,332,1626558576
best1bin,8,SMCO_EVO,Rastrigin,1000,3,29277.90874661006,1027.6243810420856,332,172460067
best1bin,8,SMCO_BR_EVO,Rastrigin,1000,3,29295.71705194888,1004.6722021328751,182,172460067
best1bin,2,SMCO_BR_EVO,Rastrigin,1000,4,29048.483070102237,943.2684043829795,182,1626558576
best1bin,8,SMCO_BR_EVO,Rastrigin,1000,4,29047.7423207425,862.2831118230242,182,1626558576
best1bin,2,SMCO_BR_EVO,Rastrigin,1000,3,29294.316521344277,1182.738282296108,182,172460067
best1bin,2,SMCO_EVO,Rastrigin,1000,4,29030.359148744647,1010.8518132069148,332,1626558576
best1bin,1,SMCO_BR_EVO,Rastrigin,1000,4,29046.161041182306,1034.874919955153,182,1626558576
best1bin,4,SMCO_BR_EVO,Rastrigin,1000,4,29046.438290730923,985.9710211339407,182,1626558576
best1bin,4,SMCO_EVO,Rastrigin,1000,3,29278.79491244714,1221.735073613003,332,172460067
best1bin,8,SMCO_R_EVO,Rastrigin,1000,4,29057.546549044593,1062.1402536230162,332,1626558576
best1bin,1,SMCO_R_EVO,Ackley,1000,0,22.169960995151392,1126.8796220130753,332,1120682288
best1bin,1,SMCO_BR_EVO,Ackley,1000,1,22.172313012456762,1077.3752551840153,182,1434004311
best1bin,8,SMCO_BR_EVO,Ackley,1000,0,22.175380608190494,1128.7058307600673,182,1120682288
best1bin,8,SMCO_EVO,Rastrigin,1000,4,29030.476507803607,1321.0380387909245,332,1626558576
best1bin,2,SMCO_EVO,Ackley,1000,0,22.111525575277383,1334.7090330009814,332,1120682288
best1bin,1,SMCO_BR_EVO,Ackley,1000,0,22.196987126037108,1362.9750946490094,182,1120682288
best1bin,2,SMCO_BR_EVO,Ackley,1000,0,22.167776899324227,1339.9567970389035,182,1120682288
best1bin,4,SMCO_BR_EVO,Ackley,1000,1,22.164524382354383,1312.0173582530115,182,1434004311
best1bin,1,SMCO_EVO,Ackley,1000,0,22.10802626422429,1462.3905316819437,332,1120682288
best1bin,1,SMCO_EVO,Ackley,1000,1,22.094171231370392,1389.239714516094,332,1434004311
best1bin,4,SMCO_R_EVO,Ackley,1000,0,22.153863994263997,1434.7592972321436,332,1120682288
best1bin,4,SMCO_EVO,Ackley,1000,0,22.084420177348754,1470.7156043970026,332,1120682288
best1bin,4,SMCO_EVO,Ackley,1000,1,22.104184588506406,1432.856841766974,332,1434004311
best1bin,8,SMCO_EVO,Ackley,1000,0,22.094611891827753,1471.0727369859815,332,1120682288
best1bin,4,SMCO_R_EVO,Ackley,1000,1,22.149242850972477,1458.7921531070024,332,1434004311
best1bin,2,SMCO_R_EVO,Ackley,1000,0,22.165717907079454,1551.5478623539675,332,1120682288
best1bin,1,SMCO_R_EVO,Ackley,1000,2,22.164461988999903,1088.1497573298402,332,531629005
best1bin,2,SMCO_EVO,Ackley,1000,1,22.106547185018478,1519.0410467509646,332,1434004311
best1bin,1,SMCO_EVO,Ackley,1000,2,22.09776900144307,1139.1852736859582,332,531629005
best1bin,8,SMCO_R_EVO,Ackley,1000,0,22.141213852808935,1537.7763558919542,332,1120682288
best1bin,4,SMCO_BR_EVO,Ackley,1000,0,22.16674364025066,1545.7006117610727,182,1120682288
best1bin,2,SMCO_R_EVO,Ackley,1000,1,22.14758872393778,1588.2852400110569,332,1434004311
best1bin,2,SMCO_BR_EVO,Ackley,1000,1,22.17072663303539,1613.8345936890692,182,1434004311
best1bin,1,SMCO_R_EVO,Ackley,1000,1,22.146894764154887,1657.5483351331204,332,1434004311
best1bin,4,SMCO_EVO,Ackley,1000,2,22.097547172464697,962.7203929568641,332,531629005
best1bin,8,SMCO_EVO,Ackley,1000,1,22.100805166706618,1344.2850987650454,332,1434004311
