strategy,dim_groups,algo,func,dim,rep,fopt,time,iterations,seed
best1bin,1000,SMCO_EVO,Rosenbrock,1000,1,463416547.033254,291.68885179492645,332,543623709
best1bin,1000,SMCO_R_EVO,Rosenbrock,1000,2,426548856.2537868,294.6236198528204,332,1350984772
best1bin,1000,SMCO_EVO,Rosenbrock,1000,3,466199490.74849623,476.02699468587525,332,1782911400
best1bin,1000,SMCO_R_EVO,Rosenbrock,1000,0,419967201.89757365,476.32783842482604,332,1738798582
best1bin,1000,SMCO_R_EVO,Rosenbrock,1000,1,423028698.80345696,492.76370181306265,332,543623709
best1bin,1000,SMCO_BR_EVO,Rosenbrock,1000,2,367849624.10299313,545.4537369131576,182,1350984772
best1bin,1000,SMCO_EVO,Rosenbrock,1000,2,465586505.1456766,611.8846153221093,332,1350984772
best1bin,1000,SMCO_BR_EVO,Rosenbrock,1000,0,355422608.0061809,617.1001048290636,182,1738798582
best1bin,1000,SMCO_EVO,Rosenbrock,1000,0,459384721.3579284,657.5578452839982,332,1738798582
best1bin,1000,SMCO_BR_EVO,Rosenbrock,1000,1,353722545.69861794,690.7175476730336,182,543623709
best1bin,1000,SMCO_EVO,Rastrigin,1000,1,29212.70266314262,708.6712304269895,332,802871722
best1bin,1000,SMCO_BR_EVO,Rastrigin,1000,1,29228.233791575192,789.4862357280217,182,802871722
best1bin,1000,SMCO_BR_EVO,Rastrigin,1000,3,29295.37991355779,801.3650129728485,182,172460067
best1bin,1000,SMCO_R_EVO,Rosenbrock,1000,3,424458603.9626049,518.7621143129654,332,1782911400
best1bin,1000,SMCO_EVO,Rastrigin,1000,2,28922.633295228043,815.5180837390944,332,986617303
best1bin,1000,SMCO_EVO,Rastrigin,1000,0,29108.131703716193,834.4228827988263,332,1992977623
best1bin,1000,SMCO_R_EVO,Rosenbrock,1000,4,419153507.8699988,377.6466597148683,332,547454240
best1bin,1000,SMCO_BR_EVO,Rosenbrock,1000,3,358623075.75845194,564.7136656970251,182,1782911400
best1bin,1000,SMCO_R_EVO,Rastrigin,1000,1,29240.50214588864,863.1190691799857,332,802871722
best1bin,1000,SMCO_BR_EVO,Rastrigin,1000,0,29122.628193867706,893.8890060649719,182,1992977623
best1bin,1000,SMCO_R_EVO,Rastrigin,1000,3,29306.816546700033,903.9989637651015,332,172460067
