strategy,dim_groups,algo,func,dim,rep,fopt,time,iterations,seed
rand1bin,1000,SMCO_EVO,Rosenbrock,1000,2,465588174.7705834,510.88107559178025,332,1350984772
rand1bin,1000,SMCO_BR_EVO,Rosenbrock,1000,2,355128367.99092615,525.7514261249453,182,1350984772
rand1bin,1000,SMCO_R_EVO,Rosenbrock,1000,2,426642098.29252654,527.118778702803,332,1350984772
rand1bin,1000,SMCO_R_EVO,Rosenbrock,1000,1,422873508.7850511,527.8325373092666,332,543623709
rand1bin,1000,SMCO_BR_EVO,Rosenbrock,1000,1,351372916.3188508,541.2837422210723,182,543623709
rand1bin,1000,SMCO_EVO,Rosenbrock,1000,1,463417405.639612,588.2352099427953,332,543623709
rand1bin,1000,SMCO_EVO,Rosenbrock,1000,0,459619822.21061826,589.779825608246,332,1738798582
rand1bin,1000,SMCO_BR_EVO,Rosenbrock,1000,0,353321295.9263147,590.3977541988716,182,1738798582
rand1bin,1000,SMCO_R_EVO,Rosenbrock,1000,0,419973871.4100107,600.47563418746,332,1738798582
rand1bin,1000,SMCO_EVO,Rosenbrock,1000,3,466060326.7579393,605.0597492717206,332,1782911400
rand1bin,1000,SMCO_EVO,Rastrigin,1000,3,29279.43416245117,892.9242830900475,332,172460067
rand1bin,1000,SMCO_BR_EVO,Rastrigin,1000,4,29047.067959166983,902.0621579336002,182,1626558576
rand1bin,1000,SMCO_R_EVO,Rastrigin,1000,3,29306.823460886684,904.612095175311,332,172460067
rand1bin,1000,SMCO_R_EVO,Rastrigin,1000,0,29136.057775924848,909.4478925727308,332,1992977623
rand1bin,1000,SMCO_EVO,Rastrigin,1000,0,29108.0058244443,918.8387649459764,332,1992977623
rand1bin,1000,SMCO_EVO,Rastrigin,1000,4,29029.221676267916,929.1263613905758,332,1626558576
rand1bin,1000,SMCO_BR_EVO,Rastrigin,1000,0,29123.92417921599,951.7638135254383,182,1992977623
rand1bin,1000,SMCO_R_EVO,Rosenbrock,1000,4,419053181.1990791,436.1907114451751,332,547454240
rand1bin,1000,SMCO_BR_EVO,Rastrigin,1000,3,29296.693955288938,972.2053680606186,182,172460067
rand1bin,1000,SMCO_EVO,Rosenbrock,1000,4,462742595.1569718,449.89726177975535,332,547454240
rand1bin,1000,SMCO_EVO,Rastrigin,1000,2,28920.869153870444,981.5954915219918,332,986617303
rand1bin,1000,SMCO_BR_EVO,Rosenbrock,1000,4,356772794.2836505,443.71738047525287,182,547454240
rand1bin,1000,SMCO_R_EVO,Rastrigin,1000,4,29057.623200689588,985.3559485645965,332,1626558576
rand1bin,1000,SMCO_BR_EVO,Rosenbrock,1000,3,360018163.9287578,470.690546724014,182,1782911400
rand1bin,1000,SMCO_R_EVO,Rastrigin,1000,1,29240.44026372116,1003.4531729249284,332,802871722
rand1bin,1000,SMCO_R_EVO,Rosenbrock,1000,3,424515747.51231647,493.07503319811076,332,1782911400
rand1bin,1000,SMCO_EVO,Rastrigin,1000,1,29212.841282007146,1020.7343239681795,332,802871722
rand1bin,1000,SMCO_R_EVO,Rastrigin,1000,2,28948.990978484653,1024.3658220730722,332,986617303
rand1bin,1000,SMCO_BR_EVO,Rastrigin,1000,2,28938.907413011086,1031.4105399539694,182,986617303
