strategy,dim_groups,algo,func,dim,rep,fopt,time,iterations,seed
rand1bin,1,SMCO_EVO,Rastrigin,1000,1,29212.469100269736,868.6331758620217,332,802871722
rand1bin,8,SMCO_EVO,Rastrigin,1000,0,29108.998500111884,874.5434829620644,332,1992977623
rand1bin,4,SMCO_EVO,Rastrigin,1000,0,29107.128970417434,876.8285779580474,332,1992977623
rand1bin,2,SMCO_EVO,Rastrigin,1000,0,29107.817906985198,878.3664536671713,332,1992977623
rand1bin,8,SMCO_R_EVO,Rastrigin,1000,0,29136.0021155867,880.6784110935405,332,1992977623
rand1bin,1,SMCO_R_EVO,Rastrigin,1000,3,29306.848741592083,885.1353261517361,332,172460067
rand1bin,2,SMCO_R_EVO,Rastrigin,1000,0,29136.07916649187,887.4401457691565,332,1992977623
rand1bin,1,SMCO_R_EVO,Rastrigin,1000,1,29240.49708325084,902.7341244183481,332,802871722
rand1bin,4,SMCO_R_EVO,Rastrigin,1000,1,29240.50840600401,903.3335441555828,332,802871722
rand1bin,2,SMCO_BR_EVO,Rastrigin,1000,2,28937.719688117566,905.3949726819992,182,986617303
rand1bin,1,SMCO_R_EVO,Rastrigin,1000,0,29135.98300880287,914.4298527948558,332,1992977623
rand1bin,4,SMCO_BR_EVO,Rastrigin,1000,1,29227.78752246731,917.0406485535204,182,802871722
rand1bin,4,SMCO_R_EVO,Rastrigin,1000,0,29136.056358765953,920.8898761924356,332,1992977623
rand1bin,1,SMCO_EVO,Rastrigin,1000,0,29108.53315822273,925.9776307996362,332,1992977623
rand1bin,1,SMCO_BR_EVO,Rastrigin,1000,3,29295.402694656324,933.0705797476694,182,172460067
rand1bin,1,SMCO_BR_EVO,Rastrigin,1000,2,28935.446727994215,938.7897838782519,182,986617303
rand1bin,1,SMCO_EVO,Rastrigin,1000,3,29278.340524923056,943.2503056209534,332,172460067
rand1bin,8,SMCO_R_EVO,Rastrigin,1000,1,29240.545842579777,944.4132132334635,332,802871722
