strategy,start_fraction,n_starts,algo,func,dim,rep,fopt,time,iterations,seed
rand1bin,1/2,16,SMCO_EVO,Rastrigin,1000,2,31145.529465631167,442.484633307904,316,986617303
rand1bin,1/2,16,SMCO_EVO,Rastrigin,1000,1,31223.950485984547,451.1770424360875,316,802871722
rand1bin,1/2,16,SMCO_R_EVO,Rastrigin,1000,0,31334.83749996748,451.5147767770104,316,1992977623
rand1bin,1/2,16,SMCO_R_EVO,Rastrigin,1000,1,31266.42241438056,451.56103301397525,316,802871722
rand1bin,1/2,16,SMCO_BR_EVO,Rastrigin,1000,0,31299.67867143613,456.1003557438962,166,1992977623
rand1bin,1/2,16,SMCO_EVO,Rastrigin,1000,0,31291.326076060985,484.24085836904123,316,1992977623
rand1bin,1/2,16,SMCO_R_EVO,Rastrigin,1000,3,31320.722708228255,493.61226957896724,316,172460067
rand1bin,1/2,16,SMCO_EVO,Rastrigin,1000,3,31286.387776509244,494.9173307439778,316,172460067
rand1bin,1/2,16,SMCO_R_EVO,Rastrigin,1000,2,31171.961636744276,502.0165314069018,316,986617303
rand1bin,1/2,16,SMCO_BR_EVO,Rastrigin,1000,3,31280.804207902263,507.23937403410673,166,172460067
rand1bin,1/2,16,SMCO_BR_EVO,Rastrigin,1000,2,31142.110506174475,514.0060848749708,166,986617303
rand1bin,1/2,16,SMCO_BR_EVO,Rastrigin,1000,1,31228.825656359564,517.6619434140157,166,802871722
rand1bin,2/3,21,SMCO_R_EVO,Rastrigin,1000,1,29849.49841154302,606.4361030138098,321,802871722
rand1bin,2/3,21,SMCO_BR_EVO,Rastrigin,1000,1,29869.369727171354,621.3880356799345,171,802871722
rand1bin,2/3,21,SMCO_BR_EVO,Rastrigin,1000,2,29640.00948669608,623.4209664128721,171,986617303
rand1bin,2/3,21,SMCO_EVO,Rastrigin,1000,3,29919.96698123601,625.1873145028949,321,172460067
rand1bin,2/3,21,SMCO_BR_EVO,Rastrigin,1000,0,29832.316252300043,625.2754183469806,171,1992977623
rand1bin,2/3,21,SMCO_EVO,Rastrigin,1000,0,29855.00984405529,630.4152015559375,321,1992977623
rand1bin,2/3,21,SMCO_EVO,Rastrigin,1000,1,29843.861905991173,642.8440896018874,321,802871722
rand1bin,2/3,21,SMCO_EVO,Rastrigin,1000,2,29632.459863830543,646.3461952849757,321,986617303
rand1bin,2/3,21,SMCO_R_EVO,Rastrigin,1000,2,29658.552067705783,646.6776198998559,321,986617303
rand1bin,2/3,21,SMCO_R_EVO,Rastrigin,1000,0,29859.63687397162,647.9741359499749,321,1992977623
rand1bin,3/4,24,SMCO_R_EVO,Rastrigin,1000,2,29133.958354397208,679.5304095791653,324,986617303
rand1bin,3/4,24,SMCO_EVO,Rastrigin,1000,2,29104.400079912542,680.6388290869072,324,986617303
rand1bin,3/4,24,SMCO_R_EVO,Rastrigin,1000,1,29407.284000093245,686.9064323329367,324,802871722
rand1bin,3/4,24,SMCO_EVO,Rastrigin,1000,1,29377.60140528293,716.0839670931455,324,802871722
rand1bin,3/4,24,SMCO_R_EVO,Rastrigin,1000,0,29268.65724717552,723.3947284070309,324,1992977623
rand1bin,3/4,24,SMCO_EVO,Rastrigin,1000,0,29238.75865230246,723.6636595299933,324,1992977623
rand1bin,3/4,24,SMCO_BR_EVO,Rastrigin,1000,1,29389.779865371864,723.7885264400393,174,802871722
rand1bin,4/5,25,SMCO_R_EVO,Rastrigin,1000,0,29222.404859947143,733.3952275181655,325,1992977623
rand1bin,4/5,25,SMCO_BR_EVO,Rastrigin,1000,0,29204.98611524933,735.6026701598894,175,1992977623
rand1bin,4/5,25,SMCO_BR_EVO,Rastrigin,1000,1,29355.126830709938,735.9574409869965,175,802871722
rand1bin,4/5,25,SMCO_EVO,Rastrigin,1000,0,29192.169630066677,737.3366363181267,325,1992977623
rand1bin,3/4,24,SMCO_BR_EVO,Rastrigin,1000,0,29249.965321543357,746.6000027130358,174,1992977623
rand1bin,4/5,25,SMCO_R_EVO,Rastrigin,1000,2,29079.682011001794,759.9708586919587,325,986617303
rand1bin,4/5,25,SMCO_EVO,Rastrigin,1000,1,29343.586920198657,770.8707212361041,325,802871722
rand1bin,4/5,25,SMCO_R_EVO,Rastrigin,1000,1,29373.188265442644,772.1325316419825,325,802871722
rand1bin,3/4,24,SMCO_BR_EVO,Rastrigin,1000,2,29115.684792390675,772.6938348510303,174,986617303
rand1bin,4/5,25,SMCO_EVO,Rastrigin,1000,2,29050.020074196327,774.1934926880058,325,986617303
rand1bin,4/5,25,SMCO_BR_EVO,Rastrigin,1000,2,29066.098205037022,795.5564831339289,175,986617303
rand1bin,1/2,16,SMCO_EVO,Rastrigin,1000,4,31257.203134485917,484.9055405079853,316,1626558576
rand1bin,1/2,16,SMCO_R_EVO,Rastrigin,1000,4,31290.5193900926,511.06033162702806,316,1626558576
rand1bin,1/2,16,SMCO_BR_EVO,Rastrigin,1000,4,31256.901561318307,530.6232967688702,166,1626558576
rand1bin,2/3,21,SMCO_R_EVO,Rastrigin,1000,3,29933.929863312143,643.8728886831086,321,172460067
rand1bin,2/3,21,SMCO_BR_EVO,Rastrigin,1000,3,29931.105146963215,660.383868472185,171,172460067
rand1bin,2/3,21,SMCO_EVO,Rastrigin,1000,4,29668.9625369701,659.0194441189524,321,1626558576
rand1bin,3/4,24,SMCO_BR_EVO,Rastrigin,1000,3,29385.4353609162,756.9168916649651,174,172460067
rand1bin,3/4,24,SMCO_EVO,Rastrigin,1000,3,29372.779180284073,769.3373403858859,324,172460067
rand1bin,3/4,24,SMCO_R_EVO,Rastrigin,1000,3,29403.34614085372,786.5099799819291,324,172460067
rand1bin,4/5,25,SMCO_EVO,Rastrigin,1000,3,29346.83070761987,807.7188809160143,325,172460067
rand1bin,2/3,21,SMCO_R_EVO,Rastrigin,1000,4,29702.73775223623,688.5122375979554,321,1626558576
rand1bin,4/5,25,SMCO_R_EVO,Rastrigin,1000,3,29377.077957708367,817.3296382769477,325,172460067
rand1bin,4/5,25,SMCO_BR_EVO,Rastrigin,1000,3,29364.112752514906,824.4191702341195,175,172460067
rand1bin,2/3,21,SMCO_BR_EVO,Rastrigin,1000,4,29695.823389970814,700.4625306138769,171,1626558576
rand1bin,1/2,16,SMCO_EVO,Ackley,1000,0,22.10485326311123,726.932732335059,316,1120682288
rand1bin,1/2,16,SMCO_R_EVO,Ackley,1000,0,22.14836757560361,728.1391482020263,316,1120682288
rand1bin,3/4,24,SMCO_R_EVO,Rastrigin,1000,4,29154.14521873718,798.9201630121097,324,1626558576
rand1bin,3/4,24,SMCO_BR_EVO,Rastrigin,1000,4,29134.988625771715,801.6120136049576,174,1626558576
rand1bin,3/4,24,SMCO_EVO,Rastrigin,1000,4,29124.29581960245,807.819684383925,324,1626558576
rand1bin,1/2,16,SMCO_BR_EVO,Ackley,1000,0,22.18247516944593,765.6364681581035,166,1120682288
rand1bin,4/5,25,SMCO_R_EVO,Rastrigin,1000,4,29133.88886109748,808.0920565179549,325,1626558576
