strategy,start_fraction,n_starts,algo,func,dim,rep,fopt,time,iterations,seed
rand1bin,1/2,35,SMCO_R_EVO,Ackley,5000,1,-0.07449199916046867,19969.20141098462,335,551607445
rand1bin,1/2,35,SMCO_R_EVO,Ackley,5000,0,-0.07437215022252319,20260.351746181026,335,645967753
rand1bin,1/2,35,SMCO_EVO,Ackley,5000,0,-0.38084057234971924,20445.69134980347,335,645967753
rand1bin,1/2,35,SMCO_EVO,Ackley,5000,1,-0.37545961745280865,20585.43960933853,335,551607445
rand1bin,1/2,35,SMCO_BR_EVO,Ackley,5000,0,-0.08177120668136384,22970.242120024748,185,645967753
rand1bin,2/3,47,SMCO_EVO,Ackley,5000,0,-0.36373519766057116,26661.786243293434,347,645967753
rand1bin,2/3,47,SMCO_R_EVO,Ackley,5000,0,-0.0736981982934144,28469.56716122944,347,645967753
rand1bin,3/4,53,SMCO_EVO,Ackley,5000,0,-0.3534282269825515,30359.78630036302,353,645967753
rand1bin,2/3,47,SMCO_BR_EVO,Ackley,5000,0,-0.0805444225986709,31220.036925054155,197,645967753
rand1bin,3/4,53,SMCO_R_EVO,Ackley,5000,0,-0.07377473121657419,32121.47919277288,353,645967753
rand1bin,4/5,56,SMCO_R_EVO,Ackley,5000,0,-0.07394284006254681,32357.265729354694,356,645967753
rand1bin,4/5,56,SMCO_EVO,Ackley,5000,0,-0.34986816175938573,33525.574871438555,356,645967753
rand1bin,3/4,53,SMCO_BR_EVO,Ackley,5000,0,-0.08004832427294106,34168.654716284946,203,645967753
rand1bin,4/5,56,SMCO_BR_EVO,Ackley,5000,0,-0.07979789627128087,37198.37029048521,206,645967753
rand1bin,1/2,35,SMCO_BR_EVO,Ackley,5000,1,-0.08212096237990751,21558.917968921363,185,551607445
rand1bin,2/3,47,SMCO_R_EVO,Ackley,5000,1,-0.07315494069365558,26614.736823888496,347,551607445
rand1bin,2/3,47,SMCO_EVO,Ackley,5000,1,-0.3623428461541569,27813.299010762013,347,551607445
rand1bin,full,71,SMCO_BR_EVO,Ackley,5000,1,-11.669221169913877,50096.48728780728,221,551607445
rand1bin,full,71,SMCO_R_EVO,Ackley,5000,0,-3.278982644809791,50128.02073151432,371,645967753
rand1bin,full,71,SMCO_EVO,Ackley,5000,1,-3.599811537054855,50176.901863344014,371,551607445
rand1bin,full,71,SMCO_BR_EVO,Ackley,5000,0,-11.728689392481208,50318.13088006526,221,645967753
rand1bin,full,71,SMCO_EVO,Ackley,5000,0,-3.6037101222856234,50631.852882816456,371,645967753
rand1bin,full,71,SMCO_R_EVO,Ackley,5000,1,-3.2825663813743557,51123.76216394175,371,551607445
rand1bin,3/4,53,SMCO_EVO,Ackley,5000,1,-0.3520951263459442,28936.7089170143,353,551607445
rand1bin,2/3,47,SMCO_BR_EVO,Ackley,5000,1,-0.08078394038953407,31489.749795068055,197,551607445
rand1bin,3/4,53,SMCO_R_EVO,Ackley,5000,1,-0.07367654388182077,25905.07982403785,353,551607445
rand1bin,4/5,56,SMCO_EVO,Ackley,5000,1,-0.35108221215989177,27335.78379938379,356,551607445
rand1bin,4/5,56,SMCO_R_EVO,Ackley,5000,1,-0.07346734419797274,27952.9192488268,356,551607445
rand1bin,3/4,53,SMCO_BR_EVO,Ackley,5000,1,-0.07970266734811249,31151.09925740864,203,551607445
rand1bin,4/5,56,SMCO_BR_EVO,Ackley,5000,1,-0.07995032798914226,31762.928806968965,206,551607445
