strategy,start_fraction,n_starts,algo,func,dim,rep,fopt,time,iterations,seed
rand1bin,2/3,47,SMCO_EVO,Rosenbrock,5000,0,-1190.37541927463,6840.698539650999,347,645967753
rand1bin,2/3,47,SMCO_BR_EVO,Rosenbrock,5000,1,-5862.341947492232,7120.868344561197,197,551607445
rand1bin,3/4,53,SMCO_EVO,Rosenbrock,5000,0,-1146.7119954853983,7906.949103815481,353,645967753
rand1bin,4/5,56,SMCO_EVO,Rosenbrock,5000,1,-1132.2361423759198,8266.194736855105,356,551607445
rand1bin,4/5,56,SMCO_R_EVO,Rosenbrock,5000,0,-325.339769784498,8677.103303813376,356,645967753
rand1bin,1/2,35,SMCO_R_EVO,Rosenbrock,5000,0,-113.36048622165065,8849.21733563859,335,645967753
rand1bin,1/2,35,SMCO_EVO,Rosenbrock,5000,0,-1260.096983238385,8889.559992221184,335,645967753
rand1bin,1/2,35,SMCO_EVO,Rosenbrock,5000,1,-1279.548426973918,9677.407964897342,335,551607445
rand1bin,1/2,35,SMCO_BR_EVO,Rosenbrock,5000,1,-986.3099756958487,9734.059779443778,185,551607445
rand1bin,1/2,35,SMCO_R_EVO,Rosenbrock,5000,1,-114.43116333036241,9756.472305035219,335,551607445
rand1bin,full,71,SMCO_EVO,Rosenbrock,5000,1,-1093.7934172939667,10148.032253274694,371,551607445
rand1bin,1/2,35,SMCO_BR_EVO,Rosenbrock,5000,0,-1047.245397428836,10271.663899198174,185,645967753
rand1bin,2/3,47,SMCO_R_EVO,Rosenbrock,5000,1,-119.48804729039993,11264.791028956883,347,551607445
rand1bin,2/3,47,SMCO_BR_EVO,Rosenbrock,5000,0,-6389.206300285694,12333.426861725748,197,645967753
rand1bin,2/3,47,SMCO_EVO,Rosenbrock,5000,1,-1192.9578885026012,13360.508753317408,347,551607445
rand1bin,2/3,47,SMCO_R_EVO,Rosenbrock,5000,0,-118.05247937724582,13541.28054458648,347,645967753
rand1bin,3/4,53,SMCO_R_EVO,Rosenbrock,5000,1,-275.63000974601744,13927.224366974086,353,551607445
rand1bin,3/4,53,SMCO_EVO,Rosenbrock,5000,1,-1144.0088161011795,14458.721343589015,353,551607445
rand1bin,3/4,53,SMCO_BR_EVO,Rosenbrock,5000,0,-10791.708526466278,14495.295177594759,203,645967753
rand1bin,4/5,56,SMCO_R_EVO,Rosenbrock,5000,1,-114.89931870015187,7727.096008067019,356,551607445
rand1bin,4/5,56,SMCO_BR_EVO,Rosenbrock,5000,1,-11437.33418664226,7660.692606699653,206,551607445
rand1bin,3/4,53,SMCO_R_EVO,Rosenbrock,5000,0,-185.68508267265287,14809.502097566612,353,645967753
rand1bin,3/4,53,SMCO_BR_EVO,Rosenbrock,5000,1,-10453.006054018137,15212.46344910562,203,551607445
rand1bin,4/5,56,SMCO_EVO,Rosenbrock,5000,0,-1133.9100865424764,15289.75329361204,356,645967753
rand1bin,4/5,56,SMCO_BR_EVO,Rosenbrock,5000,0,-11966.382930505508,16051.285182634369,206,645967753
rand1bin,full,71,SMCO_BR_EVO,Rosenbrock,5000,1,-76807.93899959108,17573.760387771763,221,551607445
rand1bin,full,71,SMCO_R_EVO,Rosenbrock,5000,0,-1390.5179453160958,18279.781468127854,371,645967753
rand1bin,full,71,SMCO_EVO,Rosenbrock,5000,0,-1063.9755449470667,18775.584268041886,371,645967753
rand1bin,full,71,SMCO_BR_EVO,Rosenbrock,5000,0,-78018.14029903682,18903.28342293389,221,645967753
rand1bin,full,71,SMCO_R_EVO,Rosenbrock,5000,1,-1334.117585802922,19144.31095422432,371,551607445
