label,name,dim,maximize,n_replications,best_opt,algo,time_avg,rMSE,AE50,AE95,AE99,fopt_mean,fopt_sd
table3_MaximumScore_d5,MaximumScore,5,True,100,0.472,SMCO,0.05960644129663706,0.06247783607008166,0.057999999999999996,0.09009999999999996,0.11001999999999999,0.41342000000000007,0.02183185514311367
table3_MaximumScore_d5,MaximumScore,5,True,100,0.472,SMCO_R,0.06121148060017731,0.061962569346340035,0.055999999999999994,0.09209999999999996,0.10804000000000001,0.41400000000000015,0.02191259035718087
table3_MaximumScore_d5,MaximumScore,5,True,100,0.472,SMCO_BR,0.06587585505971219,0.0640943055192893,0.06,0.09399999999999997,0.10801999999999999,0.4116,0.02155378520273542
table3_MaximumScore_d5,MaximumScore,5,True,100,0.472,GD,0.0005917860014596954,0.19449246772047496,0.19099999999999998,0.2521,0.26626000000000016,0.28054,0.03438328816519015
table3_MaximumScore_d5,MaximumScore,5,True,100,0.472,SignGD,0.0004692533187335357,0.19449246772047496,0.19099999999999998,0.2521,0.26626000000000016,0.28054,0.03438328816519015
table3_MaximumScore_d5,MaximumScore,5,True,100,0.472,ADAM,0.0004955730546498671,0.19449246772047496,0.19099999999999998,0.2521,0.26626000000000016,0.28054,0.03438328816519015
table3_MaximumScore_d5,MaximumScore,5,True,100,0.472,SPSA,0.0005832750612171367,0.19449246772047496,0.19099999999999998,0.2521,0.26626000000000016,0.28054,0.03438328816519015
table3_MaximumScore_d5,MaximumScore,5,True,100,0.472,optimLBFGS,0.0014206042542355135,0.19449246772047496,0.19099999999999998,0.2521,0.26626000000000016,0.28054,0.03438328816519015
table3_MaximumScore_d5,MaximumScore,5,True,100,0.472,BOBYQA,0.02713370278070215,0.19376408335911996,0.19,0.24829999999999997,0.2642800000000002,0.28125999999999995,0.034271235398765185
table3_MaximumScore_d5,MaximumScore,5,True,100,0.472,SMCO_EVO,0.06321746757952497,0.06314047830037398,0.057999999999999996,0.09209999999999996,0.11199999999999999,0.41272000000000003,0.021848921106895722
table3_MaximumScore_d5,MaximumScore,5,True,100,0.472,SMCO_R_EVO,0.0633964467101032,0.062493839696405255,0.056999999999999995,0.09009999999999996,0.10801999999999999,0.41346000000000005,0.021985955112803768
table3_MaximumScore_d5,MaximumScore,5,True,100,0.472,SMCO_BR_EVO,0.06967664919793606,0.0659014415623816,0.06,0.09619999999999997,0.10999999999999999,0.40982,0.02194224742869841
table3_MaximumScore_d5,MaximumScore,5,True,100,0.472,GenSA,0.15230249400192405,0.09695483484592192,0.09199999999999997,0.14029999999999995,0.15006,0.3791599999999999,0.028086705579384533
table3_MaximumScore_d5,MaximumScore,5,True,100,0.472,SA,0.22005758745071943,0.19287851098554237,0.188,0.24849999999999994,0.28812000000000004,0.2827,0.03716778772599258
table3_MaximumScore_d5,MaximumScore,5,True,100,0.472,DEoptim,0.45321659857057967,0.06970279764830102,0.062,0.11619999999999998,0.124,0.4072800000000001,0.026010906803248374
table3_MaximumScore_d5,MaximumScore,5,True,100,0.472,GA,0.516281279338873,0.09748989691244933,0.09299999999999997,0.13999999999999996,0.15402,0.37845999999999996,0.02760742836647595
table3_MaximumScore_d5,MaximumScore,5,True,100,0.472,PSO,0.18475753583072219,0.10659005582135696,0.10199999999999998,0.15009999999999996,0.15999999999999998,0.36944000000000005,0.02917876632142634
