experiment,algo,func,dim,rep,fopt,time,iterations,n_starts
A,SMCO_R,Rastrigin,50,0,1659.7506870797722,3.051341669051908,158,8
A,SMCO_R_EVO,Rastrigin,50,0,1649.6998636335666,3.014330985955894,308,8
A,SMCO_R,Rastrigin,50,1,1687.8771546102437,2.685692128026858,158,8
A,SMCO_R_EVO,Rastrigin,50,1,1689.87490756426,3.0845336789498106,308,8
A,SMCO_R,Rastrigin,50,2,1711.9966831166096,4.0943924359744415,158,8
A,SMCO_R_EVO,Rastrigin,50,2,1716.0287549901916,4.027105672983453,308,8
A,SMCO_R,Rastrigin,50,3,1703.9518774002258,3.7888881500111893,158,8
A,SMCO_R_EVO,Rastrigin,50,3,1691.8942537385772,3.218325769994408,308,8
A,SMCO_R,Rastrigin,50,4,1709.9943075130898,3.252207471989095,158,8
A,SMCO_R_EVO,Rastrigin,50,4,1720.0451439371252,3.699228830053471,308,8
A,SMCO_R,Rastrigin,50,5,1726.0547411109471,3.679093904909678,158,8
A,SMCO_R_EVO,Rastrigin,50,5,1732.099899854191,3.6377955839270726,308,8
A,SMCO_R,Rastrigin,50,6,1695.9204058337853,3.3438286849996075,158,8
A,SMCO_R_EVO,Rastrigin,50,6,1699.9450684416872,3.5833695880137384,308,8
A,SMCO_R,Rastrigin,50,7,1679.834908419352,3.683365402976051,158,8
A,SMCO_R_EVO,Rastrigin,50,7,1683.8474611554232,3.6826866109622642,308,8
A,SMCO_R,Rastrigin,50,8,1699.9192768131059,3.6961031549144536,158,8
A,SMCO_R_EVO,Rastrigin,50,8,1718.0168700848092,3.6513925680192187,308,8
A,SMCO_R,Rastrigin,50,9,1681.8575821115637,3.456180250039324,158,8
A,SMCO_R_EVO,Rastrigin,50,9,1681.8494891262822,3.6023120880126953,308,8
A,SMCO_R,Rastrigin,50,10,1691.91489064151,3.597619555075653,158,8
A,SMCO_R_EVO,Rastrigin,50,10,1701.9398669189973,3.307435782975517,308,8
A,SMCO_R,Rastrigin,50,11,1722.082272787055,2.783967196010053,158,8
A,SMCO_R_EVO,Rastrigin,50,11,1718.032934988415,3.6411242820322514,308,8
A,SMCO_R,Rastrigin,50,12,1730.0769652286929,3.6997683059889823,158,8
A,SMCO_R_EVO,Rastrigin,50,12,1726.0877663314648,3.7177269650856033,308,8
A,SMCO_R,Rastrigin,50,13,1728.081739740449,3.717089827056043,158,8
A,SMCO_R_EVO,Rastrigin,50,13,1746.1682120325147,3.322201103903353,308,8
A,SMCO_R,Rastrigin,50,14,1689.8839211795075,3.190663760062307,158,8
A,SMCO_R_EVO,Rastrigin,50,14,1681.843352796742,3.5041038100607693,308,8
A,SMCO_R,Rastrigin,50,15,1707.9722801427213,3.711184083018452,158,8
A,SMCO_R_EVO,Rastrigin,50,15,1685.8624697561572,3.6341169879306108,308,8
A,SMCO_R,Rastrigin,50,16,1703.953122487111,3.690932363970205,158,8
A,SMCO_R_EVO,Rastrigin,50,16,1716.0208280175746,3.658600913011469,308,8
A,SMCO_R,Rastrigin,50,17,1732.098821447421,3.613419048022479,158,8
A,SMCO_R_EVO,Rastrigin,50,17,1726.0827877979468,3.0883654969511554,308,8
A,SMCO_R,Rastrigin,50,18,1691.89873944676,2.852202306035906,158,8
A,SMCO_R_EVO,Rastrigin,50,18,1687.882872668668,3.4286717190407217,308,8
A,SMCO_R,Rastrigin,50,19,1703.9788724479963,3.6916378299938515,158,8
A,SMCO_R_EVO,Rastrigin,50,19,1718.029944358731,3.640752180945128,308,8
A,SMCO_R,Rastrigin,50,20,1746.1688510423598,3.540830294950865,158,8
A,SMCO_R_EVO,Rastrigin,50,20,1750.1759889468776,3.6898960820399225,308,8
A,SMCO_R,Rastrigin,50,21,1687.8700485247784,3.3892533159814775,158,8
A,SMCO_R_EVO,Rastrigin,50,21,1683.866431779469,3.576084548025392,308,8
A,SMCO_R,Rastrigin,50,22,1724.0542280892284,3.518776486045681,158,8
A,SMCO_R_EVO,Rastrigin,50,22,1712.0028238257162,3.629779350012541,308,8
A,SMCO_R,Rastrigin,50,23,1691.9064501009818,3.7753136369865388,158,8
A,SMCO_R_EVO,Rastrigin,50,23,1679.8309869069467,3.7057636859826744,308,8
A,SMCO_R,Rastrigin,50,24,1760.2368610284427,3.6081217500614002,158,8
A,SMCO_R_EVO,Rastrigin,50,24,1760.245248326489,3.6635715239681304,308,8
A,SMCO_R,Rastrigin,50,25,1726.0574913298576,3.5296075959922746,158,8
A,SMCO_R_EVO,Rastrigin,50,25,1734.0987750469144,3.561115368967876,308,8
A,SMCO_R,Rastrigin,50,26,1738.1115496191837,3.517683540005237,158,8
A,SMCO_R_EVO,Rastrigin,50,26,1738.1562467849071,3.0894289980642498,308,8
