experiment,pair,algo,func,dim,rep,fopt,time
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,100,0,3204.8684233459267,5.580145848100074
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,100,0,3214.9269464305894,5.58130922797136
B,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,100,0,3199.553794614769,5.624171047937125
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,100,0,3201.56400131945,5.586603126954287
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Rastrigin,100,0,3199.7355001374353,5.649632107000798
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Rastrigin,100,0,3204.833871917133,5.639879359980114
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,100,1,3241.0639150640573,5.728520288015716
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,100,1,3257.136196352675,5.651407263008878
B,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,100,1,3259.551548311412,5.592282185913064
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,100,1,3239.822349028527,5.630047196988016
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Rastrigin,100,1,3248.7213088222643,5.801218984066509
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Rastrigin,100,1,3242.4112710210356,6.019136931048706
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,100,2,3279.2460480225095,5.7492771099787205
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,100,2,3273.2388996165655,6.049815576989204
B,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,100,2,3287.859485282803,5.634234183002263
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,100,2,3275.939801804975,5.57471395295579
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Rastrigin,100,2,3261.4948028012705,5.677175942924805
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Rastrigin,100,2,3292.1709020914363,5.738539787009358
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,100,3,3190.855686182896,5.6201017869170755
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,100,3,3190.8248405247564,5.6037982469424605
B,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,100,3,3189.847982969199,5.5635768140200526
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,100,3,3187.953407736105,5.609639229020104
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Rastrigin,100,3,3199.9849750976296,5.66296099696774
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Rastrigin,100,3,3185.853643906635,5.603210623958148
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,100,4,3259.1409784669936,5.754182011005469
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,100,4,3253.116748997008,5.8984912789892405
B,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,100,4,3247.94572294367,5.663470897008665
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,100,4,3261.992108632155,5.774707138072699
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Rastrigin,100,4,3229.433251063641,5.77012185100466
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Rastrigin,100,4,3247.8254194881097,5.836668414063752
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,100,5,3299.367106781523,5.64564777596388
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,100,5,3303.3601627570356,5.634532043011859
B,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,100,5,3313.900937643035,5.567137819016352
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,100,5,3321.981787530512,5.906756813055836
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Rastrigin,100,5,3329.8232935769092,5.625752196996473
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Rastrigin,100,5,3309.922017902764,5.712807145086117
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,100,6,3249.137142477459,5.591475344961509
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,100,6,3245.0602415468265,5.547746099997312
B,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,100,6,3246.0476271404896,5.710646311985329
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,100,6,3237.911033068457,5.783663303940557
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Rastrigin,100,6,3238.0049499867346,5.637526542064734
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Rastrigin,100,6,3252.0431790346693,5.653254169970751
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,100,7,3293.341687227712,5.574327094946057
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,100,7,3285.26869547985,5.767267129966058
B,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,100,7,3282.0266929682225,5.583224872942083
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,100,7,3296.3497234128677,5.53363210009411
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Rastrigin,100,7,3268.5136809952864,5.668053069966845
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Rastrigin,100,7,3277.6943611022207,5.820935956086032
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,100,8,3249.0828741574114,5.680859896005131
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,100,8,3247.0695593235714,5.802880626986735
B,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,100,8,3227.806100975987,5.731972723966464
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,100,8,3227.5897986284162,5.702781748957932
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Rastrigin,100,8,3232.0732385858,5.770760001032613
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Rastrigin,100,8,3213.8328417430034,5.925383534980938
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,100,9,3188.792528421212,5.736275897012092
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,100,9,3188.836699097661,5.838130151038058
B,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,100,9,3185.6391559630083,5.546925998991355
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,100,9,3185.4874228396006,5.747937181964517
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Rastrigin,100,9,3183.9042209442914,5.69806474307552
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Rastrigin,100,9,3183.8876229010234,5.74131157703232
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,100,10,3261.193103455378,5.950703112059273
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,100,10,3261.148052019471,5.647580052958801
B,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,100,10,3263.823178662222,5.667991127935238
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,100,10,3255.7480949682254,5.502308557042852
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Rastrigin,100,10,3234.8415654163027,5.6803249779623
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Rastrigin,100,10,3257.09129830033,5.583074107998982
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,100,11,3331.491227341487,5.800641383975744
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,100,11,3313.409773160358,5.904879783047363
B,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,100,11,3325.9667763272523,5.776311350055039
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,100,11,3333.9176408687617,5.705439434968866
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Rastrigin,100,11,3312.3601296434886,5.71977828303352
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Rastrigin,100,11,3311.1291744564837,5.642222657101229
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,100,12,3235.0278854963885,5.525208629085682
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,100,12,3235.0379205432755,5.607402659021318
