strategy,base_algo,evo_algo,func,dim,n,cohens_d,magnitude
best1bin,SMCO,SMCO_EVO,Ackley,100,15,9.952190107899744,large
best1bin,SMCO,SMCO_EVO,Ackley,1000,5,70.98212842382576,large
best1bin,SMCO,SMCO_EVO,Ackley,200,10,19.125358996608455,large
best1bin,SMCO,SMCO_EVO,Ackley,2000,3,365.38590104328904,large
best1bin,SMCO,SMCO_EVO,Ackley,3000,2,36.32996694642475,large
best1bin,SMCO,SMCO_EVO,Ackley,4000,2,28.676885740855703,large
best1bin,SMCO,SMCO_EVO,Ackley,50,20,10.601608299897539,large
best1bin,SMCO,SMCO_EVO,Ackley,500,5,40.0357690139724,large
best1bin,SMCO,SMCO_EVO,Ackley,5000,2,20.313808661578125,large
best1bin,SMCO,SMCO_EVO,Griewank,100,15,0.14623937357714484,negligible
best1bin,SMCO,SMCO_EVO,Griewank,200,10,-0.22113635854154143,small
best1bin,SMCO,SMCO_EVO,Griewank,50,20,-0.08978225889589733,negligible
best1bin,SMCO,SMCO_EVO,Rastrigin,100,15,-0.18911829518344808,negligible
best1bin,SMCO,SMCO_EVO,Rastrigin,1000,5,-0.0017180851719376287,negligible
best1bin,SMCO,SMCO_EVO,Rastrigin,200,10,-0.00047622231819369204,negligible
best1bin,SMCO,SMCO_EVO,Rastrigin,2000,3,0.308500284210638,small
best1bin,SMCO,SMCO_EVO,Rastrigin,3000,2,0.17069016247233482,negligible
best1bin,SMCO,SMCO_EVO,Rastrigin,4000,2,1.9566174020207971,large
best1bin,SMCO,SMCO_EVO,Rastrigin,50,20,0.09762315949001626,negligible
best1bin,SMCO,SMCO_EVO,Rastrigin,500,5,-0.0021305149320495773,negligible
best1bin,SMCO,SMCO_EVO,Rastrigin,5000,2,-0.9940231341504803,large
best1bin,SMCO,SMCO_EVO,Rosenbrock,100,15,0.341783425915004,small
best1bin,SMCO,SMCO_EVO,Rosenbrock,1000,5,0.20721123614539355,small
best1bin,SMCO,SMCO_EVO,Rosenbrock,200,10,0.11119114515511574,negligible
best1bin,SMCO,SMCO_EVO,Rosenbrock,2000,3,-1.3803159224783823,large
best1bin,SMCO,SMCO_EVO,Rosenbrock,3000,2,-0.9024888577682735,large
best1bin,SMCO,SMCO_EVO,Rosenbrock,4000,2,0.6809981202807128,medium
