strategy,pair,func,dim,improve_pct,base_mean,evo_mean,n_reps
best1bin,SMCO_vs_SMCO_EVO,Ackley,50,2.4292416538026043,21.6369962777482,22.162611203958978,20
best1bin,SMCO_vs_SMCO_EVO,Ackley,100,2.8156000711022093,21.535213676492056,22.14155916807938,15
best1bin,SMCO_vs_SMCO_EVO,Ackley,200,3.2325642997749546,21.418222373910474,22.110580184015916,10
best1bin,SMCO_vs_SMCO_EVO,Ackley,500,3.409971188579048,21.367733334983296,22.096366885358627,5
best1bin,SMCO_vs_SMCO_EVO,Ackley,1000,3.4773158767377916,21.356747941768013,22.099389528701984,5
best1bin,SMCO_vs_SMCO_EVO,Ackley,2000,3.2333273725803213,21.412231167680464,22.10455869910525,3
best1bin,SMCO_vs_SMCO_EVO,Ackley,3000,2.543542903231482,21.532214189963604,22.079895295901025,2
best1bin,SMCO_vs_SMCO_EVO,Ackley,4000,1.95810305276085,21.664995317854874,22.089218252554286,2
best1bin,SMCO_vs_SMCO_EVO,Ackley,5000,1.8534460190261208,21.697044955860562,22.099187971841268,2
best1bin,SMCO_vs_SMCO_EVO,Griewank,50,-0.007885209448819321,4400.892005055723,4400.544985503508,20
best1bin,SMCO_vs_SMCO_EVO,Griewank,100,0.01121860496755372,8740.096300027286,8741.07681690497,15
best1bin,SMCO_vs_SMCO_EVO,Griewank,200,-0.013721254099776571,17226.59242376168,17224.22871924248,10
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,50,0.11170908484405523,1711.627471922306,1713.53951530713,20
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,100,-0.21268349984329224,3268.5282256722076,3261.576605448482,15
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,200,-0.0007433087526116615,6337.698098507451,6337.65098984277,10
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,500,-0.0011463584539919225,14779.85184274863,14779.682412667544,5
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,1000,-0.0014866045489453099,29109.966169755517,29109.53341967424,5
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,2000,0.0033514004141743906,57881.35493030282,57883.29476627168,3
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,3000,0.008138208594655123,86021.13959544411,86028.14017521989,2
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,4000,0.003897918040931683,114310.4567734591,114314.91250137634,2
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,5000,-0.01827009317980538,142458.32504618834,142432.29777746001,2
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,50,0.6897858282334384,28590556.089247294,28787769.693364054,20
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,100,0.2744467959794852,54630111.708190724,54780042.29941387,15
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,200,0.015202909877453218,103124528.56873003,103140206.49786988,10
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,500,-0.0034205626355150462,243714058.24041504,243705721.84840137,5
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,1000,0.011818187686807905,463389064.8849098,463443829.07431805,5
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,2000,-0.024196050503709772,869247612.9724323,869037289.3809952,3
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,3000,-0.027241298790770203,1239722873.845387,1239385157.2331452,2
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,4000,0.3836738918141251,1601610810.9908462,1607755773.5210905,2
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,5000,4.6026190055826754,1953961917.8469486,2043895340.43962,2
best1bin,SMCO_vs_SMCO_EVO,Zakharov,50,0.5102436011224646,1544460382804846.5,1552340893079979.8,20
best1bin,SMCO_vs_SMCO_EVO,Zakharov,100,0.24479144123040852,3.726719113127506e+17,3.73584180255514e+17,15
best1bin,SMCO_vs_SMCO_EVO,Zakharov,200,0.1830848491132973,8.905104024024446e+19,8.921407920290213e+19,10
best1bin,SMCO_vs_SMCO_EVO,Zakharov,500,0.17748687796428161,1.2530257290868337e+23,1.255249685333479e+23,5
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,50,0.5687435230075808,22.073093951668508,22.198633243846,20
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,100,0.6340635191662357,22.038464384055782,22.178202246899524,15
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,200,0.9424700669017787,21.953281028416217,22.160184130811867,10
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,500,0.9810091077901373,21.94761009790387,22.162918151906574,5
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,1000,0.9958431953692494,21.949291370787886,22.167871895335647,5
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,2000,1.1774278738290649,21.90054567102072,22.15840880027198,3
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,3000,2.7464929574838948,21.563667434577347,22.155912042043262,2
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,4000,1.946120580951775,21.696596470859426,22.118838400144877,2
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,5000,1.867159749784377,21.72570270016472,22.131356276340014,2
best1bin,SMCO_R_vs_SMCO_R_EVO,Griewank,50,-0.025216539257996464,4332.107673411131,4331.015265778967,20
best1bin,SMCO_R_vs_SMCO_R_EVO,Griewank,100,0.03130388036815744,8565.920689918474,8568.602155483677,15
best1bin,SMCO_R_vs_SMCO_R_EVO,Griewank,200,-0.0491957597815151,16732.05754060517,16723.826077770987,10
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,50,0.047161298300491664,1711.4007428417149,1712.2078616511633,20
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,100,0.020271940908002543,3268.9392456568066,3269.6019230890047,15
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,200,-3.1641880053862396e-05,6344.199934993769,6344.197927569635,10
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,500,-1.3703008491810832e-05,14794.53924205436,14794.53721475739,5
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,1000,-3.501207180011239e-05,29138.03230207167,29138.02210024288,5
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,2000,0.024442891524922322,57929.57599256033,57943.735655981036,3
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,3000,0.030719985687453804,86068.11548491748,86094.5555976759,2
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,4000,0.00502631131802202,114374.76422763668,114380.51305935602,2
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,5000,0.02005841385396837,142512.25069086358,142540.83638789976,2
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,50,1.1736422670922824,27764812.00991679,28090671.579043888,20
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,100,0.433661103607738,52616803.95826252,52844982.57099104,15
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,200,1.4652750297129602,98101461.91474606,99538918.1399662,10
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,500,0.14712281841561461,226905423.5312902,227239253.18552732,5
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,1000,2.0298488428923402,422712947.97426564,431293381.85747737,5
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,2000,2.4387498390460465,775822748.1332974,794743124.1546808,3
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,3000,3.745890879397222,1094303115.940483,1135294516.5534573,2
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,4000,3.590228352724739,1399385030.0219135,1449626148.1335459,2
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,5000,4.055721029057737,1699574361.5793362,1768504356.366383,2
best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,50,0.6251753887869544,1472185536847872.8,1481389278501526.8,20
best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,100,0.5419467438219993,3.5073620183415974e+17,3.526370052594049e+17,15
best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,200,0.6820230187491043,8.126408086905997e+19,8.181832060656185e+19,10
best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,500,0.2302759019714715,1.0966824087560668e+23,1.0992078040645922e+23,5
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,50,0.6349557422330144,22.069994570511767,22.210129268347746,20
