evo_algo,func,dim,best1bin_mean,current-to-best1bin_mean,winner,best1bin_wins,current-to-best1bin_wins,n
SMCO_EVO,Ackley,50,22.162611203958978,22.150625492220136,best1bin,13,7,20
SMCO_EVO,Ackley,100,22.14155916807938,22.11409043355066,best1bin,12,3,15
SMCO_EVO,Ackley,200,22.110580184015916,22.099522129390447,best1bin,8,2,10
SMCO_EVO,Ackley,500,22.096366885358627,22.08341998559953,best1bin,4,1,5
SMCO_EVO,Ackley,1000,22.099389528701984,22.0873450658542,best1bin,5,0,5
SMCO_EVO,Ackley,2000,22.10455869910525,22.08847638848768,best1bin,2,1,3
SMCO_EVO,Ackley,3000,22.079895295901025,22.032317199690624,best1bin,2,0,2
SMCO_EVO,Ackley,4000,22.089218252554286,22.06464569086828,best1bin,2,0,2
SMCO_EVO,Ackley,5000,22.099187971841268,22.060942772029435,best1bin,2,0,2
SMCO_EVO,Griewank,50,4400.544985503508,4400.258436775686,best1bin,13,7,20
SMCO_EVO,Griewank,100,8741.07681690497,8741.07681690497,tie,0,0,15
SMCO_EVO,Griewank,200,17224.22871924248,17224.22871924248,tie,0,0,10
SMCO_EVO,Rastrigin,50,1713.53951530713,1713.4561988222536,best1bin,9,11,20
SMCO_EVO,Rastrigin,100,3261.576605448482,3261.576605448482,tie,5,4,15
SMCO_EVO,Rastrigin,200,6337.65098984277,6337.65098984277,tie,4,3,10
SMCO_EVO,Rastrigin,500,14779.682412667544,14779.682412667546,current-to-best1bin,2,3,5
SMCO_EVO,Rastrigin,1000,29109.53341967424,29109.53341967424,tie,3,2,5
SMCO_EVO,Rastrigin,2000,57883.29476627168,57883.29476627167,best1bin,1,1,3
SMCO_EVO,Rastrigin,3000,86028.14017521989,86028.14017521989,tie,1,1,2
SMCO_EVO,Rastrigin,4000,114314.91250137634,114314.91250137634,tie,0,0,2
SMCO_EVO,Rastrigin,5000,142432.29777746001,142432.29777746001,tie,0,0,2
SMCO_EVO,Rosenbrock,50,28787769.693364054,28580313.287937693,best1bin,16,4,20
SMCO_EVO,Rosenbrock,100,54780042.29941387,54630038.65914771,best1bin,2,0,15
SMCO_EVO,Rosenbrock,200,103140206.49786988,103140206.49786988,tie,1,1,10
SMCO_EVO,Rosenbrock,500,243705721.84840137,243705721.84840137,tie,1,1,5
SMCO_EVO,Rosenbrock,1000,463443829.07431805,463443829.07431805,tie,0,0,5
SMCO_EVO,Rosenbrock,2000,869037289.3809952,869037289.3809952,tie,0,0,3
SMCO_EVO,Rosenbrock,3000,1239385157.2331452,1239385157.2331452,tie,1,1,2
SMCO_EVO,Rosenbrock,4000,1607755773.5210905,1601826824.5663753,best1bin,1,0,2
SMCO_EVO,Rosenbrock,5000,2043895340.43962,1953906656.3506606,best1bin,2,0,2
SMCO_EVO,Zakharov,50,1552340893079979.8,1547233201559311.5,best1bin,15,5,20
SMCO_EVO,Zakharov,100,3.73584180255514e+17,3.73893546280408e+17,current-to-best1bin,3,9,15
SMCO_EVO,Zakharov,200,8.921407920290213e+19,8.92076331233532e+19,best1bin,6,4,10
SMCO_EVO,Zakharov,500,1.255249685333479e+23,1.2564853484884617e+23,current-to-best1bin,2,3,5
SMCO_R_EVO,Ackley,50,22.198633243846,22.188633158409765,best1bin,10,10,20
SMCO_R_EVO,Ackley,100,22.178202246899524,22.171520604488144,best1bin,9,6,15
SMCO_R_EVO,Ackley,200,22.160184130811867,22.1573011487096,best1bin,5,5,10
SMCO_R_EVO,Ackley,500,22.162918151906574,22.1432472958291,best1bin,4,1,5
SMCO_R_EVO,Ackley,1000,22.167871895335647,22.161197404367336,best1bin,3,2,5
SMCO_R_EVO,Ackley,2000,22.15840880027198,22.136668196331595,best1bin,3,0,3
SMCO_R_EVO,Ackley,3000,22.155912042043262,22.139990298307886,best1bin,2,0,2
SMCO_R_EVO,Ackley,4000,22.118838400144877,22.093498174791154,best1bin,2,0,2
SMCO_R_EVO,Ackley,5000,22.131356276340014,22.112141453355903,best1bin,2,0,2
