strategy,func,dim,algo,rank,mean_fopt,total_methods
best1bin,Ackley,100,GenSA,1,22.28421293980727,18
best1bin,Ackley,100,SMCO_BR_EVO,2,22.20076069701455,18
best1bin,Ackley,100,SMCO_R_EVO,3,22.178202246899524,18
best1bin,Ackley,100,SMCO_EVO,4,22.14155916807938,18
best1bin,Ackley,100,SA,5,22.057599567521812,18
best1bin,Ackley,100,SMCO_R,6,22.038464384055782,18
best1bin,Ackley,100,SMCO_BR,7,22.034128689829082,18
best1bin,Ackley,100,PSO,8,22.034127095732682,18
best1bin,Ackley,100,optimLBFGS,9,21.99607926083114,18
best1bin,Ackley,100,GD,10,21.996070927635813,18
best1bin,Ackley,100,ADAM,11,21.995917549968397,18
best1bin,Ackley,100,SignGD,12,21.9938398998415,18
best1bin,Ackley,100,BOBYQA,13,21.967177999030817,18
best1bin,Ackley,100,GA,14,21.747230058586418,18
best1bin,Ackley,100,DEoptim,15,21.698946113905727,18
best1bin,Ackley,100,optimNM,16,21.56106255398637,18
best1bin,Ackley,100,SMCO,17,21.535213676492056,18
best1bin,Ackley,100,SPSA,18,21.522155498683365,18
best1bin,Ackley,1000,SMCO_BR_EVO,1,22.178927202078803,11
best1bin,Ackley,1000,SMCO_R_EVO,2,22.167871895335647,11
best1bin,Ackley,1000,GenSA,3,22.1311893631594,11
best1bin,Ackley,1000,SMCO_EVO,4,22.099389528701984,11
best1bin,Ackley,1000,SA,5,21.962780464187713,11
best1bin,Ackley,1000,SMCO_R,6,21.949291370787886,11
best1bin,Ackley,1000,SMCO_BR,7,21.941297712620617,11
best1bin,Ackley,1000,PSO,8,21.78589313424506,11
best1bin,Ackley,1000,GA,9,21.469110045827815,11
best1bin,Ackley,1000,DEoptim,10,21.402380589659607,11
best1bin,Ackley,1000,SMCO,11,21.356747941768013,11
best1bin,Ackley,200,GenSA,1,22.24978917582616,18
best1bin,Ackley,200,SMCO_BR_EVO,2,22.201450691782874,18
best1bin,Ackley,200,SMCO_R_EVO,3,22.160184130811867,18
best1bin,Ackley,200,SMCO_EVO,4,22.110580184015916,18
best1bin,Ackley,200,SA,5,22.046525361820606,18
best1bin,Ackley,200,optimLBFGS,6,21.985023213836577,18
best1bin,Ackley,200,GD,7,21.98502133493387,18
best1bin,Ackley,200,ADAM,8,21.984948895509298,18
best1bin,Ackley,200,SignGD,9,21.98372281301656,18
best1bin,Ackley,200,SMCO_BR,10,21.972329805821822,18
best1bin,Ackley,200,SMCO_R,11,21.953281028416217,18
best1bin,Ackley,200,PSO,12,21.952550274180496,18
best1bin,Ackley,200,BOBYQA,13,21.814960401591946,18
best1bin,Ackley,200,GA,14,21.65704026433761,18
best1bin,Ackley,200,DEoptim,15,21.58458150439275,18
best1bin,Ackley,200,SPSA,16,21.45946628326309,18
best1bin,Ackley,200,optimNM,17,21.44036847462342,18
best1bin,Ackley,200,SMCO,18,21.418222373910474,18
best1bin,Ackley,2000,SMCO_BR_EVO,1,22.174916810804092,11
best1bin,Ackley,2000,SMCO_R_EVO,2,22.15840880027198,11
best1bin,Ackley,2000,SMCO_EVO,3,22.10455869910525,11
best1bin,Ackley,2000,GenSA,4,21.940011709686967,11
best1bin,Ackley,2000,SMCO_BR,5,21.921569244123116,11
best1bin,Ackley,2000,SMCO_R,6,21.90054567102072,11
best1bin,Ackley,2000,SA,7,21.892474502729865,11
best1bin,Ackley,2000,PSO,8,21.77345900855943,11
best1bin,Ackley,2000,GA,9,21.423978267424815,11
best1bin,Ackley,2000,SMCO,10,21.412231167680464,11
best1bin,Ackley,2000,DEoptim,11,21.363056928357512,11
best1bin,Ackley,3000,SMCO_BR_EVO,1,22.169782121666714,11
best1bin,Ackley,3000,SMCO_R_EVO,2,22.155912042043262,11
best1bin,Ackley,3000,SMCO_EVO,3,22.079895295901025,11
best1bin,Ackley,3000,SMCO_BR,4,21.90992625267647,11
best1bin,Ackley,3000,GenSA,5,21.905400336903423,11
best1bin,Ackley,3000,SA,6,21.864929046117897,11
best1bin,Ackley,3000,PSO,7,21.74146523673044,11
best1bin,Ackley,3000,SMCO_R,8,21.563667434577347,11
best1bin,Ackley,3000,SMCO,9,21.532214189963604,11
best1bin,Ackley,3000,GA,10,21.404660691573028,11
best1bin,Ackley,3000,DEoptim,11,21.34290122913012,11
best1bin,Ackley,4000,SMCO_BR_EVO,1,22.16507421915107,11
best1bin,Ackley,4000,SMCO_R_EVO,2,22.118838400144877,11
best1bin,Ackley,4000,SMCO_EVO,3,22.089218252554286,11
best1bin,Ackley,4000,SMCO_BR,4,21.90941466516003,11
best1bin,Ackley,4000,GenSA,5,21.864770869740198,11
best1bin,Ackley,4000,SA,6,21.842683492138292,11
best1bin,Ackley,4000,PSO,7,21.711805007306616,11
best1bin,Ackley,4000,SMCO_R,8,21.696596470859426,11
best1bin,Ackley,4000,SMCO,9,21.664995317854874,11
best1bin,Ackley,4000,GA,10,21.397228574401577,11
best1bin,Ackley,4000,DEoptim,11,21.34122138647738,11
best1bin,Ackley,50,GenSA,1,22.29973316565109,18
best1bin,Ackley,50,SMCO_BR_EVO,2,22.210129268347746,18
best1bin,Ackley,50,SMCO_R_EVO,3,22.198633243846,18
best1bin,Ackley,50,SMCO_EVO,4,22.162611203958978,18
best1bin,Ackley,50,PSO,5,22.083613893804547,18
best1bin,Ackley,50,SMCO_R,6,22.073093951668508,18
best1bin,Ackley,50,SMCO_BR,7,22.069994570511767,18
best1bin,Ackley,50,SA,8,22.06548526711626,18
best1bin,Ackley,50,ADAM,9,22.016121221635125,18
best1bin,Ackley,50,GD,10,22.016107988046617,18
best1bin,Ackley,50,optimLBFGS,11,22.015419090037362,18
best1bin,Ackley,50,SignGD,12,22.01465884255967,18
best1bin,Ackley,50,BOBYQA,13,22.01231105787293,18
best1bin,Ackley,50,GA,14,21.873338174265168,18
best1bin,Ackley,50,optimNM,15,21.83530948980501,18
