algo,avg_rank,median_rank,best_rank,worst_rank,n_configs,is_evo
SMCO,7.948529411764706,8.0,3,18,136,False
SMCO_R,6.9338235294117645,7.0,3,12,136,False
SMCO_BR,8.308823529411764,8.0,3,15,136,False
SMCO_EVO,5.75,6.0,3,13,136,True
SMCO_R_EVO,5.389705882352941,5.0,1,12,136,True
SMCO_BR_EVO,7.029411764705882,7.0,1,15,136,True
GenSA,1.911764705882353,1.0,1,5,136,False
SA,4.338235294117647,4.0,1,11,136,False
DEoptim,12.794117647058824,11.0,10,17,136,False
GA,11.007352941176471,10.0,8,16,136,False
PSO,6.220588235294118,4.0,2,16,136,False
GD,8.533333333333333,9.5,1,15,60,False
SignGD,10.033333333333333,12.0,2,15,60,False
ADAM,13.35,14.0,6,17,60,False
SPSA,12.333333333333334,17.0,2,18,60,False
optimLBFGS,7.933333333333334,6.0,2,16,60,False
BOBYQA,9.116666666666667,12.0,1,16,60,False
optimNM,17.333333333333332,18.0,15,18,60,False
