strategy,algo_a,algo_b,a_wins,b_wins,total,a_win_rate,b_win_rate
best1bin,ADAM,BOBYQA,95,130,225,42.22222222222222,57.77777777777777
best1bin,ADAM,DEoptim,141,84,225,62.66666666666667,37.333333333333336
best1bin,ADAM,GA,82,143,225,36.44444444444444,63.55555555555556
best1bin,ADAM,GD,73,152,225,32.44444444444444,67.55555555555556
best1bin,ADAM,GenSA,0,225,225,0.0,100.0
best1bin,ADAM,PSO,40,185,225,17.77777777777778,82.22222222222221
best1bin,ADAM,SA,8,217,225,3.5555555555555554,96.44444444444444
best1bin,ADAM,SMCO,45,180,225,20.0,80.0
best1bin,ADAM,SMCO_BR,26,199,225,11.555555555555555,88.44444444444444
best1bin,ADAM,SMCO_BR_EVO,5,220,225,2.2222222222222223,97.77777777777777
best1bin,ADAM,SMCO_EVO,0,225,225,0.0,100.0
best1bin,ADAM,SMCO_R,15,210,225,6.666666666666667,93.33333333333333
best1bin,ADAM,SMCO_R_EVO,0,225,225,0.0,100.0
best1bin,ADAM,SPSA,138,87,225,61.33333333333333,38.666666666666664
best1bin,ADAM,SignGD,90,135,225,40.0,60.0
best1bin,ADAM,optimLBFGS,80,145,225,35.55555555555556,64.44444444444444
best1bin,ADAM,optimNM,205,20,225,91.11111111111111,8.88888888888889
best1bin,BOBYQA,DEoptim,218,7,225,96.88888888888889,3.111111111111111
best1bin,BOBYQA,GA,179,46,225,79.55555555555556,20.444444444444446
best1bin,BOBYQA,GD,89,123,225,39.55555555555556,54.666666666666664
best1bin,BOBYQA,GenSA,50,162,225,22.22222222222222,72.0
best1bin,BOBYQA,PSO,106,119,225,47.11111111111111,52.888888888888886
best1bin,BOBYQA,SA,85,127,225,37.77777777777778,56.44444444444444
best1bin,BOBYQA,SMCO,146,79,225,64.88888888888889,35.11111111111111
best1bin,BOBYQA,SMCO_BR,130,95,225,57.77777777777777,42.22222222222222
best1bin,BOBYQA,SMCO_BR_EVO,123,102,225,54.666666666666664,45.33333333333333
best1bin,BOBYQA,SMCO_EVO,100,125,225,44.44444444444444,55.55555555555556
best1bin,BOBYQA,SMCO_R,115,110,225,51.11111111111111,48.888888888888886
best1bin,BOBYQA,SMCO_R_EVO,111,114,225,49.333333333333336,50.66666666666667
best1bin,BOBYQA,SPSA,140,85,225,62.22222222222222,37.77777777777778
best1bin,BOBYQA,SignGD,90,122,225,40.0,54.22222222222223
best1bin,BOBYQA,optimLBFGS,91,121,225,40.44444444444444,53.77777777777778
best1bin,BOBYQA,optimNM,225,0,225,100.0,0.0
best1bin,DEoptim,GA,5,282,287,1.7421602787456445,98.25783972125436
best1bin,DEoptim,GD,33,192,225,14.666666666666666,85.33333333333334
best1bin,DEoptim,GenSA,0,287,287,0.0,100.0
