strategy,func,dim,best_algo,best_fopt,is_evo
best1bin,Ackley,100,GenSA,22.28421293980727,False
best1bin,Ackley,1000,SMCO_BR_EVO,22.178927202078803,True
best1bin,Ackley,200,GenSA,22.24978917582616,False
best1bin,Ackley,2000,SMCO_BR_EVO,22.174916810804092,True
best1bin,Ackley,3000,SMCO_BR_EVO,22.169782121666714,True
best1bin,Ackley,4000,SMCO_BR_EVO,22.16507421915107,True
best1bin,Ackley,50,GenSA,22.29973316565109,False
best1bin,Ackley,500,SMCO_BR_EVO,22.17619957919172,True
best1bin,Ackley,5000,SMCO_BR_EVO,22.170896217000973,True
best1bin,Griewank,100,BOBYQA,9001.000000000051,False
best1bin,Griewank,200,BOBYQA,18001.000000000222,False
best1bin,Griewank,50,BOBYQA,4501.000000000015,False
best1bin,Rastrigin,100,GenSA,4035.329019382616,False
best1bin,Rastrigin,1000,SA,40353.2901937765,False
best1bin,Rastrigin,200,SA,8070.658038767479,False
best1bin,Rastrigin,2000,GenSA,80706.5803872955,False
best1bin,Rastrigin,3000,GenSA,121059.87040453288,False
best1bin,Rastrigin,4000,GenSA,161412.67179774528,False
best1bin,Rastrigin,50,GenSA,2017.6645096911584,False
best1bin,Rastrigin,500,SA,20176.645096911565,False
best1bin,Rastrigin,5000,GenSA,201766.21261094167,False
best1bin,Rosenbrock,100,GenSA,80490519.0,False
best1bin,Rosenbrock,1000,GenSA,809563419.0,False
best1bin,Rosenbrock,200,GenSA,161498619.0,False
best1bin,Rosenbrock,2000,GenSA,1619644419.0,False
best1bin,Rosenbrock,3000,GenSA,2429725419.0,False
best1bin,Rosenbrock,4000,GenSA,3239806419.0,False
best1bin,Rosenbrock,50,GenSA,39986469.0,False
best1bin,Rosenbrock,500,GenSA,404522919.0,False
best1bin,Rosenbrock,5000,GenSA,4049887419.0,False
best1bin,Zakharov,100,GD,4.064859420438224e+17,False
best1bin,Zakharov,200,GD,1.020150500726003e+20,False
best1bin,Zakharov,50,GD,1651660441036249.5,False
best1bin,Zakharov,500,GenSA,1.538122607450211e+23,False
current-to-best1bin,Ackley,100,GenSA,22.28421293980727,False
current-to-best1bin,Ackley,1000,SMCO_R_EVO,22.161197404367336,True
current-to-best1bin,Ackley,200,GenSA,22.24978917582616,False
current-to-best1bin,Ackley,2000,SMCO_BR_EVO,22.15386391177425,True
current-to-best1bin,Ackley,3000,SMCO_BR_EVO,22.149006089907154,True
current-to-best1bin,Ackley,4000,SMCO_BR_EVO,22.140270553761873,True
current-to-best1bin,Ackley,50,GenSA,22.29973316565109,False
current-to-best1bin,Ackley,500,GenSA,22.164634579124705,False
current-to-best1bin,Ackley,5000,SMCO_BR_EVO,22.15204416815449,True
current-to-best1bin,Griewank,100,BOBYQA,9001.000000000053,False
current-to-best1bin,Griewank,200,BOBYQA,18001.000000000226,False
current-to-best1bin,Griewank,50,BOBYQA,4501.000000000015,False
current-to-best1bin,Rastrigin,100,GenSA,4035.329019382616,False
current-to-best1bin,Rastrigin,1000,SA,40353.2901937765,False
current-to-best1bin,Rastrigin,200,SA,8070.6580387674785,False
current-to-best1bin,Rastrigin,2000,GenSA,80706.5803872955,False
current-to-best1bin,Rastrigin,3000,GenSA,121059.87040453288,False
current-to-best1bin,Rastrigin,4000,GenSA,161412.67179774528,False
current-to-best1bin,Rastrigin,50,GenSA,2017.6645096911584,False
current-to-best1bin,Rastrigin,500,SA,20176.645096911565,False
current-to-best1bin,Rastrigin,5000,GenSA,201766.21261094167,False
current-to-best1bin,Rosenbrock,100,GenSA,80490519.0,False
current-to-best1bin,Rosenbrock,1000,GenSA,809563419.0,False
current-to-best1bin,Rosenbrock,200,GenSA,161498619.0,False
current-to-best1bin,Rosenbrock,2000,GenSA,1619644419.0,False
current-to-best1bin,Rosenbrock,3000,GenSA,2429725419.0,False
current-to-best1bin,Rosenbrock,4000,GenSA,3239806419.0,False
current-to-best1bin,Rosenbrock,50,GenSA,39986469.0,False
current-to-best1bin,Rosenbrock,500,GenSA,404522919.0,False
current-to-best1bin,Rosenbrock,5000,GenSA,4049887419.0,False
current-to-best1bin,Zakharov,100,GD,4.064859420438224e+17,False
current-to-best1bin,Zakharov,200,GD,1.020150500726003e+20,False
current-to-best1bin,Zakharov,50,GD,1651660441036249.5,False
current-to-best1bin,Zakharov,500,GenSA,1.538122607450211e+23,False
rand1bin,Ackley,100,GenSA,22.28421293980727,False
rand1bin,Ackley,1000,SMCO_BR_EVO,22.192979486877405,True
rand1bin,Ackley,200,GenSA,22.24978917582616,False
rand1bin,Ackley,2000,SMCO_BR_EVO,22.188212044925752,True
rand1bin,Ackley,3000,SMCO_BR_EVO,22.177831256865552,True
rand1bin,Ackley,4000,SMCO_BR_EVO,22.181003810305604,True
rand1bin,Ackley,50,GenSA,22.29973316565109,False
rand1bin,Ackley,500,SMCO_BR_EVO,22.184153270084725,True
rand1bin,Ackley,5000,SMCO_BR_EVO,22.184909932388898,True
rand1bin,Griewank,100,BOBYQA,9001.000000000051,False
rand1bin,Griewank,200,BOBYQA,18001.000000000222,False
rand1bin,Griewank,50,BOBYQA,4501.000000000015,False
rand1bin,Rastrigin,100,GenSA,4035.329019382616,False
rand1bin,Rastrigin,1000,SA,40353.2901937765,False
rand1bin,Rastrigin,200,SA,8070.6580387674785,False
rand1bin,Rastrigin,2000,GenSA,80706.5803872955,False
rand1bin,Rastrigin,3000,GenSA,121059.87040453288,False
rand1bin,Rastrigin,4000,GenSA,161412.67179774528,False
rand1bin,Rastrigin,50,GenSA,2017.6645096911584,False
rand1bin,Rastrigin,500,SA,20176.645096911565,False
rand1bin,Rastrigin,5000,GenSA,201766.21261094167,False
rand1bin,Rosenbrock,100,GenSA,80490519.0,False
rand1bin,Rosenbrock,1000,GenSA,809563419.0,False
rand1bin,Rosenbrock,200,GenSA,161498619.0,False
rand1bin,Rosenbrock,2000,GenSA,1619644419.0,False
rand1bin,Rosenbrock,3000,GenSA,2429725419.0,False
rand1bin,Rosenbrock,4000,GenSA,3239806419.0,False
rand1bin,Rosenbrock,50,GenSA,39986469.0,False
rand1bin,Rosenbrock,500,GenSA,404522919.0,False
rand1bin,Rosenbrock,5000,GenSA,4049887419.0,False
rand1bin,Zakharov,100,GD,4.064859420438224e+17,False
rand1bin,Zakharov,200,GD,1.020150500726003e+20,False
rand1bin,Zakharov,50,GD,1651660441036249.5,False
rand1bin,Zakharov,500,GenSA,1.538122607450211e+23,False
sobol,Ackley,100,GenSA,22.28421293980727,False
sobol,Ackley,1000,GenSA,22.1311893631594,False
sobol,Ackley,200,GenSA,22.24978917582616,False
sobol,Ackley,2000,SMCO_R_EVO,21.94555813762914,True
sobol,Ackley,3000,SMCO_R_EVO,21.93947284370111,True
sobol,Ackley,4000,SMCO_BR_EVO,21.928384262571953,True
sobol,Ackley,50,GenSA,22.29973316565109,False
sobol,Ackley,500,GenSA,22.164634579124705,False
sobol,Ackley,5000,SMCO_BR_EVO,21.936770067208492,True
sobol,Griewank,100,BOBYQA,9001.000000000051,False
sobol,Griewank,200,BOBYQA,18001.000000000222,False
sobol,Griewank,50,BOBYQA,4501.000000000015,False
sobol,Rastrigin,100,GenSA,4035.329019382616,False
sobol,Rastrigin,1000,SA,40353.2901937765,False
sobol,Rastrigin,200,SA,8070.658038767479,False
sobol,Rastrigin,2000,GenSA,80706.5803872955,False
sobol,Rastrigin,3000,GenSA,121059.87040453288,False
sobol,Rastrigin,4000,GenSA,161412.67179774528,False
sobol,Rastrigin,50,GenSA,2017.6645096911586,False
sobol,Rastrigin,500,SA,20176.645096911565,False
sobol,Rastrigin,5000,GenSA,201766.21261094167,False
sobol,Rosenbrock,100,GenSA,80490519.0,False
sobol,Rosenbrock,1000,GenSA,809563419.0,False
sobol,Rosenbrock,200,GenSA,161498619.0,False
sobol,Rosenbrock,2000,GenSA,1619644419.0,False
sobol,Rosenbrock,3000,GenSA,2429725419.0,False
sobol,Rosenbrock,4000,GenSA,3239806419.0,False
sobol,Rosenbrock,50,GenSA,39986469.0,False
sobol,Rosenbrock,500,GenSA,404522919.0,False
sobol,Rosenbrock,5000,GenSA,4049887419.0,False
sobol,Zakharov,100,GD,4.064859420438224e+17,False
sobol,Zakharov,200,GD,1.020150500726003e+20,False
sobol,Zakharov,50,GD,1651660441036249.5,False
sobol,Zakharov,500,GenSA,1.538122607450211e+23,False
