strategy,evo_algo,baseline,func,dim,n,evo_wins,baseline_wins,evo_win_rate,evo_mean,baseline_mean
best1bin,SMCO_EVO,GenSA,Ackley,100,15,0,15,0.0,22.14155916807938,22.28421293980727
best1bin,SMCO_EVO,GenSA,Ackley,1000,5,1,4,20.0,22.099389528701984,22.1311893631594
best1bin,SMCO_EVO,GenSA,Ackley,200,10,0,10,0.0,22.110580184015916,22.24978917582616
best1bin,SMCO_EVO,GenSA,Ackley,2000,3,3,0,100.0,22.10455869910525,21.940011709686967
best1bin,SMCO_EVO,GenSA,Ackley,3000,2,2,0,100.0,22.079895295901025,21.905400336903423
best1bin,SMCO_EVO,GenSA,Ackley,4000,2,2,0,100.0,22.089218252554286,21.864770869740198
best1bin,SMCO_EVO,GenSA,Ackley,50,20,0,20,0.0,22.162611203958978,22.29973316565109
best1bin,SMCO_EVO,GenSA,Ackley,500,5,0,5,0.0,22.096366885358627,22.164634579124705
best1bin,SMCO_EVO,GenSA,Ackley,5000,2,2,0,100.0,22.099187971841268,21.73148729514309
best1bin,SMCO_EVO,GenSA,Griewank,100,15,0,15,0.0,8741.07681690497,9001.0
best1bin,SMCO_EVO,GenSA,Griewank,200,10,0,10,0.0,17224.22871924248,18001.0
best1bin,SMCO_EVO,GenSA,Griewank,50,20,0,20,0.0,4400.544985503508,4501.0
best1bin,SMCO_EVO,GenSA,Rastrigin,100,15,0,15,0.0,3261.576605448482,4035.329019382616
best1bin,SMCO_EVO,GenSA,Rastrigin,1000,5,0,5,0.0,29109.53341967424,40353.29019371744
best1bin,SMCO_EVO,GenSA,Rastrigin,200,10,0,10,0.0,6337.65098984277,8070.658038767295
best1bin,SMCO_EVO,GenSA,Rastrigin,2000,3,0,3,0.0,57883.29476627168,80706.5803872955
best1bin,SMCO_EVO,GenSA,Rastrigin,3000,2,0,2,0.0,86028.14017521989,121059.87040453288
best1bin,SMCO_EVO,GenSA,Rastrigin,4000,2,0,2,0.0,114314.91250137634,161412.67179774528
best1bin,SMCO_EVO,GenSA,Rastrigin,50,20,0,20,0.0,1713.53951530713,2017.6645096911584
best1bin,SMCO_EVO,GenSA,Rastrigin,500,5,0,5,0.0,14779.682412667544,20176.64509689113
best1bin,SMCO_EVO,GenSA,Rastrigin,5000,2,0,2,0.0,142432.29777746001,201766.21261094167
best1bin,SMCO_EVO,GenSA,Rosenbrock,100,15,0,15,0.0,54780042.29941387,80490519.0
best1bin,SMCO_EVO,GenSA,Rosenbrock,1000,5,0,5,0.0,463443829.07431805,809563419.0
best1bin,SMCO_EVO,GenSA,Rosenbrock,200,10,0,10,0.0,103140206.49786988,161498619.0
best1bin,SMCO_EVO,GenSA,Rosenbrock,2000,3,0,3,0.0,869037289.3809952,1619644419.0
best1bin,SMCO_EVO,GenSA,Rosenbrock,3000,2,0,2,0.0,1239385157.2331452,2429725419.0
best1bin,SMCO_EVO,GenSA,Rosenbrock,4000,2,0,2,0.0,1607755773.5210905,3239806419.0
best1bin,SMCO_EVO,GenSA,Rosenbrock,50,20,0,20,0.0,28787769.693364054,39986469.0
best1bin,SMCO_EVO,GenSA,Rosenbrock,500,5,0,5,0.0,243705721.84840137,404522919.0
best1bin,SMCO_EVO,GenSA,Rosenbrock,5000,2,0,2,0.0,2043895340.43962,4049887419.0
best1bin,SMCO_EVO,GenSA,Zakharov,100,15,0,15,0.0,3.73584180255514e+17,4.064859420438224e+17
best1bin,SMCO_EVO,GenSA,Zakharov,200,10,0,10,0.0,8.921407920290213e+19,1.020150500726003e+20
