strategy,dim,algo,mean_fopt,mean_time,fopt_per_second,is_evo
best1bin,50,ADAM,79799118228629.86,5.921316783467773,13476583190318.037,False
best1bin,50,BOBYQA,230033122706707.9,82.06451264284784,2803076692940.745,False
best1bin,50,DEoptim,220957235678684.2,29.981259812798818,7369844931744.959,False
best1bin,50,GA,302590611597332.2,0.9331479100952856,324268648435845.56,False
best1bin,50,GD,330332094182153.75,2.8071409303578547,117675635950362.84,False
best1bin,50,GenSA,330332096205851.94,3.1230540198017844,105772136540506.47,False
best1bin,50,PSO,170783017791861.6,0.32697031715186314,522319638306924.6,False
best1bin,50,SA,330332093674855.94,7.268896126179024,45444602308342.336,False
best1bin,50,SMCO,308892082280307.3,5.797534594729077,53279903247346.13,False
best1bin,50,SMCO_BR,260530328818583.53,5.907555847954936,44101204546170.02,False
best1bin,50,SMCO_BR_EVO,265330813609173.1,6.021455538172741,44064231966361.055,True
best1bin,50,SMCO_EVO,310468184374777.1,5.924900023918599,52400577751764.375,True
best1bin,50,SMCO_R,294437112923750.06,5.7601203201920725,51116486558727.3,False
best1bin,50,SMCO_R_EVO,296277861319652.8,5.805692146965303,51032306539801.7,True
best1bin,50,SPSA,74309814438715.81,0.2169441941473633,342529629478074.5,False
best1bin,50,SignGD,330332093617501.4,2.192014897535555,150697923626745.47,False
best1bin,50,optimLBFGS,330332094194753.5,0.971335598861333,340080292107065.44,False
best1bin,50,optimNM,6446230565605.022,0.2736122926371172,23559725710695.465,False
best1bin,100,ADAM,1.7761890650371926e+16,15.965111044114456,1112544134600294.8,False
best1bin,100,BOBYQA,7.473569017606766e+16,284.77952322400483,262433511124608.8,False
best1bin,100,DEoptim,3.1289457118955204e+16,71.71454918870702,436305568018301.0,False
best1bin,100,GA,6.518682481263699e+16,1.0240003064305832,6.365898955622627e+16,False
best1bin,100,GD,8.129718842036517e+16,8.021667526572323,1.01346993191955e+16,False
best1bin,100,GenSA,8.129718842486518e+16,7.271839450855429,1.1179728179408818e+16,False
best1bin,100,PSO,2.7573079696180624e+16,0.3827383294515312,7.204159493430718e+16,False
best1bin,100,SA,8.129718841934358e+16,15.66276308996603,5190475521616276.0,False
best1bin,100,SMCO,7.453438227347854e+16,15.567024435686568,4787965907126893.0,False
best1bin,100,SMCO_BR,6.015280740698192e+16,15.910855148856838,3780614356941322.5,False
best1bin,100,SMCO_BR_EVO,6.1120605722285496e+16,15.851169225660463,3855905192365316.5,True
best1bin,100,SMCO_EVO,7.471683606206123e+16,15.500941320477674,4820148306951902.0,True
best1bin,100,SMCO_R,7.014724037735766e+16,15.445590501287953,4541570642540882.0,False
best1bin,100,SMCO_R_EVO,7.0527401062452344e+16,15.59522002571573,4522372941590835.0,True
best1bin,100,SPSA,8098238960196033.0,0.3164979831253489,2.558701600631916e+16,False
best1bin,100,SignGD,8.129718841942275e+16,5.432472052434459,1.4965044943579776e+16,False
best1bin,100,optimLBFGS,8.129718842037211e+16,1.703748460933566,4.771666139955041e+16,False
best1bin,100,optimNM,1025485206696362.6,0.49409320615852875,2075489389277977.5,False
best1bin,200,ADAM,4.152713206686902e+18,56.95587878433522,7.291105493097997e+16,False
best1bin,200,BOBYQA,1.706102073239267e+19,673.7443216512166,2.5322693170280704e+16,False
best1bin,200,DEoptim,4.117234118558517e+18,196.02166509550997,2.100397482366262e+16,False
best1bin,200,GA,1.342803186052638e+19,1.1902026774501429,1.1282138844868188e+19,False
best1bin,200,GD,2.0403010014542787e+19,26.86317397292238,7.595159840422682e+17,False
best1bin,200,GenSA,2.0403010014552367e+19,18.100843889126555,1.1271855687794068e+18,False
best1bin,200,PSO,3.762631572923393e+18,0.4435654370021075,8.48269783676927e+18,False
best1bin,200,SA,2.0403010014541787e+19,33.88612977699842,6.02105054451841e+17,False
best1bin,200,SMCO,1.7810208048069521e+19,52.503251894535495,3.392210464190923e+17,False
best1bin,200,SMCO_BR,1.2926396037421769e+19,53.331588109605946,2.423778570189156e+17,False
best1bin,200,SMCO_BR_EVO,1.3099980762473144e+19,53.27734507482033,2.4588276206474093e+17,True
best1bin,200,SMCO_EVO,1.7842815840601057e+19,53.261018842491325,3.350070319414574e+17,True
best1bin,200,SMCO_R,1.6252816173831619e+19,53.102399570336566,3.0606556964161325e+17,False
best1bin,200,SMCO_R_EVO,1.6363664121332281e+19,52.98236075190361,3.0885117025942163e+17,True
best1bin,200,SPSA,1.1236939043194172e+18,0.5232572291698306,2.1474980978326938e+18,False
best1bin,200,SignGD,2.040301001454061e+19,15.7900485483557,1.2921435898096264e+18,False
best1bin,200,optimLBFGS,2.04030100145428e+19,3.0637237809086217,6.659546184183677e+18,False
