strategy,variant,base_algo,evo_algo,func,dim,improve_pct,win_rate,n
best1bin,BASE,SMCO,SMCO_EVO,Ackley,100,2.8156000711022093,100.0,15
best1bin,BASE,SMCO,SMCO_EVO,Ackley,1000,3.4773158767377916,100.0,5
best1bin,BASE,SMCO,SMCO_EVO,Ackley,200,3.2325642997749546,100.0,10
best1bin,BASE,SMCO,SMCO_EVO,Ackley,2000,3.2333273725803213,100.0,3
best1bin,BASE,SMCO,SMCO_EVO,Ackley,3000,2.543542903231482,100.0,2
best1bin,BASE,SMCO,SMCO_EVO,Ackley,4000,1.95810305276085,100.0,2
best1bin,BASE,SMCO,SMCO_EVO,Ackley,50,2.4292416538026043,100.0,20
best1bin,BASE,SMCO,SMCO_EVO,Ackley,500,3.409971188579048,100.0,5
best1bin,BASE,SMCO,SMCO_EVO,Ackley,5000,1.8534460190261208,100.0,2
best1bin,BASE,SMCO,SMCO_EVO,Griewank,100,0.01121860496755372,66.66666666666666,15
best1bin,BASE,SMCO,SMCO_EVO,Griewank,200,-0.013721254099776571,50.0,10
best1bin,BASE,SMCO,SMCO_EVO,Griewank,50,-0.007885209448819321,45.0,20
best1bin,BASE,SMCO,SMCO_EVO,Rastrigin,100,-0.21268349984329224,33.33333333333333,15
best1bin,BASE,SMCO,SMCO_EVO,Rastrigin,1000,-0.0014866045489453099,40.0,5
best1bin,BASE,SMCO,SMCO_EVO,Rastrigin,200,-0.0007433087526116615,70.0,10
best1bin,BASE,SMCO,SMCO_EVO,Rastrigin,2000,0.0033514004141743906,66.66666666666666,3
best1bin,BASE,SMCO,SMCO_EVO,Rastrigin,3000,0.008138208594655123,50.0,2
best1bin,BASE,SMCO,SMCO_EVO,Rastrigin,4000,0.003897918040931683,100.0,2
best1bin,BASE,SMCO,SMCO_EVO,Rastrigin,50,0.11170908484405523,60.0,20
best1bin,BASE,SMCO,SMCO_EVO,Rastrigin,500,-0.0011463584539919225,60.0,5
best1bin,BASE,SMCO,SMCO_EVO,Rastrigin,5000,-0.01827009317980538,0.0,2
best1bin,BASE,SMCO,SMCO_EVO,Rosenbrock,100,0.2744467959794852,60.0,15
best1bin,BASE,SMCO,SMCO_EVO,Rosenbrock,1000,0.011818187686807905,80.0,5
