evo_algo,func,dim,strategy,fopt_mean,rank_among_strategies
SMCO_EVO,Rastrigin,50,best1bin,1713.53951531,1
SMCO_EVO,Rastrigin,50,sobol,1713.49036094,2
SMCO_EVO,Rastrigin,50,rand1bin,1713.47172525,3
SMCO_EVO,Rastrigin,50,current-to-best1bin,1713.45619882,4
SMCO_EVO,Rastrigin,100,current-to-best1bin,3261.57660545,1
SMCO_EVO,Rastrigin,100,best1bin,3261.57660545,2
SMCO_EVO,Rastrigin,100,sobol,3261.54270374,3
SMCO_EVO,Rastrigin,100,rand1bin,3261.53398029,4
SMCO_EVO,Rastrigin,200,current-to-best1bin,6337.65098984,1
SMCO_EVO,Rastrigin,200,best1bin,6337.65098984,2
SMCO_EVO,Rastrigin,200,sobol,6337.62382958,3
SMCO_EVO,Rastrigin,200,rand1bin,6337.61759154,4
SMCO_EVO,Rastrigin,500,sobol,14779.98841103,1
SMCO_EVO,Rastrigin,500,current-to-best1bin,14779.68241267,2
SMCO_EVO,Rastrigin,500,best1bin,14779.68241267,3
SMCO_EVO,Rastrigin,500,rand1bin,14779.58001211,4
SMCO_EVO,Rastrigin,1000,rand1bin,29110.28655616,1
SMCO_EVO,Rastrigin,1000,sobol,29110.27425132,2
SMCO_EVO,Rastrigin,1000,current-to-best1bin,29109.53341967,3
SMCO_EVO,Rastrigin,1000,best1bin,29109.53341967,4
SMCO_EVO,Rastrigin,2000,rand1bin,57883.78753974,1
SMCO_EVO,Rastrigin,2000,best1bin,57883.29476627,2
SMCO_EVO,Rastrigin,2000,current-to-best1bin,57883.29476627,3
SMCO_EVO,Rastrigin,2000,sobol,57882.64610056,4
SMCO_EVO,Rastrigin,3000,current-to-best1bin,86028.14017522,1
SMCO_EVO,Rastrigin,3000,best1bin,86028.14017522,2
SMCO_EVO,Rastrigin,3000,rand1bin,86027.41694923,3
SMCO_EVO,Rastrigin,3000,sobol,86027.19083699,4
SMCO_EVO,Rastrigin,4000,rand1bin,114316.99141116,1
SMCO_EVO,Rastrigin,4000,current-to-best1bin,114314.91250138,2
SMCO_EVO,Rastrigin,4000,best1bin,114314.91250138,3
SMCO_EVO,Rastrigin,4000,sobol,114305.59268592,4
SMCO_EVO,Rastrigin,5000,sobol,142433.69305263,1
SMCO_EVO,Rastrigin,5000,current-to-best1bin,142432.29777746,2
SMCO_EVO,Rastrigin,5000,best1bin,142432.29777746,3
SMCO_EVO,Rastrigin,5000,rand1bin,142431.54650329,4
SMCO_EVO,Ackley,50,best1bin,22.1626112,1
SMCO_EVO,Ackley,50,rand1bin,22.16175226,2
SMCO_EVO,Ackley,50,current-to-best1bin,22.15062549,3
SMCO_EVO,Ackley,50,sobol,21.97752663,4
SMCO_EVO,Ackley,100,rand1bin,22.1478847,1
SMCO_EVO,Ackley,100,best1bin,22.14155917,2
SMCO_EVO,Ackley,100,current-to-best1bin,22.11409043,3
SMCO_EVO,Ackley,100,sobol,21.95480525,4
SMCO_EVO,Ackley,200,rand1bin,22.11989292,1
SMCO_EVO,Ackley,200,best1bin,22.11058018,2
SMCO_EVO,Ackley,200,current-to-best1bin,22.09952213,3
SMCO_EVO,Ackley,200,sobol,21.92471041,4
SMCO_EVO,Ackley,500,rand1bin,22.10894967,1
SMCO_EVO,Ackley,500,best1bin,22.09636689,2
SMCO_EVO,Ackley,500,current-to-best1bin,22.08341999,3
SMCO_EVO,Ackley,500,sobol,21.90080949,4
SMCO_EVO,Ackley,1000,rand1bin,22.11808487,1
SMCO_EVO,Ackley,1000,best1bin,22.09938953,2
SMCO_EVO,Ackley,1000,current-to-best1bin,22.08734507,3
SMCO_EVO,Ackley,1000,sobol,21.89716439,4
SMCO_EVO,Ackley,2000,rand1bin,22.11583147,1
SMCO_EVO,Ackley,2000,best1bin,22.1045587,2
SMCO_EVO,Ackley,2000,current-to-best1bin,22.08847639,3
SMCO_EVO,Ackley,2000,sobol,21.88740663,4
SMCO_EVO,Ackley,3000,rand1bin,22.08619358,1
SMCO_EVO,Ackley,3000,best1bin,22.0798953,2
SMCO_EVO,Ackley,3000,current-to-best1bin,22.0323172,3
SMCO_EVO,Ackley,3000,sobol,21.87918206,4
SMCO_EVO,Ackley,4000,rand1bin,22.10504908,1
SMCO_EVO,Ackley,4000,best1bin,22.08921825,2
SMCO_EVO,Ackley,4000,current-to-best1bin,22.06464569,3
SMCO_EVO,Ackley,4000,sobol,21.89227611,4
SMCO_EVO,Ackley,5000,rand1bin,22.11147899,1
SMCO_EVO,Ackley,5000,best1bin,22.09918797,2
SMCO_EVO,Ackley,5000,current-to-best1bin,22.06094277,3
SMCO_EVO,Ackley,5000,sobol,21.87962725,4
SMCO_EVO,Rosenbrock,50,rand1bin,28834998.96402782,1
SMCO_EVO,Rosenbrock,50,best1bin,28787769.69336406,2
SMCO_EVO,Rosenbrock,50,sobol,28580814.58439665,3
SMCO_EVO,Rosenbrock,50,current-to-best1bin,28580313.2879377,4
SMCO_EVO,Rosenbrock,100,best1bin,54780042.29941387,1
SMCO_EVO,Rosenbrock,100,sobol,54642365.27886496,2
SMCO_EVO,Rosenbrock,100,rand1bin,54636047.60828162,3
SMCO_EVO,Rosenbrock,100,current-to-best1bin,54630038.65914771,4
SMCO_EVO,Rosenbrock,200,sobol,103161790.56746577,1
SMCO_EVO,Rosenbrock,200,current-to-best1bin,103140206.49786988,2
SMCO_EVO,Rosenbrock,200,best1bin,103140206.49786988,3
SMCO_EVO,Rosenbrock,200,rand1bin,103132153.02411371,4
SMCO_EVO,Rosenbrock,500,current-to-best1bin,243705721.84840137,1
SMCO_EVO,Rosenbrock,500,best1bin,243705721.84840137,2
SMCO_EVO,Rosenbrock,500,rand1bin,243665078.3340248,3
SMCO_EVO,Rosenbrock,500,sobol,243643057.98942876,4
SMCO_EVO,Rosenbrock,1000,current-to-best1bin,463443829.07431805,1
SMCO_EVO,Rosenbrock,1000,best1bin,463443829.07431805,2
SMCO_EVO,Rosenbrock,1000,rand1bin,463431517.42857647,3
SMCO_EVO,Rosenbrock,1000,sobol,463390623.2464468,4
SMCO_EVO,Rosenbrock,2000,sobol,869118998.1604986,1
SMCO_EVO,Rosenbrock,2000,rand1bin,869043776.6301566,2
SMCO_EVO,Rosenbrock,2000,current-to-best1bin,869037289.3809952,3
SMCO_EVO,Rosenbrock,2000,best1bin,869037289.3809952,4
SMCO_EVO,Rosenbrock,3000,rand1bin,1239484708.4143791,1
SMCO_EVO,Rosenbrock,3000,current-to-best1bin,1239385157.2331452,2
SMCO_EVO,Rosenbrock,3000,best1bin,1239385157.2331452,3
SMCO_EVO,Rosenbrock,3000,sobol,1239270944.6241322,4
SMCO_EVO,Rosenbrock,4000,best1bin,1607755773.5210905,1
SMCO_EVO,Rosenbrock,4000,current-to-best1bin,1601826824.5663753,2
SMCO_EVO,Rosenbrock,4000,rand1bin,1601772804.8045108,3
SMCO_EVO,Rosenbrock,4000,sobol,1601691257.611319,4
SMCO_EVO,Rosenbrock,5000,best1bin,2043895340.4396203,1
SMCO_EVO,Rosenbrock,5000,sobol,1954076967.4365642,2
SMCO_EVO,Rosenbrock,5000,current-to-best1bin,1953906656.3506606,3
SMCO_EVO,Rosenbrock,5000,rand1bin,1953822312.2048445,4
SMCO_EVO,Griewank,50,sobol,4400.68998186,1
