evo_algo,func,dim,best_strategy,best_fopt,worst_strategy,worst_fopt,strategy_gap_pct
SMCO_EVO,Rastrigin,50,best1bin,1713.539515,current-to-best1bin,1713.456199,0.0049
SMCO_EVO,Rastrigin,100,current-to-best1bin,3261.576605,rand1bin,3261.53398,0.0013
SMCO_EVO,Rastrigin,200,current-to-best1bin,6337.65099,rand1bin,6337.617592,0.0005
SMCO_EVO,Rastrigin,500,sobol,14779.988411,rand1bin,14779.580012,0.0028
SMCO_EVO,Rastrigin,1000,rand1bin,29110.286556,current-to-best1bin,29109.53342,0.0026
SMCO_EVO,Rastrigin,2000,rand1bin,57883.78754,sobol,57882.646101,0.002
SMCO_EVO,Rastrigin,3000,current-to-best1bin,86028.140175,sobol,86027.190837,0.0011
SMCO_EVO,Rastrigin,4000,rand1bin,114316.991411,sobol,114305.592686,0.01
SMCO_EVO,Rastrigin,5000,sobol,142433.693053,rand1bin,142431.546503,0.0015
SMCO_EVO,Ackley,50,best1bin,22.162611,sobol,21.977527,0.8422
SMCO_EVO,Ackley,100,rand1bin,22.147885,sobol,21.954805,0.8794
SMCO_EVO,Ackley,200,rand1bin,22.119893,sobol,21.92471,0.8902
SMCO_EVO,Ackley,500,rand1bin,22.10895,sobol,21.900809,0.9504
SMCO_EVO,Ackley,1000,rand1bin,22.118085,sobol,21.897164,1.0089
SMCO_EVO,Ackley,2000,rand1bin,22.115831,sobol,21.887407,1.0436
SMCO_EVO,Ackley,3000,rand1bin,22.086194,sobol,21.879182,0.9462
SMCO_EVO,Ackley,4000,rand1bin,22.105049,sobol,21.892276,0.9719
SMCO_EVO,Ackley,5000,rand1bin,22.111479,sobol,21.879627,1.0597
SMCO_EVO,Rosenbrock,50,rand1bin,28834998.964028,current-to-best1bin,28580313.287938,0.8911
SMCO_EVO,Rosenbrock,100,best1bin,54780042.299414,current-to-best1bin,54630038.659148,0.2746
SMCO_EVO,Rosenbrock,200,sobol,103161790.567466,rand1bin,103132153.024114,0.0287
SMCO_EVO,Rosenbrock,500,current-to-best1bin,243705721.848401,sobol,243643057.989429,0.0257
SMCO_EVO,Rosenbrock,1000,current-to-best1bin,463443829.074318,sobol,463390623.246447,0.0115
SMCO_EVO,Rosenbrock,2000,sobol,869118998.160499,current-to-best1bin,869037289.380995,0.0094
SMCO_EVO,Rosenbrock,3000,rand1bin,1239484708.414379,sobol,1239270944.624132,0.0172
SMCO_EVO,Rosenbrock,4000,best1bin,1607755773.52109,sobol,1601691257.611319,0.3786
SMCO_EVO,Rosenbrock,5000,best1bin,2043895340.43962,rand1bin,1953822312.204844,4.6101
SMCO_EVO,Griewank,50,sobol,4400.689982,current-to-best1bin,4400.258437,0.0098
SMCO_EVO,Griewank,100,rand1bin,8741.118464,current-to-best1bin,8741.076817,0.0005
SMCO_EVO,Griewank,200,rand1bin,17224.570128,sobol,17224.017281,0.0032
SMCO_EVO,Zakharov,50,best1bin,1552340893079979.8,sobol,1542792371747627.8,0.6189
SMCO_EVO,Zakharov,100,current-to-best1bin,3.73893546280408e+17,sobol,3.726256176222943e+17,0.3403
SMCO_EVO,Zakharov,200,rand1bin,8.927761864045686e+19,sobol,8.907148913005378e+19,0.2314
SMCO_EVO,Zakharov,500,current-to-best1bin,1.2564853484884617e+23,rand1bin,1.2528603542628458e+23,0.2893
SMCO_R_EVO,Rastrigin,50,best1bin,1712.207862,current-to-best1bin,1712.199214,0.0005
SMCO_R_EVO,Rastrigin,100,sobol,3269.609402,current-to-best1bin,3269.601923,0.0002
SMCO_R_EVO,Rastrigin,200,rand1bin,6344.204408,sobol,6344.189812,0.0002
SMCO_R_EVO,Rastrigin,500,rand1bin,14794.559837,sobol,14794.522484,0.0003
SMCO_R_EVO,Rastrigin,1000,rand1bin,29138.0369,sobol,29137.990211,0.0002
SMCO_R_EVO,Rastrigin,2000,rand1bin,57944.888086,current-to-best1bin,57943.735656,0.002
SMCO_R_EVO,Rastrigin,3000,current-to-best1bin,86094.555598,sobol,86092.236253,0.0027
SMCO_R_EVO,Rastrigin,4000,rand1bin,114388.860541,current-to-best1bin,114380.513059,0.0073
SMCO_R_EVO,Rastrigin,5000,current-to-best1bin,142540.836388,sobol,142537.523093,0.0023
SMCO_R_EVO,Ackley,50,rand1bin,22.200242,sobol,22.075299,0.566
SMCO_R_EVO,Ackley,100,rand1bin,22.195775,sobol,22.044535,0.6861
SMCO_R_EVO,Ackley,200,rand1bin,22.175409,sobol,21.985677,0.863
