strategy,func,pair,mean_improve,max_improve,min_improve,std_improve,mean_win_rate,positive_rate
rand1bin,Rastrigin,SMCO_vs_SMCO_EVO,-0.0122,0.1077,-0.214,0.0841,48.3,55.6
rand1bin,Rastrigin,SMCO_R_vs_SMCO_R_EVO,0.0173,0.0468,0.0,0.016,61.9,100.0
rand1bin,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,0.0058,0.0673,-0.0319,0.026,52.8,55.6
rand1bin,Ackley,SMCO_vs_SMCO_EVO,2.82,3.5649,1.9101,0.6193,100.0,100.0
rand1bin,Ackley,SMCO_R_vs_SMCO_R_EVO,1.3866,2.8424,0.576,0.7471,100.0,100.0
rand1bin,Ackley,SMCO_BR_vs_SMCO_BR_EVO,1.0648,1.2427,0.6422,0.2191,100.0,100.0
rand1bin,Rosenbrock,SMCO_vs_SMCO_EVO,0.0914,0.855,-0.0234,0.2867,41.3,55.6
rand1bin,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,1.108,4.2362,-0.0333,1.6731,73.0,77.8
rand1bin,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,8.1479,19.2001,0.3379,7.4684,81.1,100.0
rand1bin,Griewank,SMCO_vs_SMCO_EVO,-0.0018,0.0117,-0.0117,0.0121,51.7,33.3
rand1bin,Griewank,SMCO_R_vs_SMCO_R_EVO,-0.0123,0.0341,-0.0501,0.0428,48.3,33.3
rand1bin,Griewank,SMCO_BR_vs_SMCO_BR_EVO,-0.0069,0.0344,-0.0347,0.0364,56.1,33.3
rand1bin,Zakharov,SMCO_vs_SMCO_EVO,0.1332,0.2544,-0.0132,0.1146,65.0,75.0
rand1bin,Zakharov,SMCO_R_vs_SMCO_R_EVO,0.3592,0.4951,0.2736,0.096,78.8,100.0
rand1bin,Zakharov,SMCO_BR_vs_SMCO_BR_EVO,0.8523,1.4118,0.499,0.4056,71.2,100.0
current-to-best1bin,Rastrigin,SMCO_vs_SMCO_EVO,-0.0125,0.1068,-0.2127,0.0834,39.8,44.4
current-to-best1bin,Rastrigin,SMCO_R_vs_SMCO_R_EVO,0.0163,0.0467,-0.0,0.0164,52.8,66.7
current-to-best1bin,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,0.0022,0.0605,-0.0504,0.0279,44.8,55.6
current-to-best1bin,Ackley,SMCO_vs_SMCO_EVO,2.6684,3.4209,1.6772,0.652,100.0,100.0
current-to-best1bin,Ackley,SMCO_R_vs_SMCO_R_EVO,1.2525,2.6727,0.5234,0.7006,100.0,100.0
current-to-best1bin,Ackley,SMCO_BR_vs_SMCO_BR_EVO,0.937,1.0927,0.504,0.2048,100.0,100.0
current-to-best1bin,Rosenbrock,SMCO_vs_SMCO_EVO,-0.0059,0.0152,-0.0358,0.0189,47.8,33.3
current-to-best1bin,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,0.9263,4.0045,-0.0126,1.4356,70.9,77.8
current-to-best1bin,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,5.9117,16.0541,-0.0089,5.8901,77.8,88.9
current-to-best1bin,Griewank,SMCO_vs_SMCO_EVO,-0.0056,0.0112,-0.0144,0.0146,52.2,33.3
current-to-best1bin,Griewank,SMCO_R_vs_SMCO_R_EVO,-0.0145,0.0313,-0.0492,0.0414,48.9,33.3
current-to-best1bin,Griewank,SMCO_BR_vs_SMCO_BR_EVO,-0.0077,0.0368,-0.0376,0.0393,61.7,33.3
current-to-best1bin,Zakharov,SMCO_vs_SMCO_EVO,0.2398,0.3278,0.1758,0.0748,73.3,100.0
current-to-best1bin,Zakharov,SMCO_R_vs_SMCO_R_EVO,0.4776,0.6896,0.2076,0.2386,80.4,100.0
current-to-best1bin,Zakharov,SMCO_BR_vs_SMCO_BR_EVO,1.3763,1.5267,1.1852,0.1487,90.4,100.0
best1bin,Rastrigin,SMCO_vs_SMCO_EVO,-0.0119,0.1117,-0.2127,0.0843,53.3,44.4
best1bin,Rastrigin,SMCO_R_vs_SMCO_R_EVO,0.0164,0.0472,-0.0,0.0165,70.7,66.7
best1bin,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,0.0046,0.0605,-0.0285,0.0233,51.9,55.6
best1bin,Ackley,SMCO_vs_SMCO_EVO,2.7726,3.4773,1.8534,0.6131,100.0,100.0
best1bin,Ackley,SMCO_R_vs_SMCO_R_EVO,1.3177,2.7465,0.5687,0.7197,100.0,100.0
best1bin,Ackley,SMCO_BR_vs_SMCO_BR_EVO,1.0272,1.186,0.635,0.1984,100.0,100.0
best1bin,Rosenbrock,SMCO_vs_SMCO_EVO,0.6581,4.6026,-0.0272,1.4994,50.0,66.7
best1bin,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,2.12,4.0557,0.1471,1.4458,77.6,100.0
best1bin,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,8.1342,16.7062,0.783,5.8372,91.5,100.0
best1bin,Griewank,SMCO_vs_SMCO_EVO,-0.0035,0.0112,-0.0137,0.013,53.9,33.3
best1bin,Griewank,SMCO_R_vs_SMCO_R_EVO,-0.0144,0.0313,-0.0492,0.0413,50.6,33.3
best1bin,Griewank,SMCO_BR_vs_SMCO_BR_EVO,0.0798,0.1496,-0.0255,0.0928,63.9,66.7
best1bin,Zakharov,SMCO_vs_SMCO_EVO,0.2789,0.5102,0.1775,0.1572,76.7,100.0
best1bin,Zakharov,SMCO_R_vs_SMCO_R_EVO,0.5199,0.682,0.2303,0.2014,82.1,100.0
best1bin,Zakharov,SMCO_BR_vs_SMCO_BR_EVO,1.3552,1.8426,0.6266,0.5269,89.6,100.0
sobol,Rastrigin,SMCO_vs_SMCO_EVO,-0.0129,0.1088,-0.2137,0.084,36.3,55.6
sobol,Rastrigin,SMCO_R_vs_SMCO_R_EVO,0.0159,0.0467,-0.0002,0.016,62.4,66.7
sobol,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,0.0032,0.0497,-0.0271,0.0202,40.6,66.7
sobol,Ackley,SMCO_vs_SMCO_EVO,1.8481,2.5304,0.8415,0.6206,100.0,100.0
sobol,Ackley,SMCO_R_vs_SMCO_R_EVO,0.4567,1.7428,0.0053,0.6198,74.3,100.0
sobol,Ackley,SMCO_BR_vs_SMCO_BR_EVO,0.0362,0.1103,-0.0046,0.0434,71.5,77.8
sobol,Rosenbrock,SMCO_vs_SMCO_EVO,-0.005,0.0361,-0.0365,0.0255,43.0,55.6
sobol,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,-0.0171,0.0368,-0.1436,0.0547,55.0,44.4
sobol,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,-0.0436,0.0367,-0.1906,0.0718,47.2,33.3
sobol,Griewank,SMCO_vs_SMCO_EVO,-0.0027,0.0113,-0.0149,0.0132,53.9,33.3
sobol,Griewank,SMCO_R_vs_SMCO_R_EVO,-0.0025,0.0346,-0.038,0.0363,43.3,33.3
sobol,Griewank,SMCO_BR_vs_SMCO_BR_EVO,0.0145,0.0638,-0.0141,0.0429,62.2,33.3
sobol,Zakharov,SMCO_vs_SMCO_EVO,-0.0268,0.023,-0.108,0.0565,42.5,25.0
sobol,Zakharov,SMCO_R_vs_SMCO_R_EVO,-0.0076,0.0326,-0.0594,0.0458,35.0,50.0
sobol,Zakharov,SMCO_BR_vs_SMCO_BR_EVO,0.0203,0.0425,0.0007,0.0172,47.1,100.0
