strategy,func,algo,dim,fopt_mean,fopt_std
rand1bin,Rastrigin,SMCO,50,1711.62747192,31.96178581
rand1bin,Rastrigin,SMCO,100,3268.52822567,41.5475958
rand1bin,Rastrigin,SMCO,200,6337.69809851,65.48378907
rand1bin,Rastrigin,SMCO,500,14779.85184275,67.19184403
rand1bin,Rastrigin,SMCO,1000,29109.96616976,141.88767119
rand1bin,Rastrigin,SMCO,2000,57881.3549303,215.4658672
rand1bin,Rastrigin,SMCO,3000,86021.13959544,26.78539022
rand1bin,Rastrigin,SMCO,4000,114310.45677346,234.33160425
rand1bin,Rastrigin,SMCO,5000,142458.32504619,194.88279805
rand1bin,Rastrigin,SMCO_R,50,1711.40074284,32.72299442
rand1bin,Rastrigin,SMCO_R,100,3268.93924566,42.25257424
rand1bin,Rastrigin,SMCO_R,200,6344.19993499,65.7027131
rand1bin,Rastrigin,SMCO_R,500,14794.53924205,67.5173606
rand1bin,Rastrigin,SMCO_R,1000,29138.03230207,142.43430035
rand1bin,Rastrigin,SMCO_R,2000,57929.57599256,217.7766563
rand1bin,Rastrigin,SMCO_R,3000,86068.11548492,22.78579681
rand1bin,Rastrigin,SMCO_R,4000,114374.76422764,235.51437718
rand1bin,Rastrigin,SMCO_R,5000,142512.25069086,196.60138387
rand1bin,Rastrigin,SMCO_BR,50,1713.6892573,34.66405289
rand1bin,Rastrigin,SMCO_BR,100,3259.31062261,43.41014728
rand1bin,Rastrigin,SMCO_BR,200,6336.63125565,65.2672875
rand1bin,Rastrigin,SMCO_BR,500,14784.4241961,66.64079655
rand1bin,Rastrigin,SMCO_BR,1000,29126.31025437,142.08459791
rand1bin,Rastrigin,SMCO_BR,2000,57911.78566871,213.85668736
rand1bin,Rastrigin,SMCO_BR,3000,86027.3630172,23.72597834
rand1bin,Rastrigin,SMCO_BR,4000,114314.06385418,214.99146069
rand1bin,Rastrigin,SMCO_BR,5000,142460.14573843,185.2922606
rand1bin,Rastrigin,SMCO_EVO,50,1713.47172525,29.68238688
rand1bin,Rastrigin,SMCO_EVO,100,3261.53398029,44.83418054
rand1bin,Rastrigin,SMCO_EVO,200,6337.61759154,65.55261336
rand1bin,Rastrigin,SMCO_EVO,500,14779.58001211,67.4401296
rand1bin,Rastrigin,SMCO_EVO,1000,29110.28655616,142.05592991
rand1bin,Rastrigin,SMCO_EVO,2000,57883.78753974,217.93840645
rand1bin,Rastrigin,SMCO_EVO,3000,86027.41694923,8.16922943
rand1bin,Rastrigin,SMCO_EVO,4000,114316.99141116,241.6108531
rand1bin,Rastrigin,SMCO_EVO,5000,142431.54650329,219.34301858
rand1bin,Rastrigin,SMCO_R_EVO,50,1712.20163598,33.63637046
rand1bin,Rastrigin,SMCO_R_EVO,100,3269.60914948,42.37424437
