strategy,func,algo,spearman_rho,spearman_p,correlation,significant,n_dims,fopt_50D,fopt_maxD
rand1bin,Rastrigin,SMCO,1.0,0.0,increasing,1,9,1711.62747192,142458.32504619
rand1bin,Rastrigin,SMCO_R,1.0,0.0,increasing,1,9,1711.40074284,142512.25069086
rand1bin,Rastrigin,SMCO_BR,1.0,0.0,increasing,1,9,1713.6892573,142460.14573843
rand1bin,Rastrigin,SMCO_EVO,1.0,0.0,increasing,1,9,1713.47172525,142431.54650329
rand1bin,Rastrigin,SMCO_R_EVO,1.0,0.0,increasing,1,9,1712.20163598,142539.9339122
rand1bin,Rastrigin,SMCO_BR_EVO,1.0,0.0,increasing,1,9,1713.14177105,142458.56569411
rand1bin,Rastrigin,GenSA,1.0,0.0,increasing,1,9,2017.66450969,201766.21261094
rand1bin,Rastrigin,SA,1.0,0.0,increasing,1,9,2016.65940883,144455.59698672
rand1bin,Rastrigin,DEoptim,1.0,0.0,increasing,1,9,1319.76307953,95772.36984368
rand1bin,Rastrigin,GA,1.0,0.0,increasing,1,9,1677.50704804,94743.88053802
rand1bin,Rastrigin,PSO,1.0,0.0,increasing,1,9,1513.66428745,144957.97011654
rand1bin,Ackley,SMCO,0.2833,0.46003,increasing,0,9,21.63699628,21.69704496
rand1bin,Ackley,SMCO_R,-0.9167,0.000507,decreasing,1,9,22.07309395,21.7257027
rand1bin,Ackley,SMCO_BR,-0.95,8.8e-05,decreasing,1,9,22.06999457,21.91259762
rand1bin,Ackley,SMCO_EVO,-0.8,0.009628,decreasing,1,9,22.16175226,22.11147899
rand1bin,Ackley,SMCO_R_EVO,-0.7333,0.024554,decreasing,1,9,22.20024201,22.15293404
rand1bin,Ackley,SMCO_BR_EVO,-0.8,0.009628,decreasing,1,9,22.21172599,22.18490993
rand1bin,Ackley,GenSA,-1.0,0.0,decreasing,1,9,22.29973317,21.7314873
rand1bin,Ackley,SA,-1.0,0.0,decreasing,1,9,22.06548527,21.66547433
rand1bin,Ackley,DEoptim,-1.0,0.0,decreasing,1,9,21.83010022,21.32833238
rand1bin,Ackley,GA,-1.0,0.0,decreasing,1,9,21.87333817,21.38560647
rand1bin,Ackley,PSO,-0.9833,2e-06,decreasing,1,9,22.08361389,21.7214349
rand1bin,Rosenbrock,SMCO,1.0,0.0,increasing,1,9,28590556.0892473,1953961917.8469484
rand1bin,Rosenbrock,SMCO_R,1.0,0.0,increasing,1,9,27764812.00991679,1699574361.5793364
rand1bin,Rosenbrock,SMCO_BR,1.0,0.0,increasing,1,9,25826421.5384137,1318276891.8457017
rand1bin,Rosenbrock,SMCO_EVO,1.0,0.0,increasing,1,9,28834998.96402782,1953822312.2048445
