strategy,pair,func,dim,improve_pct,time_overhead_pct,cost_benefit
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,50,0.1077,-13.38,inf
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,100,-0.214,-3.66,inf
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,200,-0.0013,5.57,-0.0002
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,500,-0.0018,0.42,-0.0044
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,1000,0.0011,10.48,0.0001
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,2000,0.0042,2.14,0.002
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,3000,0.0073,1.77,0.0041
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,4000,0.0057,-0.22,inf
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,5000,-0.0188,8.03,-0.0023
rand1bin,SMCO_vs_SMCO_EVO,Ackley,50,2.4253,12.14,0.1997
rand1bin,SMCO_vs_SMCO_EVO,Ackley,100,2.845,-1.12,inf
rand1bin,SMCO_vs_SMCO_EVO,Ackley,200,3.276,-2.92,inf
rand1bin,SMCO_vs_SMCO_EVO,Ackley,500,3.4689,2.24,1.5484
rand1bin,SMCO_vs_SMCO_EVO,Ackley,1000,3.5649,1.93,1.8485
rand1bin,SMCO_vs_SMCO_EVO,Ackley,2000,3.286,2.18,1.5067
rand1bin,SMCO_vs_SMCO_EVO,Ackley,3000,2.5728,4.26,0.6036
rand1bin,SMCO_vs_SMCO_EVO,Ackley,4000,2.0312,4.05,0.5019
rand1bin,SMCO_vs_SMCO_EVO,Ackley,5000,1.9101,-0.79,inf
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,50,0.855,9.19,0.093
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,100,0.0109,7.45,0.0015
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,200,0.0074,2.56,0.0029
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,500,-0.0201,1.6,-0.0126
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,1000,0.0092,-3.19,inf
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,2000,-0.0234,-1.2,inf
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,3000,-0.0192,-2.49,inf
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,4000,0.0101,5.98,0.0017
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,5000,-0.0071,-0.94,inf
rand1bin,SMCO_vs_SMCO_EVO,Griewank,50,-0.0053,11.57,-0.0005
rand1bin,SMCO_vs_SMCO_EVO,Griewank,100,0.0117,12.47,0.0009
rand1bin,SMCO_vs_SMCO_EVO,Griewank,200,-0.0117,-4.09,inf
rand1bin,SMCO_vs_SMCO_EVO,Zakharov,50,0.1842,-13.38,inf
rand1bin,SMCO_vs_SMCO_EVO,Zakharov,100,0.1073,4.88,0.022
rand1bin,SMCO_vs_SMCO_EVO,Zakharov,200,0.2544,-4.97,inf
rand1bin,SMCO_vs_SMCO_EVO,Zakharov,500,-0.0132,-4.38,inf
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,50,0.0468,10.5,0.0045
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,100,0.0205,-7.1,inf
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,200,0.0001,-0.94,inf
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,500,0.0001,4.79,0.0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,1000,0.0,8.83,0.0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,2000,0.0264,6.33,0.0042
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,3000,0.0301,2.16,0.014
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,4000,0.0123,1.13,0.0109
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,5000,0.0194,6.49,0.003
rand1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,50,0.576,6.67,0.0864
rand1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,100,0.7138,9.99,0.0714
rand1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,200,1.0118,-6.76,inf
rand1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,500,0.9891,-1.21,inf
rand1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,1000,1.0421,-2.1,inf
rand1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,2000,1.2668,-1.32,inf
rand1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,3000,2.8424,2.4,1.184
rand1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,4000,2.071,1.84,1.1239
rand1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,5000,1.9665,-3.37,inf
