strategy,base_variant,evo_variant,mean_improve,median_improve,std_improve,positive_rate,max_improve,avg_time_overhead
rand1bin,SMCO,SMCO_EVO,0.783,0.0096,1.2875,67.6,3.5649,1.59
rand1bin,SMCO_R,SMCO_R_EVO,0.7061,0.2511,1.0845,85.3,4.2362,1.16
rand1bin,SMCO_BR,SMCO_BR_EVO,2.5398,0.7063,5.0404,82.4,19.2001,1.2
current-to-best1bin,SMCO,SMCO_EVO,0.7292,0.0115,1.2274,61.8,3.4209,1.14
current-to-best1bin,SMCO_R,SMCO_R_EVO,0.636,0.1272,0.947,79.4,4.0045,-0.16
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,1.9747,0.9763,3.7955,79.4,16.0541,0.47
best1bin,SMCO,SMCO_EVO,0.9375,0.1446,1.3995,70.6,4.6026,1.66
best1bin,SMCO_R,SMCO_R_EVO,0.9742,0.5969,1.1792,85.3,4.0557,0.42
best1bin,SMCO_BR,SMCO_BR_EVO,2.5928,1.0418,4.4638,85.3,16.7062,1.02
sobol,SMCO,SMCO_EVO,0.4811,0.0036,0.8881,61.8,2.5304,0.94
sobol,SMCO_R,SMCO_R_EVO,0.1195,0.0139,0.3695,64.7,1.7428,1.03
sobol,SMCO_BR,SMCO_BR_EVO,0.0026,0.0022,0.0537,61.8,0.1103,0.55
