config,strategy,func,dim,algo,fopt_mean,rank
rand1bin_Ackley_100,rand1bin,Ackley,100,GenSA,22.28421293980727,1
rand1bin_Ackley_100,rand1bin,Ackley,100,SMCO_BR_EVO,22.203860993847588,2
rand1bin_Ackley_100,rand1bin,Ackley,100,SMCO_R_EVO,22.195775382492325,3
rand1bin_Ackley_100,rand1bin,Ackley,100,SMCO_EVO,22.147884700290053,4
rand1bin_Ackley_100,rand1bin,Ackley,100,SA,22.057599567521812,5
rand1bin_Ackley_100,rand1bin,Ackley,100,SMCO_R,22.038464384055782,6
rand1bin_Ackley_100,rand1bin,Ackley,100,SMCO_BR,22.034128689829082,7
rand1bin_Ackley_100,rand1bin,Ackley,100,PSO,22.034127095732682,8
rand1bin_Ackley_100,rand1bin,Ackley,100,optimLBFGS,21.99607926083114,9
rand1bin_Ackley_100,rand1bin,Ackley,100,GD,21.996070927635813,10
rand1bin_Ackley_100,rand1bin,Ackley,100,ADAM,21.995917549968397,11
rand1bin_Ackley_100,rand1bin,Ackley,100,SignGD,21.9938398998415,12
rand1bin_Ackley_100,rand1bin,Ackley,100,BOBYQA,21.967177999030817,13
rand1bin_Ackley_100,rand1bin,Ackley,100,GA,21.747230058586418,14
rand1bin_Ackley_100,rand1bin,Ackley,100,DEoptim,21.69894611390573,15
rand1bin_Ackley_100,rand1bin,Ackley,100,optimNM,21.56106255398637,16
rand1bin_Ackley_100,rand1bin,Ackley,100,SMCO,21.535213676492056,17
rand1bin_Ackley_100,rand1bin,Ackley,100,SPSA,21.522155498683365,18
rand1bin_Ackley_1000,rand1bin,Ackley,1000,SMCO_BR_EVO,22.192979486877405,1
rand1bin_Ackley_1000,rand1bin,Ackley,1000,SMCO_R_EVO,22.178027911537946,2
rand1bin_Ackley_1000,rand1bin,Ackley,1000,GenSA,22.1311893631594,3
rand1bin_Ackley_1000,rand1bin,Ackley,1000,SMCO_EVO,22.11808487114355,4
rand1bin_Ackley_1000,rand1bin,Ackley,1000,SA,21.962780464187713,5
