algo,avg_rank,median_rank,std_rank,best_rank,worst_rank,n_configs,is_evo
GenSA,1.662,1.0,1.2,1,5,136,False
SA,4.074,3.0,2.688,1,11,136,False
SMCO_R_EVO,5.39,5.0,2.763,1,12,136,True
SMCO_EVO,5.75,6.0,1.992,3,13,136,True
PSO,6.309,5.0,4.098,2,16,136,False
SMCO_R,6.934,7.0,2.164,3,12,136,False
SMCO_BR_EVO,7.029,7.0,3.885,1,15,136,True
optimLBFGS,7.733,6.0,4.991,2,16,60,False
SMCO,7.949,8.0,3.617,3,18,136,False
SMCO_BR,8.309,8.0,3.14,3,15,136,False
BOBYQA,9.117,12.0,5.381,1,16,60,False
GD,9.333,9.5,4.041,5,15,60,False
SignGD,10.4,12.0,3.801,4,15,60,False
GA,11.007,10.0,2.075,8,16,136,False
SPSA,12.333,17.0,6.635,2,18,60,False
DEoptim,12.794,11.0,2.551,10,17,136,False
ADAM,13.35,14.0,2.945,6,17,60,False
optimNM,17.333,18.0,0.951,15,18,60,False
