strategy,pair,func,dim,n,improve_pct,wilcoxon_p,significant_005,significant_001,cohens_d,effect_size
rand1bin,SMCO_vs_SMCO_EVO,Ackley,100,15,2.845,6.1e-05,1,1,17.2146,large
rand1bin,SMCO_vs_SMCO_EVO,Ackley,1000,5,3.5649,0.0625,0,0,52.5771,large
rand1bin,SMCO_vs_SMCO_EVO,Ackley,200,10,3.276,0.001953,1,1,32.1776,large
rand1bin,SMCO_vs_SMCO_EVO,Ackley,2000,3,3.286,0.25,0,0,74.641,large
rand1bin,SMCO_vs_SMCO_EVO,Ackley,3000,2,2.5728,NaN,0,0,208.6198,large
rand1bin,SMCO_vs_SMCO_EVO,Ackley,4000,2,2.0312,NaN,0,0,71.3842,large
rand1bin,SMCO_vs_SMCO_EVO,Ackley,50,20,2.4253,2e-06,1,1,14.3812,large
rand1bin,SMCO_vs_SMCO_EVO,Ackley,500,5,3.4689,0.0625,0,0,61.7041,large
rand1bin,SMCO_vs_SMCO_EVO,Ackley,5000,2,1.9101,NaN,0,0,154.1148,large
rand1bin,SMCO_vs_SMCO_EVO,Griewank,100,15,0.0117,0.561401,0,0,0.1438,small
rand1bin,SMCO_vs_SMCO_EVO,Griewank,200,10,-0.0117,0.695312,0,0,-0.154,small
rand1bin,SMCO_vs_SMCO_EVO,Griewank,50,20,-0.0053,0.728506,0,0,-0.0398,small
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,100,15,-0.214,0.276855,0,0,-0.1618,small
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,1000,5,0.0011,1.0,0,0,0.0023,small
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,200,10,-0.0013,0.921875,0,0,-0.0012,small
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,2000,3,0.0042,1.0,0,0,0.0112,small
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,3000,2,0.0073,NaN,0,0,0.317,small
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,4000,2,0.0057,NaN,0,0,0.0275,small
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,50,20,0.1077,0.728506,0,0,0.0598,small
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,500,5,-0.0018,1.0,0,0,-0.004,small
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,5000,2,-0.0188,NaN,0,0,-0.1291,small
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,100,15,0.0109,0.890381,0,0,0.0036,small
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,1000,5,0.0092,0.625,0,0,0.0159,small
