strategy,func,dim,algo,fopt_mean,time_mean,is_pareto,is_evo
rand1bin,Ackley,100,GenSA,22.28421294,6.09,1,False
rand1bin,Ackley,100,optimNM,21.56106255,0.44,0,False
rand1bin,Ackley,100,SPSA,21.5221555,0.15,1,False
rand1bin,Ackley,100,optimLBFGS,21.99607926,0.48,0,False
rand1bin,Ackley,100,SMCO_BR,22.03412869,17.55,0,False
rand1bin,Ackley,100,SMCO_EVO,22.1478847,18.61,0,True
rand1bin,Ackley,100,SMCO_R_EVO,22.19577538,18.23,0,True
rand1bin,Ackley,100,BOBYQA,21.967178,29.22,0,False
rand1bin,Ackley,100,SA,22.05759957,26.73,0,False
rand1bin,Ackley,100,SignGD,21.9938399,6.73,0,False
rand1bin,Ackley,100,GA,21.74723006,0.88,0,False
rand1bin,Ackley,100,SMCO_R,22.03846438,16.58,0,False
rand1bin,Ackley,100,SMCO,21.53521368,18.82,0,False
rand1bin,Ackley,100,SMCO_BR_EVO,22.20386099,16.2,0,True
rand1bin,Ackley,100,DEoptim,21.69894611,63.62,0,False
rand1bin,Ackley,100,GD,21.99607093,15.08,0,False
rand1bin,Ackley,100,PSO,22.0341271,0.36,1,False
rand1bin,Ackley,100,ADAM,21.99591755,15.47,0,False
rand1bin,Ackley,1000,GenSA,22.13118936,149.1,1,False
rand1bin,Ackley,1000,SMCO_EVO,22.11808487,1079.33,0,True
rand1bin,Ackley,1000,SMCO_BR,21.94129771,1026.87,0,False
rand1bin,Ackley,1000,SMCO_R_EVO,22.17802791,1071.05,1,True
rand1bin,Ackley,1000,SA,21.96278046,355.95,0,False
rand1bin,Ackley,1000,SMCO,21.35674794,1058.91,0,False
rand1bin,Ackley,1000,GA,21.46911005,2.18,0,False
rand1bin,Ackley,1000,SMCO_R,21.94929137,1093.98,0,False
rand1bin,Ackley,1000,DEoptim,21.40238059,1904.74,0,False
rand1bin,Ackley,1000,SMCO_BR_EVO,22.19297949,1120.01,1,True
rand1bin,Ackley,1000,PSO,21.78589313,0.93,1,False
rand1bin,Ackley,200,GenSA,22.24978918,13.75,1,False
rand1bin,Ackley,200,optimNM,21.44036847,1.62,0,False
rand1bin,Ackley,200,SPSA,21.45946628,0.26,1,False
rand1bin,Ackley,200,optimLBFGS,21.98502321,1.98,1,False
rand1bin,Ackley,200,SMCO_EVO,22.11989292,57.1,0,True
rand1bin,Ackley,200,SMCO_R_EVO,22.17540888,56.84,0,True
rand1bin,Ackley,200,SA,22.04652536,60.82,0,False
rand1bin,Ackley,200,SMCO_BR,21.97232981,56.92,0,False
rand1bin,Ackley,200,GD,21.98502133,49.8,0,False
rand1bin,Ackley,200,BOBYQA,21.8149604,62.74,0,False
rand1bin,Ackley,200,SignGD,21.98372281,19.15,0,False
rand1bin,Ackley,200,GA,21.65704026,1.13,0,False
rand1bin,Ackley,200,SMCO,21.41822237,58.82,0,False
rand1bin,Ackley,200,SMCO_R,21.95328103,60.95,0,False
rand1bin,Ackley,200,DEoptim,21.5845815,171.8,0,False
rand1bin,Ackley,200,SMCO_BR_EVO,22.19753446,53.58,0,True
rand1bin,Ackley,200,PSO,21.95255027,0.46,1,False
rand1bin,Ackley,200,ADAM,21.9849489,66.02,0,False
rand1bin,Ackley,2000,GenSA,21.94001171,454.09,1,False
rand1bin,Ackley,2000,SMCO_EVO,22.11583147,4561.16,0,True
rand1bin,Ackley,2000,SMCO_BR,21.92156924,4450.13,0,False
rand1bin,Ackley,2000,SMCO_R_EVO,22.17797944,4439.05,0,True
rand1bin,Ackley,2000,SA,21.8924745,567.53,0,False
rand1bin,Ackley,2000,SMCO,21.41223117,4463.81,0,False
rand1bin,Ackley,2000,GA,21.42397827,4.08,0,False
rand1bin,Ackley,2000,SMCO_R,21.90054567,4498.22,0,False
rand1bin,Ackley,2000,DEoptim,21.36305693,6692.11,0,False
rand1bin,Ackley,2000,SMCO_BR_EVO,22.18821204,4403.16,1,True
rand1bin,Ackley,2000,PSO,21.77345901,1.62,1,False
rand1bin,Ackley,3000,GenSA,21.90540034,939.21,1,False
rand1bin,Ackley,3000,SMCO_EVO,22.08619358,8901.66,0,True
rand1bin,Ackley,3000,SMCO_BR,21.90992625,8299.56,1,False
rand1bin,Ackley,3000,SMCO_R_EVO,22.17659688,8504.02,0,True
rand1bin,Ackley,3000,SA,21.86492905,723.8,1,False
rand1bin,Ackley,3000,SMCO,21.53221419,8537.73,0,False
rand1bin,Ackley,3000,GA,21.40466069,4.62,0,False
rand1bin,Ackley,3000,SMCO_R,21.56366743,8304.65,0,False
rand1bin,Ackley,3000,DEoptim,21.34290123,13300.77,0,False
rand1bin,Ackley,3000,SMCO_BR_EVO,22.17783126,8454.32,1,True
rand1bin,Ackley,3000,PSO,21.74146524,3.1,1,False
rand1bin,Ackley,4000,GenSA,21.86477087,1672.18,1,False
rand1bin,Ackley,4000,SMCO_EVO,22.10504908,17053.55,0,True
rand1bin,Ackley,4000,SMCO_BR,21.90941467,15870.07,1,False
rand1bin,Ackley,4000,SMCO_R_EVO,22.14593543,16454.61,0,True
rand1bin,Ackley,4000,SA,21.84268349,1007.62,1,False
rand1bin,Ackley,4000,SMCO,21.66499532,16390.19,0,False
rand1bin,Ackley,4000,GA,21.39722857,5.3,0,False
rand1bin,Ackley,4000,SMCO_R,21.69659647,16156.89,0,False
rand1bin,Ackley,4000,DEoptim,21.34122139,22321.17,0,False
rand1bin,Ackley,4000,SMCO_BR_EVO,22.18100381,16361.68,1,True
rand1bin,Ackley,4000,PSO,21.71180501,3.58,1,False
rand1bin,Ackley,50,GenSA,22.29973317,2.46,1,False
rand1bin,Ackley,50,optimNM,21.83530949,0.27,0,False
rand1bin,Ackley,50,SPSA,21.67355384,0.15,1,False
rand1bin,Ackley,50,optimLBFGS,22.01541909,0.22,1,False
rand1bin,Ackley,50,SMCO_BR,22.06999457,5.72,0,False
