strategy,evo_algo,baseline,evo_wins,baseline_wins,ties,total,evo_win_rate
rand1bin,SMCO_EVO,GenSA,4,30,0,34,11.8
rand1bin,SMCO_EVO,SA,12,22,0,34,35.3
rand1bin,SMCO_EVO,DEoptim,34,0,0,34,100.0
rand1bin,SMCO_EVO,GA,34,0,0,34,100.0
rand1bin,SMCO_EVO,PSO,17,17,0,34,50.0
rand1bin,SMCO_EVO,GD,9,6,0,15,60.0
rand1bin,SMCO_EVO,SignGD,12,3,0,15,80.0
rand1bin,SMCO_EVO,ADAM,15,0,0,15,100.0
rand1bin,SMCO_EVO,SPSA,11,4,0,15,73.3
rand1bin,SMCO_EVO,optimLBFGS,8,7,0,15,53.3
rand1bin,SMCO_EVO,BOBYQA,9,6,0,15,60.0
rand1bin,SMCO_EVO,optimNM,15,0,0,15,100.0
rand1bin,SMCO_R_EVO,GenSA,6,28,0,34,17.6
rand1bin,SMCO_R_EVO,SA,11,23,0,34,32.4
rand1bin,SMCO_R_EVO,DEoptim,34,0,0,34,100.0
rand1bin,SMCO_R_EVO,GA,33,1,0,34,97.1
rand1bin,SMCO_R_EVO,PSO,17,17,0,34,50.0
rand1bin,SMCO_R_EVO,GD,9,6,0,15,60.0
rand1bin,SMCO_R_EVO,SignGD,10,5,0,15,66.7
rand1bin,SMCO_R_EVO,ADAM,15,0,0,15,100.0
rand1bin,SMCO_R_EVO,SPSA,11,4,0,15,73.3
rand1bin,SMCO_R_EVO,optimLBFGS,8,7,0,15,53.3
rand1bin,SMCO_R_EVO,BOBYQA,8,7,0,15,53.3
rand1bin,SMCO_R_EVO,optimNM,15,0,0,15,100.0
rand1bin,SMCO_BR_EVO,GenSA,6,28,0,34,17.6
rand1bin,SMCO_BR_EVO,SA,10,24,0,34,29.4
rand1bin,SMCO_BR_EVO,DEoptim,34,0,0,34,100.0
rand1bin,SMCO_BR_EVO,GA,29,5,0,34,85.3
rand1bin,SMCO_BR_EVO,PSO,17,17,0,34,50.0
rand1bin,SMCO_BR_EVO,GD,9,6,0,15,60.0
rand1bin,SMCO_BR_EVO,SignGD,9,6,0,15,60.0
rand1bin,SMCO_BR_EVO,ADAM,14,1,0,15,93.3
rand1bin,SMCO_BR_EVO,SPSA,11,4,0,15,73.3
rand1bin,SMCO_BR_EVO,optimLBFGS,8,7,0,15,53.3
rand1bin,SMCO_BR_EVO,BOBYQA,7,8,0,15,46.7
rand1bin,SMCO_BR_EVO,optimNM,15,0,0,15,100.0
current-to-best1bin,SMCO_EVO,GenSA,4,30,0,34,11.8
current-to-best1bin,SMCO_EVO,SA,12,22,0,34,35.3
current-to-best1bin,SMCO_EVO,DEoptim,34,0,0,34,100.0
current-to-best1bin,SMCO_EVO,GA,34,0,0,34,100.0
current-to-best1bin,SMCO_EVO,PSO,17,17,0,34,50.0
current-to-best1bin,SMCO_EVO,GD,9,6,0,15,60.0
current-to-best1bin,SMCO_EVO,SignGD,12,3,0,15,80.0
current-to-best1bin,SMCO_EVO,ADAM,15,0,0,15,100.0
current-to-best1bin,SMCO_EVO,SPSA,11,4,0,15,73.3
current-to-best1bin,SMCO_EVO,optimLBFGS,8,7,0,15,53.3
current-to-best1bin,SMCO_EVO,BOBYQA,10,5,0,15,66.7
current-to-best1bin,SMCO_EVO,optimNM,15,0,0,15,100.0
current-to-best1bin,SMCO_R_EVO,GenSA,5,29,0,34,14.7
current-to-best1bin,SMCO_R_EVO,SA,11,23,0,34,32.4
current-to-best1bin,SMCO_R_EVO,DEoptim,34,0,0,34,100.0
current-to-best1bin,SMCO_R_EVO,GA,33,1,0,34,97.1
current-to-best1bin,SMCO_R_EVO,PSO,17,17,0,34,50.0
current-to-best1bin,SMCO_R_EVO,GD,9,6,0,15,60.0
current-to-best1bin,SMCO_R_EVO,SignGD,10,5,0,15,66.7
current-to-best1bin,SMCO_R_EVO,ADAM,15,0,0,15,100.0
current-to-best1bin,SMCO_R_EVO,SPSA,11,4,0,15,73.3
current-to-best1bin,SMCO_R_EVO,optimLBFGS,8,7,0,15,53.3
current-to-best1bin,SMCO_R_EVO,BOBYQA,8,7,0,15,53.3
current-to-best1bin,SMCO_R_EVO,optimNM,15,0,0,15,100.0
current-to-best1bin,SMCO_BR_EVO,GenSA,5,29,0,34,14.7
current-to-best1bin,SMCO_BR_EVO,SA,10,24,0,34,29.4
current-to-best1bin,SMCO_BR_EVO,DEoptim,34,0,0,34,100.0
current-to-best1bin,SMCO_BR_EVO,GA,29,5,0,34,85.3
current-to-best1bin,SMCO_BR_EVO,PSO,17,17,0,34,50.0
current-to-best1bin,SMCO_BR_EVO,GD,9,6,0,15,60.0
current-to-best1bin,SMCO_BR_EVO,SignGD,9,6,0,15,60.0
current-to-best1bin,SMCO_BR_EVO,ADAM,14,1,0,15,93.3
current-to-best1bin,SMCO_BR_EVO,SPSA,11,4,0,15,73.3
current-to-best1bin,SMCO_BR_EVO,optimLBFGS,8,7,0,15,53.3
current-to-best1bin,SMCO_BR_EVO,BOBYQA,7,8,0,15,46.7
current-to-best1bin,SMCO_BR_EVO,optimNM,15,0,0,15,100.0
best1bin,SMCO_EVO,GenSA,4,30,0,34,11.8
best1bin,SMCO_EVO,SA,12,22,0,34,35.3
best1bin,SMCO_EVO,DEoptim,34,0,0,34,100.0
best1bin,SMCO_EVO,GA,34,0,0,34,100.0
best1bin,SMCO_EVO,PSO,17,17,0,34,50.0
best1bin,SMCO_EVO,GD,9,6,0,15,60.0
best1bin,SMCO_EVO,SignGD,12,3,0,15,80.0
best1bin,SMCO_EVO,ADAM,15,0,0,15,100.0
best1bin,SMCO_EVO,SPSA,11,4,0,15,73.3
best1bin,SMCO_EVO,optimLBFGS,8,7,0,15,53.3
best1bin,SMCO_EVO,BOBYQA,9,6,0,15,60.0
best1bin,SMCO_EVO,optimNM,15,0,0,15,100.0
best1bin,SMCO_R_EVO,GenSA,5,29,0,34,14.7
best1bin,SMCO_R_EVO,SA,11,23,0,34,32.4
best1bin,SMCO_R_EVO,DEoptim,34,0,0,34,100.0
best1bin,SMCO_R_EVO,GA,33,1,0,34,97.1
best1bin,SMCO_R_EVO,PSO,17,17,0,34,50.0
best1bin,SMCO_R_EVO,GD,9,6,0,15,60.0
best1bin,SMCO_R_EVO,SignGD,10,5,0,15,66.7
best1bin,SMCO_R_EVO,ADAM,15,0,0,15,100.0
best1bin,SMCO_R_EVO,SPSA,11,4,0,15,73.3
best1bin,SMCO_R_EVO,optimLBFGS,8,7,0,15,53.3
best1bin,SMCO_R_EVO,BOBYQA,8,7,0,15,53.3
best1bin,SMCO_R_EVO,optimNM,15,0,0,15,100.0
best1bin,SMCO_BR_EVO,GenSA,6,28,0,34,17.6
best1bin,SMCO_BR_EVO,SA,10,24,0,34,29.4
best1bin,SMCO_BR_EVO,DEoptim,34,0,0,34,100.0
best1bin,SMCO_BR_EVO,GA,30,4,0,34,88.2
best1bin,SMCO_BR_EVO,PSO,17,17,0,34,50.0
best1bin,SMCO_BR_EVO,GD,9,6,0,15,60.0
best1bin,SMCO_BR_EVO,SignGD,9,6,0,15,60.0
best1bin,SMCO_BR_EVO,ADAM,15,0,0,15,100.0
best1bin,SMCO_BR_EVO,SPSA,11,4,0,15,73.3
best1bin,SMCO_BR_EVO,optimLBFGS,8,7,0,15,53.3
best1bin,SMCO_BR_EVO,BOBYQA,7,8,0,15,46.7
best1bin,SMCO_BR_EVO,optimNM,15,0,0,15,100.0
sobol,SMCO_EVO,GenSA,2,32,0,34,5.9
sobol,SMCO_EVO,SA,6,28,0,34,17.6
sobol,SMCO_EVO,DEoptim,34,0,0,34,100.0
sobol,SMCO_EVO,GA,34,0,0,34,100.0
sobol,SMCO_EVO,PSO,14,20,0,34,41.2
sobol,SMCO_EVO,GD,6,9,0,15,40.0
sobol,SMCO_EVO,SignGD,9,6,0,15,60.0
sobol,SMCO_EVO,ADAM,12,3,0,15,80.0
sobol,SMCO_EVO,SPSA,11,4,0,15,73.3
sobol,SMCO_EVO,optimLBFGS,5,10,0,15,33.3
sobol,SMCO_EVO,BOBYQA,7,8,0,15,46.7
sobol,SMCO_EVO,optimNM,15,0,0,15,100.0
sobol,SMCO_R_EVO,GenSA,4,30,0,34,11.8
sobol,SMCO_R_EVO,SA,7,27,0,34,20.6
sobol,SMCO_R_EVO,DEoptim,34,0,0,34,100.0
sobol,SMCO_R_EVO,GA,33,1,0,34,97.1
sobol,SMCO_R_EVO,PSO,16,18,0,34,47.1
sobol,SMCO_R_EVO,GD,9,6,0,15,60.0
sobol,SMCO_R_EVO,SignGD,10,5,0,15,66.7
sobol,SMCO_R_EVO,ADAM,15,0,0,15,100.0
sobol,SMCO_R_EVO,SPSA,11,4,0,15,73.3
sobol,SMCO_R_EVO,optimLBFGS,8,7,0,15,53.3
sobol,SMCO_R_EVO,BOBYQA,8,7,0,15,53.3
sobol,SMCO_R_EVO,optimNM,15,0,0,15,100.0
sobol,SMCO_BR_EVO,GenSA,3,31,0,34,8.8
sobol,SMCO_BR_EVO,SA,6,28,0,34,17.6
sobol,SMCO_BR_EVO,DEoptim,34,0,0,34,100.0
sobol,SMCO_BR_EVO,GA,29,5,0,34,85.3
sobol,SMCO_BR_EVO,PSO,15,19,0,34,44.1
sobol,SMCO_BR_EVO,GD,8,7,0,15,53.3
sobol,SMCO_BR_EVO,SignGD,8,7,0,15,53.3
sobol,SMCO_BR_EVO,ADAM,13,2,0,15,86.7
sobol,SMCO_BR_EVO,SPSA,11,4,0,15,73.3
sobol,SMCO_BR_EVO,optimLBFGS,7,8,0,15,46.7
sobol,SMCO_BR_EVO,BOBYQA,7,8,0,15,46.7
sobol,SMCO_BR_EVO,optimNM,15,0,0,15,100.0
