evo_algo,baseline,avg_win_rate,min_win_rate,max_win_rate
SMCO_EVO,GenSA,10.3,5.9,11.8
SMCO_EVO,SA,30.9,17.6,35.3
SMCO_EVO,DEoptim,100.0,100.0,100.0
SMCO_EVO,GA,100.0,100.0,100.0
SMCO_EVO,PSO,47.8,41.2,50.0
SMCO_EVO,GD,55.0,40.0,60.0
SMCO_EVO,SignGD,75.0,60.0,80.0
SMCO_EVO,ADAM,95.0,80.0,100.0
SMCO_EVO,SPSA,73.3,73.3,73.3
SMCO_EVO,optimLBFGS,48.3,33.3,53.3
SMCO_EVO,BOBYQA,58.4,46.7,66.7
SMCO_EVO,optimNM,100.0,100.0,100.0
SMCO_R_EVO,GenSA,14.7,11.8,17.6
SMCO_R_EVO,SA,29.4,20.6,32.4
SMCO_R_EVO,DEoptim,100.0,100.0,100.0
SMCO_R_EVO,GA,97.1,97.1,97.1
SMCO_R_EVO,PSO,49.3,47.1,50.0
SMCO_R_EVO,GD,60.0,60.0,60.0
SMCO_R_EVO,SignGD,66.7,66.7,66.7
SMCO_R_EVO,ADAM,100.0,100.0,100.0
SMCO_R_EVO,SPSA,73.3,73.3,73.3
SMCO_R_EVO,optimLBFGS,53.3,53.3,53.3
SMCO_R_EVO,BOBYQA,53.3,53.3,53.3
SMCO_R_EVO,optimNM,100.0,100.0,100.0
SMCO_BR_EVO,GenSA,14.7,8.8,17.6
SMCO_BR_EVO,SA,26.4,17.6,29.4
SMCO_BR_EVO,DEoptim,100.0,100.0,100.0
SMCO_BR_EVO,GA,86.0,85.3,88.2
SMCO_BR_EVO,PSO,48.5,44.1,50.0
SMCO_BR_EVO,GD,58.3,53.3,60.0
SMCO_BR_EVO,SignGD,58.3,53.3,60.0
SMCO_BR_EVO,ADAM,93.3,86.7,100.0
SMCO_BR_EVO,SPSA,73.3,73.3,73.3
SMCO_BR_EVO,optimLBFGS,51.6,46.7,53.3
SMCO_BR_EVO,BOBYQA,46.7,46.7,46.7
SMCO_BR_EVO,optimNM,100.0,100.0,100.0
