strategy,dim_range,pair,n_configs,mean_improve,median_improve,std_improve,mean_win_rate,positive_rate
rand1bin,low_50_200,SMCO_vs_SMCO_EVO,15,0.6568,0.1073,1.1691,65.0,73.3
rand1bin,low_50_200,SMCO_R_vs_SMCO_R_EVO,15,0.2922,0.1572,0.3532,65.6,80.0
rand1bin,low_50_200,SMCO_BR_vs_SMCO_BR_EVO,15,0.5132,0.3667,0.5439,67.0,80.0
rand1bin,mid_500_1000,SMCO_vs_SMCO_EVO,7,1.0013,0.0011,1.7187,68.6,57.1
rand1bin,mid_500_1000,SMCO_R_vs_SMCO_R_EVO,7,0.3475,0.055,0.4736,77.1,85.7
rand1bin,mid_500_1000,SMCO_BR_vs_SMCO_BR_EVO,7,1.735,1.077,2.1482,74.3,71.4
rand1bin,high_2000_5000,SMCO_vs_SMCO_EVO,12,0.8132,0.0065,1.2525,55.6,66.7
rand1bin,high_2000_5000,SMCO_R_vs_SMCO_R_EVO,12,1.4326,0.9961,1.5351,87.5,100.0
rand1bin,high_2000_5000,SMCO_BR_vs_SMCO_BR_EVO,12,5.5426,1.2312,7.5811,86.1,91.7
current-to-best1bin,low_50_200,SMCO_vs_SMCO_EVO,15,0.5855,0.0152,1.136,64.1,60.0
current-to-best1bin,low_50_200,SMCO_R_vs_SMCO_R_EVO,15,0.2788,0.0467,0.3309,66.6,73.3
current-to-best1bin,low_50_200,SMCO_BR_vs_SMCO_BR_EVO,15,0.5342,0.0835,0.6484,68.4,73.3
current-to-best1bin,mid_500_1000,SMCO_vs_SMCO_EVO,7,1.0075,0.0118,1.6275,65.7,57.1
current-to-best1bin,mid_500_1000,SMCO_R_vs_SMCO_R_EVO,7,0.2991,0.0419,0.4369,71.4,57.1
current-to-best1bin,mid_500_1000,SMCO_BR_vs_SMCO_BR_EVO,7,1.3043,0.9967,1.3063,77.1,85.7
current-to-best1bin,high_2000_5000,SMCO_vs_SMCO_EVO,12,0.7466,0.006,1.1638,59.7,66.7
current-to-best1bin,high_2000_5000,SMCO_R_vs_SMCO_R_EVO,12,1.2789,1.2817,1.3228,81.9,100.0
current-to-best1bin,high_2000_5000,SMCO_BR_vs_SMCO_BR_EVO,12,4.1664,1.0754,5.7789,81.9,83.3
best1bin,low_50_200,SMCO_vs_SMCO_EVO,15,0.6855,0.1831,1.1399,68.8,73.3
best1bin,low_50_200,SMCO_R_vs_SMCO_R_EVO,15,0.4728,0.5419,0.4729,69.9,80.0
best1bin,low_50_200,SMCO_BR_vs_SMCO_BR_EVO,15,0.9682,0.7562,1.0676,76.2,86.7
best1bin,mid_500_1000,SMCO_vs_SMCO_EVO,7,1.0101,0.0118,1.6638,71.4,57.1
best1bin,mid_500_1000,SMCO_R_vs_SMCO_R_EVO,7,0.6263,0.2303,0.7531,71.4,71.4
best1bin,mid_500_1000,SMCO_BR_vs_SMCO_BR_EVO,7,2.0136,1.0408,2.6268,82.9,85.7
best1bin,high_2000_5000,SMCO_vs_SMCO_EVO,12,1.21,0.1959,1.5942,63.9,75.0
best1bin,high_2000_5000,SMCO_R_vs_SMCO_R_EVO,12,1.804,1.9066,1.5512,97.2,100.0
best1bin,high_2000_5000,SMCO_BR_vs_SMCO_BR_EVO,12,4.9614,1.1728,6.6805,84.7,83.3
sobol,low_50_200,SMCO_vs_SMCO_EVO,15,0.38,0.0113,0.8355,57.0,53.3
sobol,low_50_200,SMCO_R_vs_SMCO_R_EVO,15,-0.0025,-0.0002,0.064,46.8,46.7
sobol,low_50_200,SMCO_BR_vs_SMCO_BR_EVO,15,-0.0124,0.0007,0.0619,51.4,53.3
sobol,mid_500_1000,SMCO_vs_SMCO_EVO,7,0.7127,0.0009,1.2297,62.9,71.4
sobol,mid_500_1000,SMCO_R_vs_SMCO_R_EVO,7,0.0168,0.0053,0.0245,51.4,57.1
sobol,mid_500_1000,SMCO_BR_vs_SMCO_BR_EVO,7,-0.0016,-0.0046,0.0515,45.7,42.9
sobol,high_2000_5000,SMCO_vs_SMCO_EVO,12,0.4724,0.0055,0.7778,54.2,66.7
sobol,high_2000_5000,SMCO_R_vs_SMCO_R_EVO,12,0.3318,0.0263,0.5726,77.8,91.7
sobol,high_2000_5000,SMCO_BR_vs_SMCO_BR_EVO,12,0.0237,0.0084,0.039,59.7,83.3
