strategy,pair,func,dim,base_fopt,evo_fopt,absolute_diff,pct_diff
rand1bin,SMCO_vs_SMCO_EVO,Ackley,100,21.53521368,22.1478847,0.61267102,2.845
rand1bin,SMCO_vs_SMCO_EVO,Ackley,1000,21.35674794,22.11808487,0.76133693,3.5649
rand1bin,SMCO_vs_SMCO_EVO,Ackley,200,21.41822237,22.11989292,0.70167055,3.276
rand1bin,SMCO_vs_SMCO_EVO,Ackley,2000,21.41223117,22.11583147,0.7036003,3.286
rand1bin,SMCO_vs_SMCO_EVO,Ackley,3000,21.53221419,22.08619358,0.55397939,2.5728
rand1bin,SMCO_vs_SMCO_EVO,Ackley,4000,21.66499532,22.10504908,0.44005377,2.0312
rand1bin,SMCO_vs_SMCO_EVO,Ackley,50,21.63699628,22.16175226,0.52475598,2.4253
rand1bin,SMCO_vs_SMCO_EVO,Ackley,500,21.36773333,22.10894967,0.74121634,3.4689
rand1bin,SMCO_vs_SMCO_EVO,Ackley,5000,21.69704496,22.11147899,0.41443404,1.9101
rand1bin,SMCO_vs_SMCO_EVO,Griewank,100,8740.09630003,8741.11846355,1.02216352,0.0117
rand1bin,SMCO_vs_SMCO_EVO,Griewank,200,17226.59242376,17224.57012777,-2.02229599,-0.0117
rand1bin,SMCO_vs_SMCO_EVO,Griewank,50,4400.89200506,4400.65907896,-0.2329261,-0.0053
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,100,3268.52822567,3261.53398029,-6.99424538,-0.214
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,1000,29109.96616976,29110.28655616,0.32038641,0.0011
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,200,6337.69809851,6337.61759154,-0.08050696,-0.0013
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,2000,57881.3549303,57883.78753974,2.43260944,0.0042
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,3000,86021.13959544,86027.41694923,6.27735378,0.0073
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,4000,114310.45677346,114316.99141116,6.5346377,0.0057
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,50,1711.62747192,1713.47172525,1.84425332,0.1077
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,500,14779.85184275,14779.58001211,-0.27183064,-0.0018
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,5000,142458.32504619,142431.54650329,-26.7785429,-0.0188
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,100,54630111.70819072,54636047.60828162,5935.9000909,0.0109
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,1000,463389064.88490987,463431517.42857647,42452.54366666,0.0092
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,200,103124528.56873003,103132153.02411371,7624.45538372,0.0074
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,2000,869247612.9724324,869043776.6301566,-203836.34227562,-0.0234
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,3000,1239722873.845387,1239484708.4143791,-238165.43100786,-0.0192
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,4000,1601610810.9908462,1601772804.8045108,161993.81366444,0.0101
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,50,28590556.0892473,28834998.96402782,244442.87478052,0.855
