dim,pair,avg_abs_diff,avg_pct_diff
50,SMCO_vs_SMCO_EVO,591517019818.493,0.5723
50,SMCO_R_vs_SMCO_R_EVO,1339265234734.0762,0.2748
50,SMCO_BR_vs_SMCO_BR_EVO,3079325687584.581,0.5328
100,SMCO_vs_SMCO_EVO,124377452927380.47,0.5232
100,SMCO_R_vs_SMCO_R_EVO,200913280315313.72,0.1947
100,SMCO_BR_vs_SMCO_BR_EVO,515760708746965.0,0.3639
200,SMCO_vs_SMCO_EVO,2.8332956789410736e+16,0.6353
200,SMCO_R_vs_SMCO_R_EVO,6.5508990400623576e+16,0.3115
200,SMCO_BR_vs_SMCO_BR_EVO,1.2120075640656379e+17,0.6057
500,SMCO_vs_SMCO_EVO,3.37411368127677e+19,0.8184
500,SMCO_R_vs_SMCO_R_EVO,5.61056156548229e+19,0.2479
500,SMCO_BR_vs_SMCO_BR_EVO,1.245956306292527e+20,0.9973
1000,SMCO_vs_SMCO_EVO,12795.151832,1.0855
1000,SMCO_R_vs_SMCO_R_EVO,705158.959886,0.4218
1000,SMCO_BR_vs_SMCO_BR_EVO,4696093.399304,1.6169
2000,SMCO_vs_SMCO_EVO,-62757.348857,0.9853
2000,SMCO_R_vs_SMCO_R_EVO,2070813.384056,0.5859
2000,SMCO_BR_vs_SMCO_BR_EVO,15089977.691339,2.7278
3000,SMCO_vs_SMCO_EVO,-113791.633188,0.7476
3000,SMCO_R_vs_SMCO_R_EVO,4969984.81389,1.2978
3000,SMCO_BR_vs_SMCO_BR_EVO,24090996.772618,3.0963
4000,SMCO_vs_SMCO_EVO,550285.71776,0.6087
4000,SMCO_R_vs_SMCO_R_EVO,11949902.570834,1.4297
4000,SMCO_BR_vs_SMCO_BR_EVO,43588914.128626,4.2899
5000,SMCO_vs_SMCO_EVO,7487791.911823,0.9007
5000,SMCO_R_vs_SMCO_R_EVO,16762764.707561,1.5339
5000,SMCO_BR_vs_SMCO_BR_EVO,56399461.934099,4.5801
