strategy,func,dim,algo,fopt_mean,rank,n_methods
best1bin,Ackley,1000,SMCO_BR_EVO,22.178927202078803,1,11
best1bin,Ackley,1000,SMCO_R_EVO,22.167871895335647,2,11
best1bin,Ackley,1000,GenSA,22.1311893631594,3,11
best1bin,Ackley,1000,SMCO_EVO,22.099389528701984,4,11
best1bin,Ackley,1000,SA,21.962780464187713,5,11
best1bin,Ackley,1000,SMCO_R,21.949291370787886,6,11
best1bin,Ackley,1000,SMCO_BR,21.941297712620617,7,11
best1bin,Ackley,1000,PSO,21.78589313424506,8,11
best1bin,Ackley,1000,GA,21.469110045827815,9,11
best1bin,Ackley,1000,DEoptim,21.402380589659607,10,11
best1bin,Ackley,1000,SMCO,21.356747941768013,11,11
best1bin,Ackley,2000,SMCO_BR_EVO,22.174916810804092,1,11
best1bin,Ackley,2000,SMCO_R_EVO,22.15840880027198,2,11
best1bin,Ackley,2000,SMCO_EVO,22.10455869910525,3,11
best1bin,Ackley,2000,GenSA,21.940011709686967,4,11
best1bin,Ackley,2000,SMCO_BR,21.921569244123116,5,11
best1bin,Ackley,2000,SMCO_R,21.90054567102072,6,11
best1bin,Ackley,2000,SA,21.892474502729865,7,11
best1bin,Ackley,2000,PSO,21.77345900855943,8,11
best1bin,Ackley,2000,GA,21.423978267424815,9,11
best1bin,Ackley,2000,SMCO,21.412231167680464,10,11
best1bin,Ackley,2000,DEoptim,21.363056928357512,11,11
best1bin,Ackley,3000,SMCO_BR_EVO,22.169782121666714,1,11
best1bin,Ackley,3000,SMCO_R_EVO,22.155912042043262,2,11
best1bin,Ackley,3000,SMCO_EVO,22.079895295901025,3,11
best1bin,Ackley,3000,SMCO_BR,21.90992625267647,4,11
best1bin,Ackley,3000,GenSA,21.905400336903423,5,11
best1bin,Ackley,3000,SA,21.864929046117897,6,11
best1bin,Ackley,3000,PSO,21.74146523673044,7,11
best1bin,Ackley,3000,SMCO_R,21.563667434577347,8,11
best1bin,Ackley,3000,SMCO,21.532214189963604,9,11
best1bin,Ackley,3000,GA,21.404660691573028,10,11
best1bin,Ackley,3000,DEoptim,21.34290122913012,11,11
best1bin,Ackley,4000,SMCO_BR_EVO,22.16507421915107,1,11
