strategy,algo,avg_rank,median_rank,best_rank,worst_rank,n_configs,is_evo
best1bin,GenSA,2.2,1.0,1,5,15,False
best1bin,SMCO_R_EVO,4.0,4.0,2,6,15,True
best1bin,SA,4.13,3.0,1,9,15,False
best1bin,PSO,4.2,3.0,2,8,15,False
best1bin,SMCO_BR_EVO,5.13,6.0,1,8,15,True
best1bin,SMCO_EVO,5.13,4.0,3,9,15,True
best1bin,SMCO_R,6.13,6.0,4,8,15,False
best1bin,SMCO_BR,6.8,7.0,4,9,15,False
best1bin,SMCO,7.47,8.0,4,11,15,False
best1bin,GA,10.0,10.0,9,11,15,False
best1bin,DEoptim,10.8,11.0,10,11,15,False
current-to-best1bin,GenSA,2.2,1.0,1,5,15,False
current-to-best1bin,SMCO_R_EVO,4.0,4.0,1,7,15,True
current-to-best1bin,SA,4.13,3.0,1,9,15,False
current-to-best1bin,PSO,4.2,3.0,2,8,15,False
current-to-best1bin,SMCO_BR_EVO,5.2,6.0,1,8,15,True
current-to-best1bin,SMCO_EVO,5.2,5.0,3,9,15,True
current-to-best1bin,SMCO_R,6.07,6.0,4,8,15,False
current-to-best1bin,SMCO_BR,6.8,7.0,4,9,15,False
current-to-best1bin,SMCO,7.4,8.0,4,11,15,False
current-to-best1bin,GA,10.0,10.0,9,11,15,False
current-to-best1bin,DEoptim,10.8,11.0,10,11,15,False
rand1bin,GenSA,2.2,1.0,1,5,15,False
rand1bin,SMCO_R_EVO,4.0,4.0,2,7,15,True
rand1bin,SA,4.13,3.0,1,9,15,False
rand1bin,PSO,4.2,3.0,2,8,15,False
rand1bin,SMCO_EVO,5.07,5.0,3,9,15,True
rand1bin,SMCO_BR_EVO,5.13,7.0,1,8,15,True
rand1bin,SMCO_R,6.13,6.0,4,8,15,False
rand1bin,SMCO_BR,6.87,7.0,4,9,15,False
rand1bin,SMCO,7.47,8.0,4,11,15,False
rand1bin,GA,10.0,10.0,9,11,15,False
rand1bin,DEoptim,10.8,11.0,10,11,15,False
sobol,GenSA,1.87,1.0,1,5,15,False
sobol,SA,3.87,3.0,1,9,15,False
sobol,SMCO_R_EVO,4.07,4.0,1,7,15,True
sobol,PSO,4.2,3.0,2,8,15,False
sobol,SMCO_BR_EVO,5.73,6.0,1,9,15,True
sobol,SMCO_R,5.8,6.0,4,8,15,False
sobol,SMCO_EVO,5.93,5.0,4,9,15,True
sobol,SMCO_BR,6.27,7.0,3,9,15,False
sobol,SMCO,7.47,8.0,4,11,15,False
sobol,GA,10.0,10.0,9,11,15,False
sobol,DEoptim,10.8,11.0,10,11,15,False
