strategy,func,pair,dim,base_mean,evo_mean,improve_pct
best1bin,Rastrigin,SMCO_vs_SMCO_EVO,1000,29109.966169755517,29109.53341967424,-0.0015
best1bin,Rastrigin,SMCO_vs_SMCO_EVO,2000,57881.35493030282,57883.29476627168,0.0034
best1bin,Rastrigin,SMCO_vs_SMCO_EVO,3000,86021.13959544411,86028.14017521989,0.0081
best1bin,Rastrigin,SMCO_vs_SMCO_EVO,4000,114310.4567734591,114314.91250137634,0.0039
best1bin,Rastrigin,SMCO_vs_SMCO_EVO,5000,142458.32504618834,142432.29777746001,-0.0183
best1bin,Rastrigin,SMCO_R_vs_SMCO_R_EVO,1000,29138.03230207167,29138.02210024288,-0.0
best1bin,Rastrigin,SMCO_R_vs_SMCO_R_EVO,2000,57929.57599256033,57943.735655981036,0.0244
best1bin,Rastrigin,SMCO_R_vs_SMCO_R_EVO,3000,86068.11548491748,86094.5555976759,0.0307
best1bin,Rastrigin,SMCO_R_vs_SMCO_R_EVO,4000,114374.76422763668,114380.51305935602,0.005
best1bin,Rastrigin,SMCO_R_vs_SMCO_R_EVO,5000,142512.25069086358,142540.83638789976,0.0201
best1bin,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,1000,29126.31025437183,29125.55358527581,-0.0026
best1bin,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,2000,57911.78566871155,57911.57064659148,-0.0004
best1bin,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,3000,86027.36301720096,86031.64588793849,0.005
best1bin,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,4000,114314.06385418148,114319.86604742098,0.0051
best1bin,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,5000,142460.14573842997,142458.4895438425,-0.0012
best1bin,Ackley,SMCO_vs_SMCO_EVO,1000,21.356747941768013,22.099389528701984,3.4773
best1bin,Ackley,SMCO_vs_SMCO_EVO,2000,21.412231167680464,22.10455869910525,3.2333
best1bin,Ackley,SMCO_vs_SMCO_EVO,3000,21.532214189963604,22.079895295901025,2.5435
best1bin,Ackley,SMCO_vs_SMCO_EVO,4000,21.664995317854874,22.089218252554286,1.9581
best1bin,Ackley,SMCO_vs_SMCO_EVO,5000,21.697044955860562,22.099187971841268,1.8534
best1bin,Ackley,SMCO_R_vs_SMCO_R_EVO,1000,21.949291370787886,22.167871895335647,0.9958
best1bin,Ackley,SMCO_R_vs_SMCO_R_EVO,2000,21.90054567102072,22.15840880027198,1.1774
best1bin,Ackley,SMCO_R_vs_SMCO_R_EVO,3000,21.563667434577347,22.155912042043262,2.7465
best1bin,Ackley,SMCO_R_vs_SMCO_R_EVO,4000,21.696596470859426,22.118838400144877,1.9461
best1bin,Ackley,SMCO_R_vs_SMCO_R_EVO,5000,21.72570270016472,22.131356276340014,1.8672
best1bin,Ackley,SMCO_BR_vs_SMCO_BR_EVO,1000,21.941297712620617,22.178927202078803,1.083
best1bin,Ackley,SMCO_BR_vs_SMCO_BR_EVO,2000,21.921569244123116,22.174916810804092,1.1557
best1bin,Ackley,SMCO_BR_vs_SMCO_BR_EVO,3000,21.90992625267647,22.169782121666714,1.186
best1bin,Ackley,SMCO_BR_vs_SMCO_BR_EVO,4000,21.90941466516003,22.16507421915107,1.1669
best1bin,Ackley,SMCO_BR_vs_SMCO_BR_EVO,5000,21.912597619812423,22.170896217000973,1.1788
best1bin,Rosenbrock,SMCO_vs_SMCO_EVO,1000,463389064.8849098,463443829.07431805,0.0118
best1bin,Rosenbrock,SMCO_vs_SMCO_EVO,2000,869247612.9724323,869037289.3809952,-0.0242
best1bin,Rosenbrock,SMCO_vs_SMCO_EVO,3000,1239722873.845387,1239385157.2331452,-0.0272
best1bin,Rosenbrock,SMCO_vs_SMCO_EVO,4000,1601610810.9908462,1607755773.5210905,0.3837
best1bin,Rosenbrock,SMCO_vs_SMCO_EVO,5000,1953961917.8469486,2043895340.43962,4.6026
best1bin,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,1000,422712947.97426564,431293381.85747737,2.0298
best1bin,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,2000,775822748.1332974,794743124.1546808,2.4387
best1bin,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,3000,1094303115.940483,1135294516.5534573,3.7459
best1bin,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,4000,1399385030.0219135,1449626148.1335459,3.5902
best1bin,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,5000,1699574361.5793362,1768504356.366383,4.0557
best1bin,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,1000,348193067.76848793,372046389.76400423,6.8506
best1bin,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,2000,618155929.2741712,685824638.2370745,10.9469
best1bin,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,3000,859724697.6735848,955288955.6197197,11.1157
best1bin,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,4000,1091605069.4387069,1273971153.476194,16.7062
best1bin,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,5000,1318276891.8457017,1530155403.464967,16.0724
current-to-best1bin,Rastrigin,SMCO_vs_SMCO_EVO,1000,29109.966169755517,29109.53341967424,-0.0015
current-to-best1bin,Rastrigin,SMCO_vs_SMCO_EVO,2000,57881.35493030282,57883.29476627167,0.0034
current-to-best1bin,Rastrigin,SMCO_vs_SMCO_EVO,3000,86021.13959544411,86028.14017521989,0.0081
current-to-best1bin,Rastrigin,SMCO_vs_SMCO_EVO,4000,114310.4567734591,114314.91250137634,0.0039
current-to-best1bin,Rastrigin,SMCO_vs_SMCO_EVO,5000,142458.32504618834,142432.29777746001,-0.0183
current-to-best1bin,Rastrigin,SMCO_R_vs_SMCO_R_EVO,1000,29138.03230207167,29138.02210024288,-0.0
current-to-best1bin,Rastrigin,SMCO_R_vs_SMCO_R_EVO,2000,57929.575992560334,57943.735655981036,0.0244
current-to-best1bin,Rastrigin,SMCO_R_vs_SMCO_R_EVO,3000,86068.11548491748,86094.5555976759,0.0307
current-to-best1bin,Rastrigin,SMCO_R_vs_SMCO_R_EVO,4000,114374.76422763668,114380.51305935602,0.005
current-to-best1bin,Rastrigin,SMCO_R_vs_SMCO_R_EVO,5000,142512.25069086358,142540.83638789976,0.0201
current-to-best1bin,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,1000,29126.310254371823,29125.55358527581,-0.0026
current-to-best1bin,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,2000,57911.78566871155,57911.57064659148,-0.0004
current-to-best1bin,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,3000,86027.36301720096,86031.64588793849,0.005
current-to-best1bin,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,4000,114314.06385418148,114319.86604742098,0.0051
current-to-best1bin,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,5000,142460.14573842997,142458.4895438425,-0.0012
current-to-best1bin,Ackley,SMCO_vs_SMCO_EVO,1000,21.356747941768013,22.0873450658542,3.4209
current-to-best1bin,Ackley,SMCO_vs_SMCO_EVO,2000,21.412231167680464,22.08847638848768,3.1582
current-to-best1bin,Ackley,SMCO_vs_SMCO_EVO,3000,21.532214189963604,22.032317199690624,2.3226
current-to-best1bin,Ackley,SMCO_vs_SMCO_EVO,4000,21.664995317854874,22.06464569086828,1.8447
current-to-best1bin,Ackley,SMCO_vs_SMCO_EVO,5000,21.697044955860562,22.060942772029435,1.6772
current-to-best1bin,Ackley,SMCO_R_vs_SMCO_R_EVO,1000,21.949291370787886,22.161197404367336,0.9654
current-to-best1bin,Ackley,SMCO_R_vs_SMCO_R_EVO,2000,21.90054567102072,22.136668196331595,1.0782
current-to-best1bin,Ackley,SMCO_R_vs_SMCO_R_EVO,3000,21.563667434577347,22.139990298307886,2.6727
current-to-best1bin,Ackley,SMCO_R_vs_SMCO_R_EVO,4000,21.696596470859426,22.093498174791154,1.8293
current-to-best1bin,Ackley,SMCO_R_vs_SMCO_R_EVO,5000,21.72570270016472,22.112141453355903,1.7787
current-to-best1bin,Ackley,SMCO_BR_vs_SMCO_BR_EVO,1000,21.941297712620617,22.15998727312036,0.9967
current-to-best1bin,Ackley,SMCO_BR_vs_SMCO_BR_EVO,2000,21.92156924412311,22.15386391177425,1.0597
current-to-best1bin,Ackley,SMCO_BR_vs_SMCO_BR_EVO,3000,21.90992625267647,22.149006089907154,1.0912
current-to-best1bin,Ackley,SMCO_BR_vs_SMCO_BR_EVO,4000,21.90941466516003,22.140270553761873,1.0537
current-to-best1bin,Ackley,SMCO_BR_vs_SMCO_BR_EVO,5000,21.912597619812423,22.15204416815449,1.0927
current-to-best1bin,Rosenbrock,SMCO_vs_SMCO_EVO,1000,463389064.8849098,463443829.07431805,0.0118
current-to-best1bin,Rosenbrock,SMCO_vs_SMCO_EVO,2000,869247612.9724323,869037289.3809952,-0.0242
current-to-best1bin,Rosenbrock,SMCO_vs_SMCO_EVO,3000,1239722873.845387,1239385157.2331452,-0.0272
current-to-best1bin,Rosenbrock,SMCO_vs_SMCO_EVO,4000,1601610810.9908462,1601826824.5663753,0.0135
current-to-best1bin,Rosenbrock,SMCO_vs_SMCO_EVO,5000,1953961917.8469486,1953906656.3506606,-0.0028
current-to-best1bin,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,1000,422712947.97426564,422659750.85499537,-0.0126
current-to-best1bin,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,2000,775822748.1332974,775870948.4175621,0.0062
current-to-best1bin,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,3000,1094303115.940483,1110555709.568077,1.4852
current-to-best1bin,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,4000,1399385030.0219135,1433132239.4677372,2.4116
current-to-best1bin,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,5000,1699574361.5793362,1767633840.916448,4.0045
current-to-best1bin,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,1000,348193067.76848793,361314025.78286856,3.7683
current-to-best1bin,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,2000,618155929.2741712,667858608.950692,8.0405
current-to-best1bin,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,3000,859724697.6735848,928660317.1534901,8.0183
current-to-best1bin,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,4000,1091605069.4387069,1239822826.0694354,13.578
current-to-best1bin,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,5000,1318276891.8457017,1529914988.3765254,16.0541
rand1bin,Rastrigin,SMCO_vs_SMCO_EVO,1000,29109.966169755517,29110.28655616283,0.0011
rand1bin,Rastrigin,SMCO_vs_SMCO_EVO,2000,57881.35493030282,57883.78753974486,0.0042
rand1bin,Rastrigin,SMCO_vs_SMCO_EVO,3000,86021.13959544411,86027.41694922576,0.0073
rand1bin,Rastrigin,SMCO_vs_SMCO_EVO,4000,114310.4567734591,114316.99141115976,0.0057
rand1bin,Rastrigin,SMCO_vs_SMCO_EVO,5000,142458.32504618834,142431.5465032895,-0.0188
rand1bin,Rastrigin,SMCO_R_vs_SMCO_R_EVO,1000,29138.032302071668,29138.03689959966,0.0
rand1bin,Rastrigin,SMCO_R_vs_SMCO_R_EVO,2000,57929.57599256033,57944.88808556363,0.0264
rand1bin,Rastrigin,SMCO_R_vs_SMCO_R_EVO,3000,86068.11548491748,86094.04443348976,0.0301
rand1bin,Rastrigin,SMCO_R_vs_SMCO_R_EVO,4000,114374.76422763668,114388.86054100702,0.0123
rand1bin,Rastrigin,SMCO_R_vs_SMCO_R_EVO,5000,142512.25069086358,142539.93391220184,0.0194
rand1bin,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,1000,29126.310254371823,29126.299182316616,-0.0
rand1bin,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,2000,57911.78566871155,57914.65963310521,0.005
rand1bin,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,3000,86027.36301720096,86030.44584423266,0.0036
rand1bin,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,4000,114314.06385418148,114315.02117795529,0.0008
rand1bin,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,5000,142460.14573842997,142458.56569411245,-0.0011
rand1bin,Ackley,SMCO_vs_SMCO_EVO,1000,21.356747941768013,22.11808487114355,3.5649
rand1bin,Ackley,SMCO_vs_SMCO_EVO,2000,21.412231167680464,22.115831469475065,3.286
rand1bin,Ackley,SMCO_vs_SMCO_EVO,3000,21.532214189963604,22.086193578036344,2.5728
rand1bin,Ackley,SMCO_vs_SMCO_EVO,4000,21.664995317854874,22.105049083661097,2.0312
rand1bin,Ackley,SMCO_vs_SMCO_EVO,5000,21.697044955860562,22.11147899382847,1.9101
rand1bin,Ackley,SMCO_R_vs_SMCO_R_EVO,1000,21.949291370787886,22.178027911537946,1.0421
rand1bin,Ackley,SMCO_R_vs_SMCO_R_EVO,2000,21.90054567102072,22.177979438278655,1.2668
rand1bin,Ackley,SMCO_R_vs_SMCO_R_EVO,3000,21.563667434577347,22.176596880481366,2.8424
rand1bin,Ackley,SMCO_R_vs_SMCO_R_EVO,4000,21.696596470859426,22.14593543425402,2.071
rand1bin,Ackley,SMCO_R_vs_SMCO_R_EVO,5000,21.72570270016472,22.152934041512637,1.9665
rand1bin,Ackley,SMCO_BR_vs_SMCO_BR_EVO,1000,21.941297712620617,22.192979486877405,1.1471
rand1bin,Ackley,SMCO_BR_vs_SMCO_BR_EVO,2000,21.921569244123116,22.188212044925752,1.2163
rand1bin,Ackley,SMCO_BR_vs_SMCO_BR_EVO,3000,21.90992625267647,22.177831256865552,1.2228
rand1bin,Ackley,SMCO_BR_vs_SMCO_BR_EVO,4000,21.90941466516003,22.181003810305604,1.2396
rand1bin,Ackley,SMCO_BR_vs_SMCO_BR_EVO,5000,21.912597619812423,22.184909932388898,1.2427
rand1bin,Rosenbrock,SMCO_vs_SMCO_EVO,1000,463389064.8849098,463431517.42857647,0.0092
rand1bin,Rosenbrock,SMCO_vs_SMCO_EVO,2000,869247612.9724323,869043776.6301566,-0.0234
rand1bin,Rosenbrock,SMCO_vs_SMCO_EVO,3000,1239722873.845387,1239484708.4143791,-0.0192
rand1bin,Rosenbrock,SMCO_vs_SMCO_EVO,4000,1601610810.9908462,1601772804.8045106,0.0101
rand1bin,Rosenbrock,SMCO_vs_SMCO_EVO,5000,1953961917.8469486,1953822312.2048445,-0.0071
rand1bin,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,1000,422712947.97426564,422691334.4917344,-0.0051
rand1bin,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,2000,775822748.1332974,781450086.1351376,0.7253
rand1bin,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,3000,1094303115.940483,1096805777.1641424,0.2287
rand1bin,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,4000,1399385030.0219135,1458666064.155912,4.2362
rand1bin,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,5000,1699574361.5793362,1763579913.2363734,3.766
rand1bin,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,1000,348193067.76848793,367745225.4843526,5.6153
rand1bin,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,2000,618155929.2741712,681642200.328956,10.2703
rand1bin,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,3000,859724697.6735848,984001031.0391653,14.4554
rand1bin,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,4000,1091605069.4387069,1284332464.5678978,17.6554
rand1bin,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,5000,1318276891.8457017,1571387343.601668,19.2001
sobol,Rastrigin,SMCO_vs_SMCO_EVO,1000,29109.966169755517,29110.274251319264,0.0011
sobol,Rastrigin,SMCO_vs_SMCO_EVO,2000,57881.35493030283,57882.646100563295,0.0022
sobol,Rastrigin,SMCO_vs_SMCO_EVO,3000,86021.13959544411,86027.19083698816,0.007
sobol,Rastrigin,SMCO_vs_SMCO_EVO,4000,114310.4567734591,114305.59268591848,-0.0043
sobol,Rastrigin,SMCO_vs_SMCO_EVO,5000,142458.32504618834,142433.69305262546,-0.0173
sobol,Rastrigin,SMCO_R_vs_SMCO_R_EVO,1000,29138.03230207167,29137.99021096876,-0.0001
sobol,Rastrigin,SMCO_R_vs_SMCO_R_EVO,2000,57929.575992560334,57943.79006554603,0.0245
sobol,Rastrigin,SMCO_R_vs_SMCO_R_EVO,3000,86068.11548491748,86092.23625254838,0.028
sobol,Rastrigin,SMCO_R_vs_SMCO_R_EVO,4000,114374.76422763668,114382.16282779281,0.0065
sobol,Rastrigin,SMCO_R_vs_SMCO_R_EVO,5000,142512.25069086358,142537.52309274464,0.0177
sobol,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,1000,29126.31025437183,29126.721814035478,0.0014
sobol,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,2000,57911.78566871155,57912.088181982086,0.0005
sobol,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,3000,86027.36301720096,86022.92131761616,-0.0052
sobol,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,4000,114314.06385418148,114318.86136905075,0.0042
sobol,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,5000,142460.14573842997,142460.96411804718,0.0006
sobol,Ackley,SMCO_vs_SMCO_EVO,1000,21.356747941768013,21.897164392188305,2.5304
sobol,Ackley,SMCO_vs_SMCO_EVO,2000,21.412231167680464,21.88740662555111,2.2192
sobol,Ackley,SMCO_vs_SMCO_EVO,3000,21.532214189963604,21.879182063349567,1.6114
sobol,Ackley,SMCO_vs_SMCO_EVO,4000,21.664995317854874,21.892276107563664,1.0491
sobol,Ackley,SMCO_vs_SMCO_EVO,5000,21.697044955860562,21.879627250224026,0.8415
sobol,Ackley,SMCO_R_vs_SMCO_R_EVO,1000,21.949291370787886,21.961762933088586,0.0568
sobol,Ackley,SMCO_R_vs_SMCO_R_EVO,2000,21.90054567102072,21.94555813762914,0.2055
sobol,Ackley,SMCO_R_vs_SMCO_R_EVO,3000,21.563667434577347,21.93947284370111,1.7428
sobol,Ackley,SMCO_R_vs_SMCO_R_EVO,4000,21.696596470859426,21.920824851229398,1.0335
sobol,Ackley,SMCO_R_vs_SMCO_R_EVO,5000,21.72570270016472,21.917239177362987,0.8816
sobol,Ackley,SMCO_BR_vs_SMCO_BR_EVO,1000,21.941297712620617,21.940277777418867,-0.0046
sobol,Ackley,SMCO_BR_vs_SMCO_BR_EVO,2000,21.92156924412311,21.922234039284636,0.003
sobol,Ackley,SMCO_BR_vs_SMCO_BR_EVO,3000,21.90992625267647,21.91459007869124,0.0213
sobol,Ackley,SMCO_BR_vs_SMCO_BR_EVO,4000,21.90941466516003,21.928384262571953,0.0866
sobol,Ackley,SMCO_BR_vs_SMCO_BR_EVO,5000,21.912597619812423,21.936770067208492,0.1103
sobol,Rosenbrock,SMCO_vs_SMCO_EVO,1000,463389064.8849098,463390623.2464468,0.0003
sobol,Rosenbrock,SMCO_vs_SMCO_EVO,2000,869247612.9724323,869118998.1604986,-0.0148
sobol,Rosenbrock,SMCO_vs_SMCO_EVO,3000,1239722873.845387,1239270944.6241322,-0.0365
sobol,Rosenbrock,SMCO_vs_SMCO_EVO,4000,1601610810.9908462,1601691257.611319,0.005
sobol,Rosenbrock,SMCO_vs_SMCO_EVO,5000,1953961917.8469486,1954076967.4365642,0.0059
sobol,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,1000,422712947.9742656,422669231.59769547,-0.0103
sobol,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,2000,775822748.1332974,776076535.7725593,0.0327
sobol,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,3000,1094303115.940483,1094196173.155689,-0.0098
sobol,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,4000,1399385030.0219135,1399514464.6951823,0.0092
sobol,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,5000,1699574361.5793362,1699732400.7509954,0.0093
sobol,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,1000,348193067.76848793,348019751.24023837,-0.0498
sobol,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,2000,618155929.2741712,618377998.3766528,0.0359
sobol,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,3000,859724697.6735848,860040440.1750121,0.0367
sobol,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,4000,1091605069.4387069,1091360785.0485091,-0.0224
sobol,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,5000,1318276891.8457017,1318443378.4286544,0.0126
