strategy,func,pair,spearman_rho,spearman_p,trend,significant,n_dims
best1bin,Rastrigin,SMCO_vs_SMCO_EVO,-0.1,0.8729,decreasing,0,5
best1bin,Rastrigin,SMCO_R_vs_SMCO_R_EVO,0.2,0.7471,increasing,0,5
best1bin,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,0.4,0.5046,increasing,0,5
best1bin,Ackley,SMCO_vs_SMCO_EVO,-1.0,0.0,decreasing,1,5
best1bin,Ackley,SMCO_R_vs_SMCO_R_EVO,0.6,0.2848,increasing,0,5
best1bin,Ackley,SMCO_BR_vs_SMCO_BR_EVO,0.7,0.1881,increasing,0,5
best1bin,Rosenbrock,SMCO_vs_SMCO_EVO,0.6,0.2848,increasing,0,5
best1bin,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,0.9,0.0374,increasing,1,5
best1bin,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,0.9,0.0374,increasing,1,5
current-to-best1bin,Rastrigin,SMCO_vs_SMCO_EVO,-0.1,0.8729,decreasing,0,5
current-to-best1bin,Rastrigin,SMCO_R_vs_SMCO_R_EVO,0.2,0.7471,increasing,0,5
current-to-best1bin,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,0.4,0.5046,increasing,0,5
current-to-best1bin,Ackley,SMCO_vs_SMCO_EVO,-1.0,0.0,decreasing,1,5
current-to-best1bin,Ackley,SMCO_R_vs_SMCO_R_EVO,0.6,0.2848,increasing,0,5
current-to-best1bin,Ackley,SMCO_BR_vs_SMCO_BR_EVO,0.7,0.1881,increasing,0,5
current-to-best1bin,Rosenbrock,SMCO_vs_SMCO_EVO,0.1,0.8729,increasing,0,5
current-to-best1bin,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,1.0,0.0,increasing,1,5
current-to-best1bin,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,0.9,0.0374,increasing,1,5
rand1bin,Rastrigin,SMCO_vs_SMCO_EVO,-0.1,0.8729,decreasing,0,5
rand1bin,Rastrigin,SMCO_R_vs_SMCO_R_EVO,0.2,0.7471,increasing,0,5
rand1bin,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,-0.4,0.5046,decreasing,0,5
rand1bin,Ackley,SMCO_vs_SMCO_EVO,-1.0,0.0,decreasing,1,5
rand1bin,Ackley,SMCO_R_vs_SMCO_R_EVO,0.6,0.2848,increasing,0,5
rand1bin,Ackley,SMCO_BR_vs_SMCO_BR_EVO,1.0,0.0,increasing,1,5
rand1bin,Rosenbrock,SMCO_vs_SMCO_EVO,0.2,0.7471,increasing,0,5
rand1bin,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,0.8,0.1041,increasing,0,5
rand1bin,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,1.0,0.0,increasing,1,5
sobol,Rastrigin,SMCO_vs_SMCO_EVO,-0.6,0.2848,decreasing,0,5
sobol,Rastrigin,SMCO_R_vs_SMCO_R_EVO,0.2,0.7471,increasing,0,5
sobol,Rastrigin,SMCO_BR_vs_SMCO_BR_EVO,0.1,0.8729,increasing,0,5
sobol,Ackley,SMCO_vs_SMCO_EVO,-1.0,0.0,decreasing,1,5
sobol,Ackley,SMCO_R_vs_SMCO_R_EVO,0.6,0.2848,increasing,0,5
sobol,Ackley,SMCO_BR_vs_SMCO_BR_EVO,1.0,0.0,increasing,1,5
sobol,Rosenbrock,SMCO_vs_SMCO_EVO,0.6,0.2848,increasing,0,5
sobol,Rosenbrock,SMCO_R_vs_SMCO_R_EVO,0.4,0.5046,increasing,0,5
sobol,Rosenbrock,SMCO_BR_vs_SMCO_BR_EVO,0.2,0.7471,increasing,0,5
