strategy,evo_algo,baseline,evo_wins,baseline_wins,ties,total,evo_win_rate,evo_avg_fopt,baseline_avg_fopt
best1bin,SMCO_EVO,GenSA,4,11,0,15,26.7,414929817.88667,809948833.54655
best1bin,SMCO_EVO,SA,6,9,0,15,40.0,414929817.88667,540795953.24712
best1bin,SMCO_EVO,DEoptim,15,0,0,15,100.0,414929817.88667,144648617.012044
best1bin,SMCO_EVO,GA,15,0,0,15,100.0,414929817.88667,180780994.381398
best1bin,SMCO_EVO,PSO,5,10,0,15,33.3,414929817.88667,521832904.70703
best1bin,SMCO_R_EVO,GenSA,5,10,0,15,33.3,371992782.364049,809948833.54655
best1bin,SMCO_R_EVO,SA,6,9,0,15,40.0,371992782.364049,540795953.24712
best1bin,SMCO_R_EVO,DEoptim,15,0,0,15,100.0,371992782.364049,144648617.012044
best1bin,SMCO_R_EVO,GA,15,0,0,15,100.0,371992782.364049,180780994.381398
best1bin,SMCO_R_EVO,PSO,5,10,0,15,33.3,371992782.364049,521832904.70703
best1bin,SMCO_BR_EVO,GenSA,5,10,0,15,33.3,321181099.903151,809948833.54655
best1bin,SMCO_BR_EVO,SA,6,9,0,15,40.0,321181099.903151,540795953.24712
best1bin,SMCO_BR_EVO,DEoptim,15,0,0,15,100.0,321181099.903151,144648617.012044
best1bin,SMCO_BR_EVO,GA,15,0,0,15,100.0,321181099.903151,180780994.381398
best1bin,SMCO_BR_EVO,PSO,5,10,0,15,33.3,321181099.903151,521832904.70703
current-to-best1bin,SMCO_EVO,GenSA,4,11,0,15,26.7,408535309.007857,809948833.54655
current-to-best1bin,SMCO_EVO,SA,6,9,0,15,40.0,408535309.007857,540795953.24712
current-to-best1bin,SMCO_EVO,DEoptim,15,0,0,15,100.0,408535309.007857,144648617.012044
current-to-best1bin,SMCO_EVO,GA,15,0,0,15,100.0,408535309.007857,180780994.381398
current-to-best1bin,SMCO_EVO,PSO,5,10,0,15,33.3,408535309.007857,521832904.70703
current-to-best1bin,SMCO_R_EVO,GenSA,5,10,0,15,33.3,367352179.835408,809948833.54655
current-to-best1bin,SMCO_R_EVO,SA,6,9,0,15,40.0,367352179.835408,540795953.24712
current-to-best1bin,SMCO_R_EVO,DEoptim,15,0,0,15,100.0,367352179.835408,144648617.012044
current-to-best1bin,SMCO_R_EVO,GA,15,0,0,15,100.0,367352179.835408,180780994.381398
current-to-best1bin,SMCO_R_EVO,PSO,5,10,0,15,33.3,367352179.835408,521832904.70703
current-to-best1bin,SMCO_BR_EVO,GenSA,5,10,0,15,33.3,315200048.280926,809948833.54655
current-to-best1bin,SMCO_BR_EVO,SA,6,9,0,15,40.0,315200048.280926,540795953.24712
current-to-best1bin,SMCO_BR_EVO,DEoptim,15,0,0,15,100.0,315200048.280926,144648617.012044
current-to-best1bin,SMCO_BR_EVO,GA,15,0,0,15,100.0,315200048.280926,180780994.381398
current-to-best1bin,SMCO_BR_EVO,PSO,5,10,0,15,33.3,315200048.280926,521832904.70703
rand1bin,SMCO_EVO,GenSA,4,11,0,15,26.7,408532333.336538,809948833.54655
rand1bin,SMCO_EVO,SA,6,9,0,15,40.0,408532333.336538,540795953.24712
rand1bin,SMCO_EVO,DEoptim,15,0,0,15,100.0,408532333.336538,144648617.012044
rand1bin,SMCO_EVO,GA,15,0,0,15,100.0,408532333.336538,180780994.381398
rand1bin,SMCO_EVO,PSO,5,10,0,15,33.3,408532333.336538,521832904.70703
rand1bin,SMCO_R_EVO,GenSA,5,10,0,15,33.3,368241559.45191,809948833.54655
rand1bin,SMCO_R_EVO,SA,6,9,0,15,40.0,368241559.45191,540795953.24712
rand1bin,SMCO_R_EVO,DEoptim,15,0,0,15,100.0,368241559.45191,144648617.012044
rand1bin,SMCO_R_EVO,GA,15,0,0,15,100.0,368241559.45191,180780994.381398
rand1bin,SMCO_R_EVO,PSO,5,10,0,15,33.3,368241559.45191,521832904.70703
rand1bin,SMCO_BR_EVO,GenSA,5,10,0,15,33.3,325969214.729234,809948833.54655
rand1bin,SMCO_BR_EVO,SA,6,9,0,15,40.0,325969214.729234,540795953.24712
rand1bin,SMCO_BR_EVO,DEoptim,15,0,0,15,100.0,325969214.729234,144648617.012044
rand1bin,SMCO_BR_EVO,GA,15,0,0,15,100.0,325969214.729234,180780994.381398
rand1bin,SMCO_BR_EVO,PSO,5,10,0,15,33.3,325969214.729234,521832904.70703
sobol,SMCO_EVO,GenSA,2,13,0,15,13.3,408531910.66077,809948833.54655
sobol,SMCO_EVO,SA,4,11,0,15,26.7,408531910.66077,540795953.24712
sobol,SMCO_EVO,DEoptim,15,0,0,15,100.0,408531910.66077,144648617.012044
sobol,SMCO_EVO,GA,15,0,0,15,100.0,408531910.66077,180780994.381398
sobol,SMCO_EVO,PSO,5,10,0,15,33.3,408531910.66077,521832904.70703
sobol,SMCO_R_EVO,GenSA,4,11,0,15,26.7,359507933.957295,809948833.54655
sobol,SMCO_R_EVO,SA,5,10,0,15,33.3,359507933.957295,540795953.24712
sobol,SMCO_R_EVO,DEoptim,15,0,0,15,100.0,359507933.957295,144648617.012044
sobol,SMCO_R_EVO,GA,15,0,0,15,100.0,359507933.957295,180780994.381398
sobol,SMCO_R_EVO,PSO,5,10,0,15,33.3,359507933.957295,521832904.70703
sobol,SMCO_BR_EVO,GenSA,3,12,0,15,20.0,282444820.297875,809948833.54655
sobol,SMCO_BR_EVO,SA,5,10,0,15,33.3,282444820.297875,540795953.24712
sobol,SMCO_BR_EVO,DEoptim,15,0,0,15,100.0,282444820.297875,144648617.012044
