strategy,func,dim,algo,mean,std,min,max,median,n,is_evo
best1bin,Ackley,1000,DEoptim,21.40238059,0.00977965,21.38826093,21.41269241,21.40633999,5,False
best1bin,Ackley,1000,GA,21.46911005,0.01047325,21.45566972,21.48210463,21.47178885,5,False
best1bin,Ackley,1000,GenSA,22.13118936,0.09109798,21.96830197,22.17547381,22.17085319,5,False
best1bin,Ackley,1000,PSO,21.78589313,0.0216697,21.75594338,21.80574237,21.79272061,5,False
best1bin,Ackley,1000,SA,21.96278046,0.02290152,21.94440547,22.00240267,21.95520556,5,False
best1bin,Ackley,1000,SMCO,21.35674794,0.01336454,21.3375839,21.37453368,21.35814077,5,False
best1bin,Ackley,1000,SMCO_BR,21.94129771,0.00968927,21.92969363,21.95394197,21.94297709,5,False
best1bin,Ackley,1000,SMCO_BR_EVO,22.1789272,0.01247994,22.16344765,22.19698713,22.17931092,5,True
best1bin,Ackley,1000,SMCO_EVO,22.09938953,0.00600244,22.09412875,22.10802626,22.097769,5,True
best1bin,Ackley,1000,SMCO_R,21.94929137,0.00976383,21.9392345,21.96311007,21.94566172,5,False
best1bin,Ackley,1000,SMCO_R_EVO,22.1678719,0.01455016,22.14689476,22.18745288,22.169961,5,True
best1bin,Ackley,2000,DEoptim,21.36305693,0.00278622,21.35990396,21.36518756,21.36407927,3,False
best1bin,Ackley,2000,GA,21.42397827,0.01420167,21.41429648,21.44028148,21.41735684,3,False
best1bin,Ackley,2000,GenSA,21.94001171,0.00997303,21.92874206,21.94769777,21.9435953,3,False
best1bin,Ackley,2000,PSO,21.77345901,0.01220993,21.76163203,21.78601887,21.77272612,3,False
best1bin,Ackley,2000,SA,21.8924745,0.0081464,21.88755555,21.90187781,21.88799014,3,False
best1bin,Ackley,2000,SMCO,21.41223117,0.00643105,21.40845332,21.41965673,21.40858345,3,False
best1bin,Ackley,2000,SMCO_BR,21.92156924,0.00343249,21.91912993,21.92549433,21.92008347,3,False
best1bin,Ackley,2000,SMCO_BR_EVO,22.17491681,0.00499545,22.16932047,22.17892545,22.17650451,3,True
best1bin,Ackley,2000,SMCO_EVO,22.1045587,0.00829984,22.09949799,22.1141374,22.1000407,3,True
