strategy,pair,func,dim,base_time,evo_time,time_overhead_pct,quality_improve_pct,cost_benefit_ratio
best1bin,SMCO_vs_SMCO_EVO,Ackley,1000,1348.13,1301.63,-3.45,3.4773,inf
best1bin,SMCO_vs_SMCO_EVO,Ackley,2000,5867.16,5614.45,-4.31,3.2333,inf
best1bin,SMCO_vs_SMCO_EVO,Ackley,3000,11586.36,11957.53,3.2,2.5435,0.794
best1bin,SMCO_vs_SMCO_EVO,Ackley,4000,23100.16,23451.6,1.52,1.9581,1.2871
best1bin,SMCO_vs_SMCO_EVO,Ackley,5000,46529.59,52993.37,13.89,1.8534,0.1334
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,1000,971.56,961.78,-1.01,-0.0015,inf
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,2000,4410.94,4476.24,1.48,0.0034,0.0023
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,3000,9431.53,9620.09,2.0,0.0081,0.0041
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,4000,18764.35,19185.14,2.24,0.0039,0.0017
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,5000,43844.8,44177.47,0.76,-0.0183,-0.0241
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,1000,518.24,549.3,5.99,0.0118,0.002
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,2000,1680.26,1682.02,0.1,-0.0242,-0.2308
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,3000,3416.21,3404.4,-0.35,-0.0272,inf
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,4000,5533.36,5544.28,0.2,0.3837,1.944
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,5000,9829.82,10369.27,5.49,4.6026,0.8387
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,1000,1337.8,1310.42,-2.05,0.9958,inf
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,2000,5670.9,5358.15,-5.51,1.1774,inf
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,3000,11554.92,11470.83,-0.73,2.7465,inf
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,4000,22467.47,22564.19,0.43,1.9461,4.5209
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,5000,46072.08,50630.73,9.89,1.8672,0.1887
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,1000,1019.4,992.44,-2.64,-0.0,inf
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,2000,4816.74,4576.96,-4.98,0.0244,inf
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,3000,9259.6,9467.43,2.24,0.0307,0.0137
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,4000,18810.62,19189.25,2.01,0.005,0.0025
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,5000,44118.46,42925.53,-2.7,0.0201,inf
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,1000,522.74,541.95,3.67,2.0298,0.5526
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,2000,1687.06,1785.52,5.84,2.4387,0.4179
