evo_algo,func,dim,strategy_1,strategy_2,s1_mean,s2_mean,winner
SMCO_EVO,Rastrigin,1000,best1bin,current-to-best1bin,29109.53342,29109.53342,tie
SMCO_EVO,Rastrigin,2000,best1bin,current-to-best1bin,57883.294766,57883.294766,best1bin
SMCO_EVO,Rastrigin,3000,best1bin,current-to-best1bin,86028.140175,86028.140175,tie
SMCO_EVO,Rastrigin,4000,best1bin,current-to-best1bin,114314.912501,114314.912501,tie
SMCO_EVO,Rastrigin,5000,best1bin,current-to-best1bin,142432.297777,142432.297777,tie
SMCO_EVO,Ackley,1000,best1bin,current-to-best1bin,22.09939,22.087345,best1bin
SMCO_EVO,Ackley,2000,best1bin,current-to-best1bin,22.104559,22.088476,best1bin
SMCO_EVO,Ackley,3000,best1bin,current-to-best1bin,22.079895,22.032317,best1bin
SMCO_EVO,Ackley,4000,best1bin,current-to-best1bin,22.089218,22.064646,best1bin
SMCO_EVO,Ackley,5000,best1bin,current-to-best1bin,22.099188,22.060943,best1bin
SMCO_EVO,Rosenbrock,1000,best1bin,current-to-best1bin,463443829.074318,463443829.074318,tie
SMCO_EVO,Rosenbrock,2000,best1bin,current-to-best1bin,869037289.380995,869037289.380995,tie
SMCO_EVO,Rosenbrock,3000,best1bin,current-to-best1bin,1239385157.233145,1239385157.233145,tie
SMCO_EVO,Rosenbrock,4000,best1bin,current-to-best1bin,1607755773.52109,1601826824.566375,best1bin
SMCO_EVO,Rosenbrock,5000,best1bin,current-to-best1bin,2043895340.43962,1953906656.35066,best1bin
SMCO_EVO,Rastrigin,1000,best1bin,rand1bin,29109.53342,29110.286556,rand1bin
SMCO_EVO,Rastrigin,2000,best1bin,rand1bin,57883.294766,57883.78754,rand1bin
SMCO_EVO,Rastrigin,3000,best1bin,rand1bin,86028.140175,86027.416949,best1bin
SMCO_EVO,Rastrigin,4000,best1bin,rand1bin,114314.912501,114316.991411,rand1bin
SMCO_EVO,Rastrigin,5000,best1bin,rand1bin,142432.297777,142431.546503,best1bin
SMCO_EVO,Ackley,1000,best1bin,rand1bin,22.09939,22.118085,rand1bin
SMCO_EVO,Ackley,2000,best1bin,rand1bin,22.104559,22.115831,rand1bin
SMCO_EVO,Ackley,3000,best1bin,rand1bin,22.079895,22.086194,rand1bin
SMCO_EVO,Ackley,4000,best1bin,rand1bin,22.089218,22.105049,rand1bin
SMCO_EVO,Ackley,5000,best1bin,rand1bin,22.099188,22.111479,rand1bin
SMCO_EVO,Rosenbrock,1000,best1bin,rand1bin,463443829.074318,463431517.428576,best1bin
SMCO_EVO,Rosenbrock,2000,best1bin,rand1bin,869037289.380995,869043776.630157,rand1bin
SMCO_EVO,Rosenbrock,3000,best1bin,rand1bin,1239385157.233145,1239484708.414379,rand1bin
SMCO_EVO,Rosenbrock,4000,best1bin,rand1bin,1607755773.52109,1601772804.80451,best1bin
SMCO_EVO,Rosenbrock,5000,best1bin,rand1bin,2043895340.43962,1953822312.204844,best1bin
SMCO_EVO,Rastrigin,1000,best1bin,sobol,29109.53342,29110.274251,sobol
SMCO_EVO,Rastrigin,2000,best1bin,sobol,57883.294766,57882.646101,best1bin
SMCO_EVO,Rastrigin,3000,best1bin,sobol,86028.140175,86027.190837,best1bin
SMCO_EVO,Rastrigin,4000,best1bin,sobol,114314.912501,114305.592686,best1bin
SMCO_EVO,Rastrigin,5000,best1bin,sobol,142432.297777,142433.693053,sobol
SMCO_EVO,Ackley,1000,best1bin,sobol,22.09939,21.897164,best1bin
SMCO_EVO,Ackley,2000,best1bin,sobol,22.104559,21.887407,best1bin
SMCO_EVO,Ackley,3000,best1bin,sobol,22.079895,21.879182,best1bin
