strategy,func,dim,algo,fopt_mean,smco_rank,best_in_smco
best1bin,Ackley,1000,SMCO_BR_EVO,22.1789272,1,SMCO_BR_EVO
best1bin,Ackley,1000,SMCO_R_EVO,22.1678719,2,SMCO_BR_EVO
best1bin,Ackley,1000,SMCO_EVO,22.09938953,3,SMCO_BR_EVO
best1bin,Ackley,1000,SMCO_R,21.94929137,4,SMCO_BR_EVO
best1bin,Ackley,1000,SMCO_BR,21.94129771,5,SMCO_BR_EVO
best1bin,Ackley,1000,SMCO,21.35674794,6,SMCO_BR_EVO
best1bin,Ackley,2000,SMCO_BR_EVO,22.17491681,1,SMCO_BR_EVO
best1bin,Ackley,2000,SMCO_R_EVO,22.1584088,2,SMCO_BR_EVO
best1bin,Ackley,2000,SMCO_EVO,22.1045587,3,SMCO_BR_EVO
best1bin,Ackley,2000,SMCO_BR,21.92156924,4,SMCO_BR_EVO
best1bin,Ackley,2000,SMCO_R,21.90054567,5,SMCO_BR_EVO
best1bin,Ackley,2000,SMCO,21.41223117,6,SMCO_BR_EVO
best1bin,Ackley,3000,SMCO_BR_EVO,22.16978212,1,SMCO_BR_EVO
best1bin,Ackley,3000,SMCO_R_EVO,22.15591204,2,SMCO_BR_EVO
best1bin,Ackley,3000,SMCO_EVO,22.0798953,3,SMCO_BR_EVO
best1bin,Ackley,3000,SMCO_BR,21.90992625,4,SMCO_BR_EVO
best1bin,Ackley,3000,SMCO_R,21.56366743,5,SMCO_BR_EVO
best1bin,Ackley,3000,SMCO,21.53221419,6,SMCO_BR_EVO
best1bin,Ackley,4000,SMCO_BR_EVO,22.16507422,1,SMCO_BR_EVO
best1bin,Ackley,4000,SMCO_R_EVO,22.1188384,2,SMCO_BR_EVO
best1bin,Ackley,4000,SMCO_EVO,22.08921825,3,SMCO_BR_EVO
best1bin,Ackley,4000,SMCO_BR,21.90941467,4,SMCO_BR_EVO
best1bin,Ackley,4000,SMCO_R,21.69659647,5,SMCO_BR_EVO
best1bin,Ackley,4000,SMCO,21.66499532,6,SMCO_BR_EVO
best1bin,Ackley,5000,SMCO_BR_EVO,22.17089622,1,SMCO_BR_EVO
best1bin,Ackley,5000,SMCO_R_EVO,22.13135628,2,SMCO_BR_EVO
best1bin,Ackley,5000,SMCO_EVO,22.09918797,3,SMCO_BR_EVO
best1bin,Ackley,5000,SMCO_BR,21.91259762,4,SMCO_BR_EVO
best1bin,Ackley,5000,SMCO_R,21.7257027,5,SMCO_BR_EVO
best1bin,Ackley,5000,SMCO,21.69704496,6,SMCO_BR_EVO
best1bin,Rastrigin,1000,SMCO_R,29138.03230207,1,SMCO_R
best1bin,Rastrigin,1000,SMCO_R_EVO,29138.02210024,2,SMCO_R
best1bin,Rastrigin,1000,SMCO_BR,29126.31025437,3,SMCO_R
best1bin,Rastrigin,1000,SMCO_BR_EVO,29125.55358528,4,SMCO_R
best1bin,Rastrigin,1000,SMCO,29109.96616976,5,SMCO_R
best1bin,Rastrigin,1000,SMCO_EVO,29109.53341967,6,SMCO_R
best1bin,Rastrigin,2000,SMCO_R_EVO,57943.73565598,1,SMCO_R_EVO
best1bin,Rastrigin,2000,SMCO_R,57929.57599256,2,SMCO_R_EVO
best1bin,Rastrigin,2000,SMCO_BR,57911.78566871,3,SMCO_R_EVO
best1bin,Rastrigin,2000,SMCO_BR_EVO,57911.57064659,4,SMCO_R_EVO
best1bin,Rastrigin,2000,SMCO_EVO,57883.29476627,5,SMCO_R_EVO
best1bin,Rastrigin,2000,SMCO,57881.3549303,6,SMCO_R_EVO
best1bin,Rastrigin,3000,SMCO_R_EVO,86094.55559768,1,SMCO_R_EVO
best1bin,Rastrigin,3000,SMCO_R,86068.11548492,2,SMCO_R_EVO
best1bin,Rastrigin,3000,SMCO_BR_EVO,86031.64588794,3,SMCO_R_EVO
best1bin,Rastrigin,3000,SMCO_EVO,86028.14017522,4,SMCO_R_EVO
best1bin,Rastrigin,3000,SMCO_BR,86027.3630172,5,SMCO_R_EVO
best1bin,Rastrigin,3000,SMCO,86021.13959544,6,SMCO_R_EVO
best1bin,Rastrigin,4000,SMCO_R_EVO,114380.51305936,1,SMCO_R_EVO
best1bin,Rastrigin,4000,SMCO_R,114374.76422764,2,SMCO_R_EVO
best1bin,Rastrigin,4000,SMCO_BR_EVO,114319.86604742,3,SMCO_R_EVO
best1bin,Rastrigin,4000,SMCO_EVO,114314.91250138,4,SMCO_R_EVO
best1bin,Rastrigin,4000,SMCO_BR,114314.06385418,5,SMCO_R_EVO
best1bin,Rastrigin,4000,SMCO,114310.45677346,6,SMCO_R_EVO
best1bin,Rastrigin,5000,SMCO_R_EVO,142540.8363879,1,SMCO_R_EVO
best1bin,Rastrigin,5000,SMCO_R,142512.25069086,2,SMCO_R_EVO
best1bin,Rastrigin,5000,SMCO_BR,142460.14573843,3,SMCO_R_EVO
best1bin,Rastrigin,5000,SMCO_BR_EVO,142458.48954384,4,SMCO_R_EVO
best1bin,Rastrigin,5000,SMCO,142458.32504619,5,SMCO_R_EVO
best1bin,Rastrigin,5000,SMCO_EVO,142432.29777746,6,SMCO_R_EVO
best1bin,Rosenbrock,1000,SMCO_EVO,463443829.07431805,1,SMCO_EVO
best1bin,Rosenbrock,1000,SMCO,463389064.88490987,2,SMCO_EVO
best1bin,Rosenbrock,1000,SMCO_R_EVO,431293381.85747737,3,SMCO_EVO
best1bin,Rosenbrock,1000,SMCO_R,422712947.9742656,4,SMCO_EVO
best1bin,Rosenbrock,1000,SMCO_BR_EVO,372046389.76400423,5,SMCO_EVO
best1bin,Rosenbrock,1000,SMCO_BR,348193067.76848793,6,SMCO_EVO
best1bin,Rosenbrock,2000,SMCO,869247612.9724324,1,SMCO
best1bin,Rosenbrock,2000,SMCO_EVO,869037289.3809952,2,SMCO
best1bin,Rosenbrock,2000,SMCO_R_EVO,794743124.1546808,3,SMCO
best1bin,Rosenbrock,2000,SMCO_R,775822748.1332974,4,SMCO
best1bin,Rosenbrock,2000,SMCO_BR_EVO,685824638.2370745,5,SMCO
best1bin,Rosenbrock,2000,SMCO_BR,618155929.2741712,6,SMCO
best1bin,Rosenbrock,3000,SMCO,1239722873.845387,1,SMCO
best1bin,Rosenbrock,3000,SMCO_EVO,1239385157.2331452,2,SMCO
best1bin,Rosenbrock,3000,SMCO_R_EVO,1135294516.5534573,3,SMCO
best1bin,Rosenbrock,3000,SMCO_R,1094303115.940483,4,SMCO
best1bin,Rosenbrock,3000,SMCO_BR_EVO,955288955.6197196,5,SMCO
best1bin,Rosenbrock,3000,SMCO_BR,859724697.6735848,6,SMCO
best1bin,Rosenbrock,4000,SMCO_EVO,1607755773.5210905,1,SMCO_EVO
best1bin,Rosenbrock,4000,SMCO,1601610810.9908462,2,SMCO_EVO
best1bin,Rosenbrock,4000,SMCO_R_EVO,1449626148.1335459,3,SMCO_EVO
best1bin,Rosenbrock,4000,SMCO_R,1399385030.0219135,4,SMCO_EVO
best1bin,Rosenbrock,4000,SMCO_BR_EVO,1273971153.476194,5,SMCO_EVO
best1bin,Rosenbrock,4000,SMCO_BR,1091605069.4387069,6,SMCO_EVO
best1bin,Rosenbrock,5000,SMCO_EVO,2043895340.4396203,1,SMCO_EVO
best1bin,Rosenbrock,5000,SMCO,1953961917.8469484,2,SMCO_EVO
best1bin,Rosenbrock,5000,SMCO_R_EVO,1768504356.366383,3,SMCO_EVO
best1bin,Rosenbrock,5000,SMCO_R,1699574361.5793364,4,SMCO_EVO
best1bin,Rosenbrock,5000,SMCO_BR_EVO,1530155403.464967,5,SMCO_EVO
best1bin,Rosenbrock,5000,SMCO_BR,1318276891.8457017,6,SMCO_EVO
current-to-best1bin,Ackley,1000,SMCO_R_EVO,22.1611974,1,SMCO_R_EVO
current-to-best1bin,Ackley,1000,SMCO_BR_EVO,22.15998727,2,SMCO_R_EVO
current-to-best1bin,Ackley,1000,SMCO_EVO,22.08734507,3,SMCO_R_EVO
current-to-best1bin,Ackley,1000,SMCO_R,21.94929137,4,SMCO_R_EVO
current-to-best1bin,Ackley,1000,SMCO_BR,21.94129771,5,SMCO_R_EVO
current-to-best1bin,Ackley,1000,SMCO,21.35674794,6,SMCO_R_EVO
current-to-best1bin,Ackley,2000,SMCO_BR_EVO,22.15386391,1,SMCO_BR_EVO
current-to-best1bin,Ackley,2000,SMCO_R_EVO,22.1366682,2,SMCO_BR_EVO
current-to-best1bin,Ackley,2000,SMCO_EVO,22.08847639,3,SMCO_BR_EVO
current-to-best1bin,Ackley,2000,SMCO_BR,21.92156924,4,SMCO_BR_EVO
current-to-best1bin,Ackley,2000,SMCO_R,21.90054567,5,SMCO_BR_EVO
current-to-best1bin,Ackley,2000,SMCO,21.41223117,6,SMCO_BR_EVO
current-to-best1bin,Ackley,3000,SMCO_BR_EVO,22.14900609,1,SMCO_BR_EVO
current-to-best1bin,Ackley,3000,SMCO_R_EVO,22.1399903,2,SMCO_BR_EVO
current-to-best1bin,Ackley,3000,SMCO_EVO,22.0323172,3,SMCO_BR_EVO
current-to-best1bin,Ackley,3000,SMCO_BR,21.90992625,4,SMCO_BR_EVO
current-to-best1bin,Ackley,3000,SMCO_R,21.56366743,5,SMCO_BR_EVO
current-to-best1bin,Ackley,3000,SMCO,21.53221419,6,SMCO_BR_EVO
current-to-best1bin,Ackley,4000,SMCO_BR_EVO,22.14027055,1,SMCO_BR_EVO
current-to-best1bin,Ackley,4000,SMCO_R_EVO,22.09349817,2,SMCO_BR_EVO
current-to-best1bin,Ackley,4000,SMCO_EVO,22.06464569,3,SMCO_BR_EVO
current-to-best1bin,Ackley,4000,SMCO_BR,21.90941467,4,SMCO_BR_EVO
current-to-best1bin,Ackley,4000,SMCO_R,21.69659647,5,SMCO_BR_EVO
current-to-best1bin,Ackley,4000,SMCO,21.66499532,6,SMCO_BR_EVO
current-to-best1bin,Ackley,5000,SMCO_BR_EVO,22.15204417,1,SMCO_BR_EVO
current-to-best1bin,Ackley,5000,SMCO_R_EVO,22.11214145,2,SMCO_BR_EVO
current-to-best1bin,Ackley,5000,SMCO_EVO,22.06094277,3,SMCO_BR_EVO
current-to-best1bin,Ackley,5000,SMCO_BR,21.91259762,4,SMCO_BR_EVO
current-to-best1bin,Ackley,5000,SMCO_R,21.7257027,5,SMCO_BR_EVO
current-to-best1bin,Ackley,5000,SMCO,21.69704496,6,SMCO_BR_EVO
current-to-best1bin,Rastrigin,1000,SMCO_R,29138.03230207,1,SMCO_R
current-to-best1bin,Rastrigin,1000,SMCO_R_EVO,29138.02210024,2,SMCO_R
current-to-best1bin,Rastrigin,1000,SMCO_BR,29126.31025437,3,SMCO_R
current-to-best1bin,Rastrigin,1000,SMCO_BR_EVO,29125.55358528,4,SMCO_R
current-to-best1bin,Rastrigin,1000,SMCO,29109.96616976,5,SMCO_R
current-to-best1bin,Rastrigin,1000,SMCO_EVO,29109.53341967,6,SMCO_R
current-to-best1bin,Rastrigin,2000,SMCO_R_EVO,57943.73565598,1,SMCO_R_EVO
current-to-best1bin,Rastrigin,2000,SMCO_R,57929.57599256,2,SMCO_R_EVO
current-to-best1bin,Rastrigin,2000,SMCO_BR,57911.78566871,3,SMCO_R_EVO
current-to-best1bin,Rastrigin,2000,SMCO_BR_EVO,57911.57064659,4,SMCO_R_EVO
current-to-best1bin,Rastrigin,2000,SMCO_EVO,57883.29476627,5,SMCO_R_EVO
current-to-best1bin,Rastrigin,2000,SMCO,57881.3549303,6,SMCO_R_EVO
current-to-best1bin,Rastrigin,3000,SMCO_R_EVO,86094.55559768,1,SMCO_R_EVO
current-to-best1bin,Rastrigin,3000,SMCO_R,86068.11548492,2,SMCO_R_EVO
current-to-best1bin,Rastrigin,3000,SMCO_BR_EVO,86031.64588794,3,SMCO_R_EVO
current-to-best1bin,Rastrigin,3000,SMCO_EVO,86028.14017522,4,SMCO_R_EVO
current-to-best1bin,Rastrigin,3000,SMCO_BR,86027.3630172,5,SMCO_R_EVO
current-to-best1bin,Rastrigin,3000,SMCO,86021.13959544,6,SMCO_R_EVO
current-to-best1bin,Rastrigin,4000,SMCO_R_EVO,114380.51305936,1,SMCO_R_EVO
current-to-best1bin,Rastrigin,4000,SMCO_R,114374.76422764,2,SMCO_R_EVO
current-to-best1bin,Rastrigin,4000,SMCO_BR_EVO,114319.86604742,3,SMCO_R_EVO
current-to-best1bin,Rastrigin,4000,SMCO_EVO,114314.91250138,4,SMCO_R_EVO
current-to-best1bin,Rastrigin,4000,SMCO_BR,114314.06385418,5,SMCO_R_EVO
current-to-best1bin,Rastrigin,4000,SMCO,114310.45677346,6,SMCO_R_EVO
current-to-best1bin,Rastrigin,5000,SMCO_R_EVO,142540.8363879,1,SMCO_R_EVO
current-to-best1bin,Rastrigin,5000,SMCO_R,142512.25069086,2,SMCO_R_EVO
current-to-best1bin,Rastrigin,5000,SMCO_BR,142460.14573843,3,SMCO_R_EVO
current-to-best1bin,Rastrigin,5000,SMCO_BR_EVO,142458.48954384,4,SMCO_R_EVO
current-to-best1bin,Rastrigin,5000,SMCO,142458.32504619,5,SMCO_R_EVO
current-to-best1bin,Rastrigin,5000,SMCO_EVO,142432.29777746,6,SMCO_R_EVO
current-to-best1bin,Rosenbrock,1000,SMCO_EVO,463443829.07431805,1,SMCO_EVO
current-to-best1bin,Rosenbrock,1000,SMCO,463389064.88490987,2,SMCO_EVO
current-to-best1bin,Rosenbrock,1000,SMCO_R,422712947.9742656,3,SMCO_EVO
current-to-best1bin,Rosenbrock,1000,SMCO_R_EVO,422659750.85499537,4,SMCO_EVO
current-to-best1bin,Rosenbrock,1000,SMCO_BR_EVO,361314025.78286856,5,SMCO_EVO
current-to-best1bin,Rosenbrock,1000,SMCO_BR,348193067.76848793,6,SMCO_EVO
current-to-best1bin,Rosenbrock,2000,SMCO,869247612.9724324,1,SMCO
current-to-best1bin,Rosenbrock,2000,SMCO_EVO,869037289.3809952,2,SMCO
current-to-best1bin,Rosenbrock,2000,SMCO_R_EVO,775870948.4175621,3,SMCO
current-to-best1bin,Rosenbrock,2000,SMCO_R,775822748.1332974,4,SMCO
current-to-best1bin,Rosenbrock,2000,SMCO_BR_EVO,667858608.950692,5,SMCO
current-to-best1bin,Rosenbrock,2000,SMCO_BR,618155929.2741712,6,SMCO
current-to-best1bin,Rosenbrock,3000,SMCO,1239722873.845387,1,SMCO
current-to-best1bin,Rosenbrock,3000,SMCO_EVO,1239385157.2331452,2,SMCO
current-to-best1bin,Rosenbrock,3000,SMCO_R_EVO,1110555709.568077,3,SMCO
current-to-best1bin,Rosenbrock,3000,SMCO_R,1094303115.940483,4,SMCO
current-to-best1bin,Rosenbrock,3000,SMCO_BR_EVO,928660317.1534901,5,SMCO
current-to-best1bin,Rosenbrock,3000,SMCO_BR,859724697.6735848,6,SMCO
current-to-best1bin,Rosenbrock,4000,SMCO_EVO,1601826824.5663753,1,SMCO_EVO
current-to-best1bin,Rosenbrock,4000,SMCO,1601610810.9908462,2,SMCO_EVO
current-to-best1bin,Rosenbrock,4000,SMCO_R_EVO,1433132239.4677372,3,SMCO_EVO
current-to-best1bin,Rosenbrock,4000,SMCO_R,1399385030.0219135,4,SMCO_EVO
current-to-best1bin,Rosenbrock,4000,SMCO_BR_EVO,1239822826.0694354,5,SMCO_EVO
current-to-best1bin,Rosenbrock,4000,SMCO_BR,1091605069.4387069,6,SMCO_EVO
current-to-best1bin,Rosenbrock,5000,SMCO,1953961917.8469484,1,SMCO
current-to-best1bin,Rosenbrock,5000,SMCO_EVO,1953906656.3506606,2,SMCO
current-to-best1bin,Rosenbrock,5000,SMCO_R_EVO,1767633840.916448,3,SMCO
current-to-best1bin,Rosenbrock,5000,SMCO_R,1699574361.5793364,4,SMCO
current-to-best1bin,Rosenbrock,5000,SMCO_BR_EVO,1529914988.3765254,5,SMCO
current-to-best1bin,Rosenbrock,5000,SMCO_BR,1318276891.8457017,6,SMCO
rand1bin,Ackley,1000,SMCO_BR_EVO,22.19297949,1,SMCO_BR_EVO
rand1bin,Ackley,1000,SMCO_R_EVO,22.17802791,2,SMCO_BR_EVO
rand1bin,Ackley,1000,SMCO_EVO,22.11808487,3,SMCO_BR_EVO
rand1bin,Ackley,1000,SMCO_R,21.94929137,4,SMCO_BR_EVO
rand1bin,Ackley,1000,SMCO_BR,21.94129771,5,SMCO_BR_EVO
rand1bin,Ackley,1000,SMCO,21.35674794,6,SMCO_BR_EVO
rand1bin,Ackley,2000,SMCO_BR_EVO,22.18821204,1,SMCO_BR_EVO
rand1bin,Ackley,2000,SMCO_R_EVO,22.17797944,2,SMCO_BR_EVO
rand1bin,Ackley,2000,SMCO_EVO,22.11583147,3,SMCO_BR_EVO
rand1bin,Ackley,2000,SMCO_BR,21.92156924,4,SMCO_BR_EVO
rand1bin,Ackley,2000,SMCO_R,21.90054567,5,SMCO_BR_EVO
rand1bin,Ackley,2000,SMCO,21.41223117,6,SMCO_BR_EVO
rand1bin,Ackley,3000,SMCO_BR_EVO,22.17783126,1,SMCO_BR_EVO
rand1bin,Ackley,3000,SMCO_R_EVO,22.17659688,2,SMCO_BR_EVO
rand1bin,Ackley,3000,SMCO_EVO,22.08619358,3,SMCO_BR_EVO
rand1bin,Ackley,3000,SMCO_BR,21.90992625,4,SMCO_BR_EVO
rand1bin,Ackley,3000,SMCO_R,21.56366743,5,SMCO_BR_EVO
rand1bin,Ackley,3000,SMCO,21.53221419,6,SMCO_BR_EVO
rand1bin,Ackley,4000,SMCO_BR_EVO,22.18100381,1,SMCO_BR_EVO
rand1bin,Ackley,4000,SMCO_R_EVO,22.14593543,2,SMCO_BR_EVO
rand1bin,Ackley,4000,SMCO_EVO,22.10504908,3,SMCO_BR_EVO
rand1bin,Ackley,4000,SMCO_BR,21.90941467,4,SMCO_BR_EVO
rand1bin,Ackley,4000,SMCO_R,21.69659647,5,SMCO_BR_EVO
rand1bin,Ackley,4000,SMCO,21.66499532,6,SMCO_BR_EVO
rand1bin,Ackley,5000,SMCO_BR_EVO,22.18490993,1,SMCO_BR_EVO
rand1bin,Ackley,5000,SMCO_R_EVO,22.15293404,2,SMCO_BR_EVO
rand1bin,Ackley,5000,SMCO_EVO,22.11147899,3,SMCO_BR_EVO
rand1bin,Ackley,5000,SMCO_BR,21.91259762,4,SMCO_BR_EVO
rand1bin,Ackley,5000,SMCO_R,21.7257027,5,SMCO_BR_EVO
rand1bin,Ackley,5000,SMCO,21.69704496,6,SMCO_BR_EVO
rand1bin,Rastrigin,1000,SMCO_R_EVO,29138.0368996,1,SMCO_R_EVO
rand1bin,Rastrigin,1000,SMCO_R,29138.03230207,2,SMCO_R_EVO
rand1bin,Rastrigin,1000,SMCO_BR,29126.31025437,3,SMCO_R_EVO
rand1bin,Rastrigin,1000,SMCO_BR_EVO,29126.29918232,4,SMCO_R_EVO
rand1bin,Rastrigin,1000,SMCO_EVO,29110.28655616,5,SMCO_R_EVO
rand1bin,Rastrigin,1000,SMCO,29109.96616976,6,SMCO_R_EVO
rand1bin,Rastrigin,2000,SMCO_R_EVO,57944.88808556,1,SMCO_R_EVO
rand1bin,Rastrigin,2000,SMCO_R,57929.57599256,2,SMCO_R_EVO
