strategy,algo,func,dim,rep,fopt,time,iterations,seed
best1bin,optimLBFGS,Rastrigin,50,0,1446.2356862892948,0.03724334202706814,16,647279673
best1bin,optimLBFGS,Rastrigin,50,1,1461.0519900087943,0.05552401812747121,19,1677437249
best1bin,optimLBFGS,Rastrigin,50,2,1446.2356862892948,0.052549244137480855,18,315387377
best1bin,PSO,Rastrigin,50,0,1514.807145097613,0.19953866209834814,300,647279673
best1bin,optimNM,Rastrigin,50,0,1272.606435732861,0.20591420703567564,2400,647279673
best1bin,optimNM,Rastrigin,50,2,1232.8626290498512,0.22829148988239467,2400,315387377
best1bin,SPSA,Rastrigin,50,1,1485.68410458732,0.2689956179820001,4800,1677437249
best1bin,GD,Rastrigin,50,1,1455.9890316440506,0.278704582946375,312,1677437249
best1bin,SPSA,Rastrigin,50,2,1472.5501683158884,0.29604716692119837,4800,315387377
best1bin,PSO,Rastrigin,50,1,1537.6642980337192,0.3147925669327378,300,1677437249
best1bin,optimNM,Rastrigin,50,1,1108.29590349204,0.3683190739247948,2400,1677437249
best1bin,SPSA,Rastrigin,50,0,1557.9806981572206,0.40749745490029454,4800,647279673
best1bin,PSO,Rastrigin,50,2,1503.37856862956,0.1659312539268285,300,315387377
best1bin,GA,Rastrigin,50,1,1683.6868754828845,0.682131027104333,300,1677437249
best1bin,GD,Rastrigin,50,3,1469.9301931274404,0.2810714750085026,394,991992466
best1bin,GA,Rastrigin,50,0,1677.575678451047,0.8188486201688647,300,647279673
best1bin,GD,Rastrigin,50,0,1450.3529333817648,0.9863261149730533,1037,647279673
best1bin,GD,Rastrigin,50,2,1458.3747897034523,1.0281901378184557,791,315387377
best1bin,optimLBFGS,Rastrigin,50,3,1466.4499606792904,0.08331850706599653,24,991992466
best1bin,SPSA,Rastrigin,50,3,1425.2863419847483,0.26794888102449477,4800,991992466
best1bin,GA,Rastrigin,50,2,1697.833410787606,0.910573392175138,300,315387377
best1bin,optimNM,Rastrigin,50,3,1235.860003247738,0.2384426409844309,2400,991992466
best1bin,SignGD,Rastrigin,50,3,1463.5242852028625,1.1075489830691367,1307,991992466
best1bin,SignGD,Rastrigin,50,0,1483.2172551359859,1.9429019410163164,1806,647279673
best1bin,PSO,Rastrigin,50,3,1491.949992161507,0.1695186549331993,300,991992466
best1bin,SignGD,Rastrigin,50,1,1417.7463325231286,2.2462893361225724,1806,1677437249
best1bin,GenSA,Rastrigin,50,0,2017.6645096919306,2.304076466942206,300,647279673
best1bin,SignGD,Rastrigin,50,2,1553.0687091883328,2.4586668929550797,2305,315387377
best1bin,GA,Rastrigin,50,3,1669.653405920478,0.6925765131600201,300,991992466
best1bin,GenSA,Rastrigin,50,1,2017.6645096919437,3.075369413010776,300,1677437249
best1bin,GenSA,Rastrigin,50,2,2017.6645096919467,3.0786856019403785,300,315387377
best1bin,GD,Rastrigin,50,4,1456.9518442835558,0.26651657186448574,254,659688733
best1bin,GenSA,Rastrigin,50,3,2017.6645096914785,2.5525698091369122,300,991992466
best1bin,ADAM,Rastrigin,50,0,1484.8477811397509,3.8507656089495867,3892,647279673
best1bin,SMCO_BR_EVO,Rastrigin,50,1,1674.059524922108,3.9806485979352146,158,1677437249
best1bin,SMCO_R_EVO,Rastrigin,50,1,1653.6953563472512,4.039176478981972,308,1677437249
best1bin,optimLBFGS,Rastrigin,50,4,1446.2356862892948,0.058587127132341266,21,659688733
