strategy,algo,func,dim,rep,fopt,time,iterations,seed
current-to-best1bin,optimLBFGS,Rastrigin,50,0,1446.2356862892948,0.059433019952848554,16,647279673
current-to-best1bin,optimLBFGS,Rastrigin,50,2,1446.2356862892948,0.053700807970017195,18,315387377
current-to-best1bin,optimLBFGS,Rastrigin,50,1,1461.0519900087943,0.08048940915614367,19,1677437249
current-to-best1bin,optimNM,Rastrigin,50,0,1272.606435732861,0.15719045605510473,2400,647279673
current-to-best1bin,SPSA,Rastrigin,50,0,1557.9806981572206,0.1633863530587405,4800,647279673
current-to-best1bin,PSO,Rastrigin,50,0,1514.807145097613,0.17963524907827377,300,647279673
current-to-best1bin,SPSA,Rastrigin,50,1,1485.68410458732,0.2335635870695114,4800,1677437249
current-to-best1bin,SPSA,Rastrigin,50,2,1472.5501683158884,0.25112498202361166,4800,315387377
current-to-best1bin,optimNM,Rastrigin,50,1,1108.29590349204,0.2694893341977149,2400,1677437249
current-to-best1bin,PSO,Rastrigin,50,1,1537.6642980337192,0.26960419095121324,300,1677437249
current-to-best1bin,optimNM,Rastrigin,50,2,1232.8626290498512,0.2796505130827427,2400,315387377
current-to-best1bin,GD,Rastrigin,50,1,1455.9890316440506,0.3564231439959258,312,1677437249
current-to-best1bin,PSO,Rastrigin,50,2,1503.37856862956,0.1885994249023497,300,315387377
current-to-best1bin,GD,Rastrigin,50,2,1458.3747897034523,0.6053220480680466,791,315387377
current-to-best1bin,GD,Rastrigin,50,3,1469.9301931274404,0.4066531660500914,394,991992466
current-to-best1bin,GA,Rastrigin,50,1,1683.6868754828845,0.86753058899194,300,1677437249
current-to-best1bin,GA,Rastrigin,50,0,1677.575678451047,0.9399068630300462,300,647279673
current-to-best1bin,GA,Rastrigin,50,2,1697.833410787606,0.7859282919671386,300,315387377
current-to-best1bin,optimLBFGS,Rastrigin,50,3,1466.4499606792904,0.09008583193644881,24,991992466
current-to-best1bin,GD,Rastrigin,50,0,1450.3529333817648,1.0672389341052622,1037,647279673
current-to-best1bin,SPSA,Rastrigin,50,3,1425.2863419847483,0.25761536485515535,4800,991992466
current-to-best1bin,optimNM,Rastrigin,50,3,1235.860003247738,0.23673726501874626,2400,991992466
current-to-best1bin,SignGD,Rastrigin,50,1,1417.7463325231286,1.868332276120782,1806,1677437249
current-to-best1bin,SignGD,Rastrigin,50,0,1483.2172551359859,1.8844129510689527,1806,647279673
current-to-best1bin,SignGD,Rastrigin,50,3,1463.5242852028625,1.3010183339938521,1307,991992466
current-to-best1bin,PSO,Rastrigin,50,3,1491.949992161507,0.25354016316123307,300,991992466
current-to-best1bin,SignGD,Rastrigin,50,2,1553.0687091883328,2.2639768719673157,2305,315387377
current-to-best1bin,GenSA,Rastrigin,50,0,2017.6645096919306,2.5163095251191407,300,647279673
current-to-best1bin,GA,Rastrigin,50,3,1669.653405920478,0.8300652459729463,300,991992466
current-to-best1bin,GenSA,Rastrigin,50,2,2017.6645096919467,3.136233086930588,300,315387377
current-to-best1bin,GenSA,Rastrigin,50,1,2017.6645096919437,3.4325999468564987,300,1677437249
current-to-best1bin,GenSA,Rastrigin,50,3,2017.6645096914785,2.5939648819621652,300,991992466
current-to-best1bin,SMCO_R,Rastrigin,50,1,1671.7895576613657,3.66348142712377,158,1677437249
current-to-best1bin,GD,Rastrigin,50,4,1456.9518442835558,0.41708351392298937,254,659688733
current-to-best1bin,SMCO_R_EVO,Rastrigin,50,1,1653.7110758989436,4.041679751127958,308,1677437249
current-to-best1bin,SMCO_BR,Rastrigin,50,0,1698.511636069151,4.061439486918971,83,647279673
current-to-best1bin,SMCO_EVO,Rastrigin,50,1,1670.3987988546912,4.056870777159929,308,1677437249
current-to-best1bin,optimLBFGS,Rastrigin,50,4,1446.2356862892948,0.049208414973691106,21,659688733
current-to-best1bin,ADAM,Rastrigin,50,0,1484.8477811397509,4.099780738120899,3892,647279673
current-to-best1bin,SMCO_R_EVO,Rastrigin,50,0,1718.0319158395662,4.172619119985029,308,647279673
current-to-best1bin,ADAM,Rastrigin,50,2,1554.5724449134564,4.196755543118343,3904,315387377
current-to-best1bin,SMCO_R,Rastrigin,50,2,1758.2341727423504,4.2443445979151875,158,315387377
current-to-best1bin,SMCO_EVO,Rastrigin,50,0,1716.5149357770385,4.284906157059595,308,647279673
current-to-best1bin,optimNM,Rastrigin,50,4,1267.596416039447,0.23546284181065857,2400,659688733
current-to-best1bin,SPSA,Rastrigin,50,4,1548.5921322504844,0.5366938330698758,4800,659688733
current-to-best1bin,SMCO,Rastrigin,50,2,1756.4787231342423,4.402591039892286,308,315387377
current-to-best1bin,SMCO,Rastrigin,50,0,1710.4483425916098,4.462435710942373,308,647279673
current-to-best1bin,SMCO_R_EVO,Rastrigin,50,2,1760.2267170953353,4.459820147836581,308,315387377
current-to-best1bin,PSO,Rastrigin,50,4,1480.521415693454,0.2508681060280651,300,659688733
current-to-best1bin,SMCO_R,Rastrigin,50,3,1728.083625982933,4.240578182972968,158,991992466
current-to-best1bin,SMCO_BR,Rastrigin,50,1,1656.147236923354,4.551737383008003,83,1677437249
current-to-best1bin,SMCO_BR_EVO,Rastrigin,50,3,1706.02239671245,4.26183409197256,158,991992466
current-to-best1bin,SMCO_EVO,Rastrigin,50,2,1750.5175535230774,4.65297338203527,308,315387377
current-to-best1bin,optimLBFGS,Rastrigin,50,5,1446.2356862892948,0.054306544829159975,14,1940103363
current-to-best1bin,GD,Rastrigin,50,5,1455.4199194259968,0.21297676884569228,196,1940103363
current-to-best1bin,SMCO_BR,Rastrigin,50,2,1741.952985476664,4.718096797121689,83,315387377
current-to-best1bin,SPSA,Rastrigin,50,5,1446.2356862892948,0.2082234499976039,4800,1940103363
current-to-best1bin,SMCO,Rastrigin,50,3,1708.4395946363793,4.662506510037929,308,991992466
current-to-best1bin,SMCO_BR,Rastrigin,50,3,1722.6604147190935,4.681502960156649,83,991992466
current-to-best1bin,optimNM,Rastrigin,50,5,1247.2560601580283,0.24219117895700037,2400,1940103363
current-to-best1bin,SMCO_BR_EVO,Rastrigin,50,2,1757.6131150302535,5.1329271958675236,158,315387377
current-to-best1bin,GA,Rastrigin,50,4,1606.1570709247283,0.9430534448474646,300,659688733
current-to-best1bin,SMCO_BR_EVO,Rastrigin,50,0,1712.8516318074885,5.153584390878677,158,647279673
current-to-best1bin,SMCO_R,Rastrigin,50,0,1724.070936647647,5.177436179947108,158,647279673
current-to-best1bin,SMCO,Rastrigin,50,1,1670.220417774559,5.184959527803585,308,1677437249
current-to-best1bin,PSO,Rastrigin,50,5,1514.807145097613,0.2883475648704916,300,1940103363
current-to-best1bin,ADAM,Rastrigin,50,3,1476.1743084983286,4.483681666199118,3906,991992466
current-to-best1bin,SMCO_R_EVO,Rastrigin,50,3,1703.9837150683184,4.9288991240318865,308,991992466
current-to-best1bin,SMCO_BR_EVO,Rastrigin,50,1,1674.9303662848106,5.32761365105398,158,1677437249
current-to-best1bin,GA,Rastrigin,50,5,1658.079736961615,0.8765330500900745,300,1940103363
current-to-best1bin,GD,Rastrigin,50,6,1460.9560691074855,0.6097957058809698,340,814411795
current-to-best1bin,ADAM,Rastrigin,50,1,1419.2561853080097,5.8720291189383715,3906,1677437249
current-to-best1bin,optimLBFGS,Rastrigin,50,6,1446.2356862892948,0.13666574284434319,18,814411795
current-to-best1bin,SPSA,Rastrigin,50,6,1439.4063453962367,0.2809131848625839,4800,814411795
current-to-best1bin,SignGD,Rastrigin,50,4,1523.7204637604646,2.5824474771507084,2305,659688733
current-to-best1bin,optimNM,Rastrigin,50,6,1211.8932438441254,0.29084845702163875,2400,814411795
