strategy,algo,func,dim,rep,fopt,time,iterations,seed
rand1bin,optimLBFGS,Rastrigin,50,0,1446.2356862892948,0.06028335518203676,16,647279673
rand1bin,optimLBFGS,Rastrigin,50,1,1461.0519900087943,0.07783614890649915,19,1677437249
rand1bin,optimLBFGS,Rastrigin,50,2,1446.2356862892948,0.08584761805832386,18,315387377
rand1bin,optimNM,Rastrigin,50,0,1272.606435732861,0.13538385718129575,2400,647279673
rand1bin,optimNM,Rastrigin,50,2,1232.8626290498512,0.18385844700969756,2400,315387377
rand1bin,optimNM,Rastrigin,50,1,1108.29590349204,0.24934770492836833,2400,1677437249
rand1bin,SPSA,Rastrigin,50,0,1557.9806981572206,0.3044283948838711,4800,647279673
rand1bin,PSO,Rastrigin,50,1,1537.6642980337192,0.2753417631611228,300,1677437249
rand1bin,PSO,Rastrigin,50,0,1514.807145097613,0.2940305210649967,300,647279673
rand1bin,SPSA,Rastrigin,50,1,1485.68410458732,0.3114601820707321,4800,1677437249
rand1bin,SPSA,Rastrigin,50,2,1472.5501683158884,0.3065855570603162,4800,315387377
rand1bin,GD,Rastrigin,50,1,1455.9890316440506,0.36379208392463624,312,1677437249
rand1bin,PSO,Rastrigin,50,2,1503.37856862956,0.24516225093975663,300,315387377
rand1bin,GD,Rastrigin,50,0,1450.3529333817648,0.5845056278631091,1037,647279673
rand1bin,GA,Rastrigin,50,0,1677.575678451047,0.8164027789607644,300,647279673
rand1bin,GA,Rastrigin,50,1,1683.6868754828845,0.844934661174193,300,1677437249
rand1bin,GD,Rastrigin,50,2,1458.3747897034523,0.8840296729467809,791,315387377
rand1bin,GD,Rastrigin,50,3,1469.9301931274404,0.4230836408678442,394,991992466
rand1bin,GA,Rastrigin,50,2,1697.833410787606,0.7242710930295289,300,315387377
rand1bin,optimLBFGS,Rastrigin,50,3,1466.4499606792904,0.08043124387040734,24,991992466
rand1bin,SPSA,Rastrigin,50,3,1425.2863419847483,0.2594516850076616,4800,991992466
