strategy,algo,func,dim,rep,fopt,time,iterations,seed
sobol,optimLBFGS,Rastrigin,50,0,1446.2356862892948,0.07559764897450805,16,647279673
sobol,optimLBFGS,Rastrigin,50,1,1461.0519900087943,0.09650777000933886,19,1677437249
sobol,optimLBFGS,Rastrigin,50,2,1446.2356862892948,0.11346221901476383,18,315387377
sobol,optimNM,Rastrigin,50,0,1272.606435732861,0.2217797189950943,2400,647279673
sobol,SPSA,Rastrigin,50,1,1485.68410458732,0.2173406749498099,4800,1677437249
sobol,SPSA,Rastrigin,50,2,1472.5501683158884,0.19481656211428344,4800,315387377
sobol,PSO,Rastrigin,50,1,1537.6642980337192,0.2511188869830221,300,1677437249
sobol,SPSA,Rastrigin,50,0,1557.9806981572206,0.3171127331443131,4800,647279673
sobol,optimNM,Rastrigin,50,2,1232.8626290498512,0.24366678996011615,2400,315387377
sobol,optimNM,Rastrigin,50,1,1108.29590349204,0.28105032886378467,2400,1677437249
sobol,GD,Rastrigin,50,1,1455.9890316440506,0.34600918903015554,312,1677437249
sobol,PSO,Rastrigin,50,2,1503.37856862956,0.1899059060961008,300,315387377
sobol,PSO,Rastrigin,50,0,1514.807145097613,0.4594263799954206,300,647279673
sobol,GA,Rastrigin,50,1,1683.6868754828845,0.7144853309728205,300,1677437249
sobol,GD,Rastrigin,50,2,1458.3747897034523,0.8250195269938558,791,315387377
sobol,GA,Rastrigin,50,2,1697.833410787606,0.6353348467964679,300,315387377
sobol,GD,Rastrigin,50,3,1469.9301931274404,0.5078512991312891,394,991992466
sobol,SPSA,Rastrigin,50,3,1425.2863419847483,0.18490651086904109,4800,991992466
sobol,optimLBFGS,Rastrigin,50,3,1466.4499606792904,0.08142762118950486,24,991992466
sobol,GA,Rastrigin,50,0,1677.575678451047,1.1080577638931572,300,647279673
sobol,GD,Rastrigin,50,0,1450.3529333817648,1.4488190179690719,1037,647279673
sobol,optimNM,Rastrigin,50,3,1235.860003247738,0.39756155596114695,2400,991992466
sobol,SignGD,Rastrigin,50,0,1483.2172551359859,1.671471392037347,1806,647279673
sobol,SignGD,Rastrigin,50,3,1463.5242852028625,1.2088444198016077,1307,991992466
sobol,SignGD,Rastrigin,50,1,1417.7463325231286,2.3709076170343906,1806,1677437249
sobol,PSO,Rastrigin,50,3,1491.949992161507,0.6848801930900663,300,991992466
sobol,GA,Rastrigin,50,3,1669.653405920478,1.2123472730163485,300,991992466
sobol,GenSA,Rastrigin,50,1,2017.6645096919437,3.206368785118684,300,1677437249
sobol,GenSA,Rastrigin,50,0,2017.6645096919306,3.421387766022235,300,647279673
sobol,GenSA,Rastrigin,50,2,2017.6645096919467,3.516897815046832,300,315387377
sobol,ADAM,Rastrigin,50,3,1476.1743084983286,3.089581148000434,3906,991992466
sobol,ADAM,Rastrigin,50,1,1419.2561853080097,3.967422769870609,3906,1677437249
sobol,SMCO_BR,Rastrigin,50,0,1698.511636069151,4.094281277153641,83,647279673
sobol,GD,Rastrigin,50,4,1456.9518442835558,0.16054898290894926,254,659688733
sobol,SignGD,Rastrigin,50,2,1553.0687091883328,4.18396193603985,2305,315387377
sobol,SMCO_BR,Rastrigin,50,2,1741.952985476664,4.217850362183526,83,315387377
sobol,SPSA,Rastrigin,50,4,1548.5921322504844,0.15606946195475757,4800,659688733
sobol,optimLBFGS,Rastrigin,50,4,1446.2356862892948,0.1582647617906332,21,659688733
sobol,SMCO_BR_EVO,Rastrigin,50,3,1706.0155028976392,3.9629345419816673,158,991992466
sobol,optimNM,Rastrigin,50,4,1267.596416039447,0.1748732039704919,2400,659688733
sobol,SMCO,Rastrigin,50,0,1710.4483425916098,4.533411232056096,308,647279673
sobol,SMCO_EVO,Rastrigin,50,0,1716.1414286600975,4.71617544000037,308,647279673
sobol,GenSA,Rastrigin,50,3,2017.6645096914785,3.597471156157553,300,991992466
sobol,SMCO_R,Rastrigin,50,2,1758.2341727423504,4.929270789027214,158,315387377
sobol,PSO,Rastrigin,50,4,1480.521415693454,0.282499031862244,300,659688733
sobol,SMCO_BR_EVO,Rastrigin,50,0,1714.5005192674912,5.105014701839536,158,647279673
sobol,SMCO_R,Rastrigin,50,0,1724.070936647647,5.342382032889873,158,647279673
sobol,ADAM,Rastrigin,50,0,1484.8477811397509,5.37515824707225,3892,647279673
sobol,SignGD,Rastrigin,50,4,1523.7204637604646,1.4938783959951252,2305,659688733
sobol,SMCO_R_EVO,Rastrigin,50,2,1760.247673005181,5.487655841046944,308,315387377
sobol,GD,Rastrigin,50,5,1455.4199194259968,0.12986648688092828,196,1940103363
sobol,SMCO_EVO,Rastrigin,50,3,1706.3708420283635,5.336136598140001,308,991992466
sobol,SMCO_R_EVO,Rastrigin,50,3,1703.9754425966555,5.2809587880037725,308,991992466
sobol,optimLBFGS,Rastrigin,50,5,1446.2356862892948,0.07403870183043182,14,1940103363
sobol,SMCO_R,Rastrigin,50,3,1728.083625982933,5.45340230804868,158,991992466
sobol,SMCO_EVO,Rastrigin,50,1,1670.2695678795674,5.808369999984279,308,1677437249
sobol,optimNM,Rastrigin,50,5,1247.2560601580283,0.29276810004375875,2400,1940103363
sobol,SPSA,Rastrigin,50,5,1446.2356862892948,0.4191450399812311,4800,1940103363
sobol,ADAM,Rastrigin,50,2,1554.5724449134564,6.0984928698744625,3904,315387377
sobol,GA,Rastrigin,50,4,1606.1570709247283,1.663968101143837,300,659688733
sobol,SMCO_R,Rastrigin,50,1,1671.7895576613657,6.243603555019945,158,1677437249
sobol,SMCO_EVO,Rastrigin,50,2,1750.399305988613,6.344148877076805,308,315387377
sobol,SMCO,Rastrigin,50,2,1756.4787231342423,6.368532669963315,308,315387377
sobol,SMCO,Rastrigin,50,3,1708.4395946363793,6.4554713340476155,308,991992466
sobol,PSO,Rastrigin,50,5,1514.807145097613,0.5919639610219747,300,1940103363
sobol,SMCO,Rastrigin,50,1,1670.220417774559,6.759444402065128,308,1677437249
sobol,SMCO_R_EVO,Rastrigin,50,1,1653.7179004112688,6.9049758340697736,308,1677437249
sobol,SMCO_R_EVO,Rastrigin,50,0,1718.03569808556,7.027830611914396,308,647279673
sobol,SMCO_BR,Rastrigin,50,3,1722.6604147190935,6.75334657705389,83,991992466
sobol,SMCO_BR_EVO,Rastrigin,50,1,1673.5191312223683,7.221757879015058,158,1677437249
sobol,GA,Rastrigin,50,5,1658.079736961615,1.1497310230042785,300,1940103363
sobol,optimLBFGS,Rastrigin,50,6,1446.2356862892948,0.07404029509052634,18,814411795
sobol,GD,Rastrigin,50,6,1460.9560691074855,0.4960208060219884,340,814411795
sobol,SMCO_BR,Rastrigin,50,1,1656.147236923354,7.456246786052361,83,1677437249
sobol,optimNM,Rastrigin,50,6,1211.8932438441254,0.17050194693729281,2400,814411795
sobol,SPSA,Rastrigin,50,6,1439.4063453962367,0.4612975341733545,4800,814411795
sobol,SMCO,Rastrigin,50,4,1748.4131442466385,5.32373730908148,308,659688733
sobol,SMCO_BR_EVO,Rastrigin,50,2,1759.9369482817276,7.855786091182381,158,315387377
sobol,GenSA,Rastrigin,50,4,2017.6645096918473,3.7766231019049883,300,659688733
sobol,ADAM,Rastrigin,50,4,1525.7967653868832,4.153007690096274,3896,659688733
sobol,PSO,Rastrigin,50,6,1503.37856862956,0.33957461081445217,300,814411795
sobol,GA,Rastrigin,50,6,1712.143100442983,0.8795444478746504,300,814411795
sobol,SignGD,Rastrigin,50,5,1463.049194278186,3.0728763060178608,2305,1940103363
sobol,ADAM,Rastrigin,50,5,1470.8887322662126,3.120272905100137,3896,1940103363
sobol,GenSA,Rastrigin,50,5,2017.6645096837512,3.2511823379900306,300,1940103363
sobol,SMCO_R,Rastrigin,50,4,1740.1380041040532,6.4588984828442335,158,659688733
sobol,SMCO_BR,Rastrigin,50,4,1759.8155231797325,6.556876495014876,83,659688733
sobol,GD,Rastrigin,50,7,1460.6878681963515,0.3720009729731828,260,1838791539
sobol,SMCO_R,Rastrigin,50,5,1681.8535191579977,4.570717382011935,158,1940103363
sobol,optimLBFGS,Rastrigin,50,7,1469.0928392207425,0.0682638380676508,17,1838791539
sobol,SPSA,Rastrigin,50,7,1431.6568033955643,0.29074465902522206,4800,1838791539
