strategy,algo,func,dim,rep,fopt,time,iterations,seed,shard
rand1bin,SPSA,Rastrigin,200,0,-2563.0075099405494,0.456570416688919,6251,647279673,213
rand1bin,PSO,Rastrigin,200,0,-2110.484125690013,0.4552365951240062,300,647279673,213
rand1bin,PSO,Rastrigin,200,1,-2349.5930878052186,0.4637446254491806,300,1677437249,213
rand1bin,SPSA,Rastrigin,200,1,-2591.8397724017545,0.5759603045880795,6844,1677437249,213
rand1bin,GA,Rastrigin,200,1,-1795.439758803569,1.2125989571213722,300,1677437249,213
rand1bin,optimNM,Rastrigin,200,0,-3344.639468472361,1.246518949046731,4500,647279673,213
rand1bin,GA,Rastrigin,200,0,-1874.2642690282407,1.2529279626905918,300,647279673,213
rand1bin,optimNM,Rastrigin,200,1,-3387.6401658173017,1.570539951324463,4500,1677437249,213
rand1bin,SPSA,Rastrigin,200,2,-2712.857614705468,0.4759110249578953,5624,869192137,213
rand1bin,optimLBFGS,Rastrigin,200,1,-1221.803231940503,2.765079854056239,229,1677437249,213
rand1bin,optimLBFGS,Rastrigin,200,0,-1326.273085183746,2.978651637211442,237,647279673,213
rand1bin,optimNM,Rastrigin,200,2,-3378.649502729375,1.3084138799458742,4500,869192137,213
rand1bin,optimLBFGS,Rastrigin,200,2,-1187.974308182025,3.57736280746758,242,869192137,213
rand1bin,SignGD,Rastrigin,200,2,-1606.475106459799,11.376646833494306,2513,869192137,213
rand1bin,SignGD,Rastrigin,200,0,-1719.324189731857,14.66656127758324,2513,647279673,213
rand1bin,GA,Rastrigin,200,2,-1904.188785252789,1.213608892634511,300,869192137,213
rand1bin,PSO,Rastrigin,200,2,-2007.4440615203064,0.4505402483046055,300,869192137,213
rand1bin,SignGD,Rastrigin,200,1,-1632.2675956738728,16.889044631272554,2513,1677437249,213
rand1bin,GD,Rastrigin,200,1,-2534.1449996814035,21.987936506047845,4599,1677437249,213
rand1bin,GD,Rastrigin,200,2,-2561.013591122185,21.12615025602281,4621,869192137,213
rand1bin,GenSA,Rastrigin,200,0,-1.9899181141920508,25.6824517454952,300,647279673,213
rand1bin,GenSA,Rastrigin,200,1,-1.9899181141925053,26.155963383615017,300,1677437249,213
rand1bin,GD,Rastrigin,200,0,-2372.9633198907622,28.95895780995488,5005,647279673,213
rand1bin,GenSA,Rastrigin,200,2,-4.974795285472737,25.289990421384573,300,869192137,213
rand1bin,SMCO_BR,Rastrigin,200,0,-389.4632071454071,35.74837376922369,90,647279673,213
rand1bin,SMCO,Rastrigin,200,1,-399.988901507136,36.46566173993051,315,1677437249,213
rand1bin,SPSA,Rastrigin,200,3,-2682.509104653236,0.2880561556667089,5568,949772676,213
rand1bin,SMCO_EVO,Rastrigin,200,2,-380.7037906772348,37.70477249100804,315,869192137,213
rand1bin,optimLBFGS,Rastrigin,200,3,-1215.833495961103,2.2452763225883245,238,949772676,213
rand1bin,SMCO_R_EVO,Rastrigin,200,1,-397.35519498102303,39.344062773510814,315,1677437249,213
rand1bin,optimNM,Rastrigin,200,3,-3436.4706295261576,1.1288450714200735,4500,949772676,213
rand1bin,ADAM,Rastrigin,200,0,-1649.631883032912,40.21820035390556,7697,647279673,213
rand1bin,SMCO_BR,Rastrigin,200,1,-403.5942404105658,41.25277344696224,90,1677437249,213
rand1bin,SMCO,Rastrigin,200,0,-393.6966298909674,41.346519716084,315,647279673,213
rand1bin,PSO,Rastrigin,200,3,-2167.0629650015,0.3904894534498453,300,949772676,213
rand1bin,GA,Rastrigin,200,3,-1819.9133767362323,0.7972339186817408,300,949772676,213
rand1bin,ADAM,Rastrigin,200,1,-1564.066438474212,42.60116279870272,7695,1677437249,213
rand1bin,SMCO_BR_EVO,Rastrigin,200,2,-378.09369601043295,42.20504733920097,165,869192137,213
rand1bin,SMCO_R,Rastrigin,200,0,-388.30744654430464,43.8198167681694,165,647279673,213
rand1bin,SMCO_R,Rastrigin,200,1,-392.5306444470421,43.88698260858655,165,1677437249,213
rand1bin,SignGD,Rastrigin,200,3,-1500.2453555101538,14.533576503396034,2513,949772676,213
rand1bin,SMCO_BR_EVO,Rastrigin,200,0,-382.2101375945531,45.00576640293002,165,647279673,213
rand1bin,SMCO_R_EVO,Rastrigin,200,2,-377.4754184968142,44.75496555119753,315,869192137,213
rand1bin,SMCO_EVO,Rastrigin,200,1,-402.84242897016975,45.91901239939034,315,1677437249,213
