table,direction,function,algo,paper_rmse,rerun_rmse,rmse_ratio,paper_ae99,rerun_ae99,ae99_ratio,paper_time,rerun_time,time_ratio,rerun_best_opt,n_replications
table2,min,Rastrigin,SMCO,285.0,319.2047009436424,1.1200164945390962,375.0,347.3810961496697,0.9263495897324525,34.9,28.311152218899224,0.8112077999684592,3.410605131648481e-12,10
table2,min,Rastrigin,SMCO_R,262.0,319.25759626749806,1.2185404437690766,308.0,350.9840155393988,1.139558492011035,33.4,28.350183208205273,0.8488078804851878,3.410605131648481e-12,10
table2,min,Rastrigin,SMCO_BR,272.0,319.6148245060914,1.1750545018606302,324.0,353.89134425971866,1.0922572353695021,32.6,56.97330996511155,1.7476475449420719,3.410605131648481e-12,10
table2,min,Rastrigin,GenSA,1718.0,7.050783985801647e-12,4.104065183819352e-15,2011.0,1.3915268937125803e-11,6.91957679618389e-15,268.3,13.54186851089471,0.05047286064440816,3.410605131648481e-12,10
table2,min,Rastrigin,SA,3947.0,1731.934677907161,0.43879773952550316,4338.0,1937.212270516612,0.44656806604808946,0.2,583.3518957253021,2916.7594786265104,3.410605131648481e-12,10
table2,min,Rastrigin,DEoptim,3813.0,2004.932775879271,0.5258150474375219,3968.0,2053.434362490655,0.5174985792567175,31.5,149.7534855434904,4.754078906142552,3.410605131648481e-12,10
table2,min,Rastrigin,GA,2496.0,2773.5146174494334,1.1111837409653178,2623.0,2911.6883637295196,1.1100603750398472,0.5,0.8992815166944638,1.7985630333889275,3.410605131648481e-12,10
table2,min,Rastrigin,PSO,590.0,1873.4695402130417,3.175372102056003,812.0,2019.8348448631705,2.487481336038387,4.9,0.280776698992122,0.05730136714124938,3.410605131648481e-12,10
table2,min,Ackley,SMCO,0.101,0.19862039123200595,1.9665385270495637,0.106,0.20440214572226537,1.9283221294553337,31.9,44.47304118330358,1.3941392220471343,1.8960168990389548e-08,10
table2,min,Ackley,SMCO_R,0.009,0.06449471920496559,7.166079911662844,0.014,0.06628580320445206,4.734700228889433,32.3,42.20278174070408,1.3065876699908385,1.8960168990389548e-08,10
table2,min,Ackley,SMCO_BR,0.01,0.06481770108428743,6.4817701084287425,0.015,0.06650106430565096,4.433404287043397,32.6,89.97235233680695,2.7598881084910105,1.8960168990389548e-08,10
