strategy,algo,func,dim,rep,fopt,time,iterations,seed,source
rand1bin,SMCO,Rastrigin,1000,0,29117.5612892496,445.798,332,1021,215early
rand1bin,SMCO_R,Rastrigin,1000,0,29146.0305351411,443.655,182,1021,215early
rand1bin,SMCO_BR,Rastrigin,1000,0,29134.1677139844,456.197,107,1021,215early
rand1bin,SMCO_EVO,Rastrigin,1000,0,50685.4989615215,624.601,139,1021,215early
rand1bin,DEoptim,Rastrigin,1000,0,21130.4199187573,0.247000000000071,300,1021,215early
rand1bin,GA,Rastrigin,1000,0,20623.4251422423,1.87199999999984,300,1021,215early
rand1bin,PSO,Rastrigin,1000,0,28869.5377794409,2.22400000000016,300,1021,215early
rand1bin,GenSA,Rastrigin,1000,0,40331.0777919754,11251.716,1837045,1021,215early
rand1bin,SA,Rastrigin,1000,0,28953.7137100859,8.46499999999833,300,1021,215early
rand1bin,SMCO,Rastrigin,1000,1,29115.7755618372,445.478,332,1001024,215early
rand1bin,SMCO_R,Rastrigin,1000,1,29144.0585677831,444.687,182,1001024,215early
rand1bin,SMCO_BR,Rastrigin,1000,1,29128.589072953,455.885,107,1001024,215early
rand1bin,SMCO_EVO,Rastrigin,1000,1,53705.2428536839,625.661,139,1001024,215early
rand1bin,DEoptim,Rastrigin,1000,1,21171.4842671201,0.239000000000033,300,1001024,215early
rand1bin,GA,Rastrigin,1000,1,19823.7817033688,1.76800000000003,300,1001024,215early
rand1bin,PSO,Rastrigin,1000,1,28800.4829023081,2.35500000000002,300,1001024,215early
rand1bin,GenSA,Rastrigin,1000,1,40332.7908475867,12067.612,1853313,1001024,215early
rand1bin,SA,Rastrigin,1000,1,28938.8974379872,8.51400000000103,300,1001024,215early
rand1bin,SMCO,Rastrigin,1000,2,29070.14630726,442.657,332,2001027,215early
rand1bin,SMCO_R,Rastrigin,1000,2,29097.8480771434,443.16,182,2001027,215early
rand1bin,SMCO_BR,Rastrigin,1000,2,29084.1474903266,459.414,107,2001027,215early
rand1bin,SMCO_EVO,Rastrigin,1000,2,48857.6983863758,625.749,139,2001027,215early
rand1bin,DEoptim,Rastrigin,1000,2,20960.8155326193,0.245000000000118,300,2001027,215early
rand1bin,GA,Rastrigin,1000,2,21258.9764081379,1.86799999999994,300,2001027,215early
rand1bin,PSO,Rastrigin,1000,2,29278.7909238499,2.28700000000003,300,2001027,215early
rand1bin,GenSA,Rastrigin,1000,2,40330.971510041,11662.238,1850357,2001027,215early
rand1bin,SA,Rastrigin,1000,2,28936.1423022539,8.05999999999949,300,2001027,215early
rand1bin,SMCO,Rastrigin,1000,3,29214.6378532902,444.866,332,3001030,215early
rand1bin,SMCO_R,Rastrigin,1000,3,29242.5252127266,443.041,182,3001030,215early
rand1bin,SMCO_BR,Rastrigin,1000,3,29229.4304298329,456.189,107,3001030,215early
rand1bin,SMCO_EVO,Rastrigin,1000,3,49324.6272996611,624.417,139,3001030,215early
rand1bin,DEoptim,Rastrigin,1000,3,21122.4525365882,0.243999999999915,300,3001030,215early
rand1bin,GA,Rastrigin,1000,3,20737.6898756932,1.7510000000002,300,3001030,215early
rand1bin,PSO,Rastrigin,1000,3,28885.754028049,2.23199999999997,300,3001030,215early
rand1bin,GenSA,Rastrigin,1000,3,40333.4140936696,12909.709,1855435,3001030,215early
rand1bin,SA,Rastrigin,1000,3,28936.1423022539,8.12800000000061,300,3001030,215early
rand1bin,SMCO,Rastrigin,1000,4,29226.5144618697,443.431,332,4001033,215early
rand1bin,SMCO_R,Rastrigin,1000,4,29254.5852917854,444.366,182,4001033,215early
rand1bin,SMCO_BR,Rastrigin,1000,4,29240.7924904332,455.912,107,4001033,215early
rand1bin,SMCO_EVO,Rastrigin,1000,4,50326.7390405824,626.631,139,4001033,215early
rand1bin,DEoptim,Rastrigin,1000,4,21213.913655951,0.240000000000009,300,4001033,215early
rand1bin,GA,Rastrigin,1000,4,20584.2572260985,1.96199999999999,300,4001033,215early
rand1bin,PSO,Rastrigin,1000,4,29064.9748161339,2.29700000000003,300,4001033,215early
rand1bin,GenSA,Rastrigin,1000,4,40329.9748963283,13014.265,1866282,4001033,215early
rand1bin,SA,Rastrigin,1000,4,28947.570878722,8.21800000000076,300,4001033,215early
rand1bin,SMCO,Ackley,1000,0,21.3555679090528,560.946,332,1021,215early
rand1bin,SMCO_R,Ackley,1000,0,21.9485480658071,494.642,182,1021,215early
rand1bin,SMCO_BR,Ackley,1000,0,21.9419445578196,493.99,107,1021,215early
rand1bin,SMCO_EVO,Ackley,1000,0,22.0964794936436,706.86,139,1021,215early
rand1bin,DEoptim,Ackley,1000,0,21.5057952845425,0.263999999999669,300,1021,215early
rand1bin,GA,Ackley,1000,0,21.4817283806654,1.95500000000038,300,1021,215early
rand1bin,PSO,Ackley,1000,0,21.7505035600717,2.50699999999961,300,1021,215early
rand1bin,GenSA,Ackley,1000,0,21.9875291606618,5384.227,1075435,1021,215early
rand1bin,SA,Ackley,1000,0,21.9467131578873,32.5050000000001,300,1021,215early
rand1bin,SMCO,Ackley,1000,1,21.3510850254223,559.636,332,1001024,215early
rand1bin,SMCO_R,Ackley,1000,1,21.9426695963062,495.108,182,1001024,215early
rand1bin,SMCO_BR,Ackley,1000,1,21.9349669211532,494.034,107,1001024,215early
rand1bin,SMCO_EVO,Ackley,1000,1,22.1094633016189,705.905,139,1001024,215early
rand1bin,DEoptim,Ackley,1000,1,21.4866076234177,0.286999999999807,300,1001024,215early
rand1bin,GA,Ackley,1000,1,21.4560426345141,2.02100000000019,300,1001024,215early
rand1bin,PSO,Ackley,1000,1,21.7825851505561,2.57299999999987,300,1001024,215early
rand1bin,GenSA,Ackley,1000,1,22.0035739603547,5475.003,1102450,1001024,215early
rand1bin,SA,Ackley,1000,1,21.9396218211653,31.8709999999992,300,1001024,215early
rand1bin,SMCO,Ackley,1000,2,21.3704969193284,560.054,332,2001027,215early
rand1bin,SMCO_R,Ackley,1000,2,21.9379430209979,495.359,182,2001027,215early
rand1bin,SMCO_BR,Ackley,1000,2,21.930145898631,496.944,107,2001027,215early
rand1bin,SMCO_EVO,Ackley,1000,2,22.1233156885501,705.638,139,2001027,215early
rand1bin,DEoptim,Ackley,1000,2,21.5215814709507,0.255000000000109,300,2001027,215early
