strategy,algo,func,dim,rep,fopt,time,iterations,seed
rand1bin,SMCO,Rastrigin,3000,0,85824.303345843,6060.978,355,3021
rand1bin,SMCO_R,Rastrigin,3000,0,85871.534114763,6065.186,205,3021
rand1bin,SMCO_BR,Rastrigin,3000,0,85846.1175916,6405.202,130,3021
rand1bin,SMCO_EVO,Rastrigin,3000,0,144497.054365882,8591.583,185,3021
rand1bin,DEoptim,Rastrigin,3000,0,58840.873155567,0.704999999998108,300,3021
rand1bin,GA,Rastrigin,3000,0,58498.2928077257,5.16500000000087,300,3021
rand1bin,PSO,Rastrigin,3000,0,85284.7732234124,5.59900000000198,300,3021
rand1bin,GenSA,Rastrigin,3000,0,120996.102918279,565695.848,8645940,3021
rand1bin,SA,Rastrigin,3000,0,86787.1718110477,109.229999999981,300,3021
rand1bin,SMCO,Rastrigin,3000,1,85749.3907601919,6053.619,355,1003024
rand1bin,SMCO_R,Rastrigin,3000,1,85808.5115530212,6059.672,205,1003024
rand1bin,SMCO_BR,Rastrigin,3000,1,85769.8384451059,6399.929,130,1003024
rand1bin,SMCO_EVO,Rastrigin,3000,1,139446.131071118,8583.727,185,1003024
rand1bin,DEoptim,Rastrigin,3000,1,58900.0096959305,0.697000000000116,300,1003024
rand1bin,GA,Rastrigin,3000,1,58625.9638836906,5.15499999999884,300,1003024
rand1bin,PSO,Rastrigin,3000,1,86169.7857030817,5.54699999999866,300,1003024
rand1bin,GenSA,Rastrigin,3000,1,120991.128561517,562223.376,8516129,1003024
rand1bin,SA,Rastrigin,3000,1,86822.0900467261,111.985000000102,300,1003024
rand1bin,SMCO,Ackley,3000,0,21.5385804331826,7025.034,355,3021
rand1bin,SMCO_R,Ackley,3000,0,21.56470301324,7067.023,205,3021
rand1bin,SMCO_BR,Ackley,3000,0,21.913781012255,6856.955,130,3021
rand1bin,SMCO_EVO,Ackley,3000,0,22.09969487105,9930.095,185,3021
rand1bin,DEoptim,Ackley,3000,0,21.3716080457947,0.68999999999869,300,3021
rand1bin,GA,Ackley,3000,0,21.3725630741493,5.28000000000247,300,3021
rand1bin,PSO,Ackley,3000,0,21.7543991956603,5.85499999999956,300,3021
rand1bin,GenSA,Ackley,3000,0,21.5577547081904,88671.805,2915513,3021
rand1bin,SA,Ackley,3000,0,21.9248494917857,414.171000000002,300,3021
rand1bin,SMCO,Ackley,3000,1,21.5282376934726,7020.563,355,1003024
rand1bin,SMCO_R,Ackley,3000,1,21.5600843919054,7071.354,205,1003024
rand1bin,SMCO_BR,Ackley,3000,1,21.9049766646253,6858.698,130,1003024
rand1bin,SMCO_EVO,Ackley,3000,1,22.0982007584278,9933.114,185,1003024
