strategy,algo,func,dim,rep,fopt,time,iterations,seed
rand1bin,SMCO,Ackley,1000,0,-0.378270938625694,409.867,332,1021
rand1bin,SMCO,Ackley,1000,1,-0.379020751772867,411.164,332,1001024
rand1bin,SMCO,Ackley,1000,2,-0.37404495406847,413.646,332,2001027
rand1bin,SMCO,Ackley,1000,4,-0.378922870320232,415.67,332,4001033
rand1bin,SMCO,Ackley,1000,3,-0.375654183674865,416.028,332,3001030
rand1bin,SMCO,Rastrigin,1000,3,-8138.46641083363,452.83,332,3001030
rand1bin,SMCO,Rastrigin,1000,1,-8192.83978950082,452.846,332,1001024
rand1bin,SMCO,Rastrigin,1000,2,-8275.01181861134,453.42,332,2001027
rand1bin,SMCO,Rastrigin,1000,4,-8242.85103608616,454.377,332,4001033
rand1bin,SMCO,Rastrigin,1000,0,-8261.58935143888,454.594,332,1021
rand1bin,SMCO_R,Ackley,1000,0,-0.0744089239323888,408.243,182,1021
rand1bin,SMCO_R,Ackley,1000,1,-0.0735982163683748,409.117,182,1001024
rand1bin,SMCO_R,Ackley,1000,2,-0.0737603106649485,410.824,182,2001027
rand1bin,SMCO_R,Ackley,1000,4,-0.0729880710108124,414.764,182,4001033
rand1bin,SMCO_R,Ackley,1000,3,-0.0730336393398408,414.737,182,3001030
rand1bin,SMCO_R,Rastrigin,1000,1,-8169.51478669465,450.735,182,1001024
rand1bin,SMCO_R,Rastrigin,1000,3,-8112.81562052779,451.478,182,3001030
rand1bin,SMCO_R,Rastrigin,1000,2,-8249.22770528868,450.997,182,2001027
rand1bin,SMCO_R,Rastrigin,1000,4,-8220.51124768373,453.389,182,4001033
rand1bin,SMCO_R,Rastrigin,1000,0,-8237.4880127511,453.62,182,1021
rand1bin,SMCO_BR,Ackley,1000,0,-0.0812140023329957,487.997,107,1021
rand1bin,SMCO_BR,Ackley,1000,1,-0.0801500407440483,488.682,107,1001024
rand1bin,SMCO_BR,Ackley,1000,2,-0.0803170809704494,490.306,107,2001027
rand1bin,SMCO_BR,Ackley,1000,4,-0.0813402704639334,491.883,107,4001033
rand1bin,SMCO_BR,Ackley,1000,3,-0.0805490908263704,493.26,107,3001030
rand1bin,SMCO_BR,Rastrigin,1000,1,-8195.42981154613,454.133,107,1001024
rand1bin,SMCO_BR,Rastrigin,1000,2,-8282.15753845962,454.423,107,2001027
rand1bin,SMCO_BR,Rastrigin,1000,3,-8147.39064288873,454.569,107,3001030
rand1bin,SMCO_BR,Rastrigin,1000,0,-8268.06895667029,456.242,107,1021
rand1bin,SMCO_BR,Rastrigin,1000,4,-8254.11221477518,459.979,107,4001033
