strategy,algo,func,dim,rep,fopt,time,iterations,seed
rand1bin,SA,Rastrigin,3000,1,-20573.6446489697,578.584,300,1003024
rand1bin,SA,Rastrigin,3000,0,-22777.4588250561,602.409,300,3021
rand1bin,SA,Ackley,3000,0,-19.5187575486667,1634.253,300,3021
rand1bin,SA,Ackley,3000,1,-19.5313156983896,1650.436,300,1003024
rand1bin,SA,Rastrigin,5000,0,-37936.5650621417,2038.032,300,5021
rand1bin,SA,Rastrigin,5000,1,-37703.7454342611,2071.352,300,1005024
rand1bin,SA,Rosenbrock,3000,1,-1.27860931155597e-06,8327.925,300,1003024
rand1bin,SA,Rosenbrock,3000,0,-1.21222662662895e-06,8329.431,300,3021
rand1bin,SA,Ackley,5000,1,-19.542012613519,8684.279,300,1005024
rand1bin,SA,Ackley,5000,0,-19.5304878784332,8721.192,300,5021
rand1bin,SA,Rosenbrock,5000,1,-1.28227755500702e-05,25267.5,300,1005024
rand1bin,SA,Rosenbrock,5000,0,-2.12516685265529e-06,25632.811,300,5021
