function,dim,variant,rep,seed,best_value,iterations,wall_time_sec,gap_to_known
SquaredNorm,2,smco,0,20260527,2.0,310,0.09874673100421205,0.0
SquaredNorm,2,smco_evo,0,20260527,2.0,310,0.08996272704098374,0.0
SquaredNorm,2,smco,1,20260528,2.0,310,0.08843084599357098,0.0
SquaredNorm,2,smco_evo,1,20260528,2.0,310,0.0883750049979426,0.0
SquaredNorm,2,smco,2,20260529,2.0,310,0.08747870597289875,0.0
SquaredNorm,2,smco_evo,2,20260529,2.0,310,0.09096010896610096,0.0
SquaredNorm,2,smco,3,20260530,2.0,310,0.09416404902003706,0.0
SquaredNorm,2,smco_evo,3,20260530,2.0,310,0.08984684501774609,0.0
SquaredNorm,2,smco,4,20260531,2.0,310,0.08768840302946046,0.0
SquaredNorm,2,smco_evo,4,20260531,2.0,310,0.08955576299922541,0.0
SquaredNorm,2,smco,5,20260532,2.0,310,0.08684888196876273,0.0
SquaredNorm,2,smco_evo,5,20260532,2.0,310,0.09007191599812359,0.0
SquaredNorm,2,smco,6,20260533,2.0,310,0.087017219979316,0.0
SquaredNorm,2,smco_evo,6,20260533,2.0,310,0.09015258098952472,0.0
SquaredNorm,2,smco,7,20260534,2.0,310,0.0875935890362598,0.0
SquaredNorm,2,smco_evo,7,20260534,2.0,310,0.08927181299077347,0.0
SquaredNorm,2,smco,8,20260535,2.0,310,0.0864474109839648,0.0
SquaredNorm,2,smco_evo,8,20260535,2.0,310,0.08857594698201865,0.0
SquaredNorm,2,smco,9,20260536,2.0,310,0.08688720903592184,0.0
SquaredNorm,2,smco_evo,9,20260536,2.0,310,0.08915329101728275,0.0
SquaredNorm,2,smco,10,20260537,2.0,310,0.08825129899196327,0.0
SquaredNorm,2,smco_evo,10,20260537,2.0,310,0.08894963102648035,0.0
SquaredNorm,2,smco,11,20260538,2.0,310,0.08776356599992141,0.0
SquaredNorm,2,smco_evo,11,20260538,2.0,310,0.08921193797141314,0.0
SquaredNorm,2,smco,12,20260539,2.0,310,0.09028726001270115,0.0
SquaredNorm,2,smco_evo,12,20260539,2.0,310,0.09315676300320774,0.0
SquaredNorm,2,smco,13,20260540,2.0,310,0.10409396595787257,0.0
SquaredNorm,2,smco_evo,13,20260540,2.0,310,0.09974576300010085,0.0
SquaredNorm,2,smco,14,20260541,2.0,310,0.10052321600960568,0.0
SquaredNorm,2,smco_evo,14,20260541,2.0,310,0.08989370102062821,0.0
SquaredNorm,2,smco,15,20260542,2.0,310,0.09840938699198887,0.0
SquaredNorm,2,smco_evo,15,20260542,2.0,310,0.09372655104380101,0.0
SquaredNorm,2,smco,16,20260543,2.0,310,0.09870768303517252,0.0
SquaredNorm,2,smco_evo,16,20260543,2.0,310,0.08878424495924264,0.0
SquaredNorm,2,smco,17,20260544,2.0,310,0.1084440280101262,0.0
SquaredNorm,2,smco_evo,17,20260544,2.0,310,0.09000533202197403,0.0
SquaredNorm,2,smco,18,20260545,2.0,310,0.08732261299155653,0.0
SquaredNorm,2,smco_evo,18,20260545,2.0,310,0.11179591598920524,0.0
SquaredNorm,2,smco,19,20260546,2.0,310,0.12305103801190853,0.0
SquaredNorm,2,smco_evo,19,20260546,2.0,310,0.11027933104196563,0.0
NegativeSquaredNorm,2,smco,0,20261527,-1.4146863118158767e-06,310,0.12359984300564975,1.4146863118158767e-06
NegativeSquaredNorm,2,smco_evo,0,20261527,-5.474302380322868e-07,310,0.08995601296192035,5.474302380322868e-07
NegativeSquaredNorm,2,smco,1,20261528,-7.730183995659141e-07,310,0.08865439100190997,7.730183995659141e-07
NegativeSquaredNorm,2,smco_evo,1,20261528,-7.730183995659141e-07,310,0.12477211601799354,7.730183995659141e-07
NegativeSquaredNorm,2,smco,2,20261529,-7.302689003430505e-07,310,0.08785592898493633,7.302689003430505e-07
NegativeSquaredNorm,2,smco_evo,2,20261529,-3.1718378808072384e-07,310,0.08996644499711692,3.1718378808072384e-07
NegativeSquaredNorm,2,smco,3,20261530,-9.923903029177353e-08,310,0.08835882495623082,9.923903029177353e-08
NegativeSquaredNorm,2,smco_evo,3,20261530,-9.923903029177353e-08,310,0.08995888399658725,9.923903029177353e-08
NegativeSquaredNorm,2,smco,4,20261531,-8.543394498314156e-07,310,0.08819135301746428,8.543394498314156e-07
NegativeSquaredNorm,2,smco_evo,4,20261531,-8.543394498314156e-07,310,0.09014654596103355,8.543394498314156e-07
NegativeSquaredNorm,2,smco,5,20261532,-9.832242324460854e-07,310,0.08885016699787229,9.832242324460854e-07
NegativeSquaredNorm,2,smco_evo,5,20261532,-1.568085113698555e-08,310,0.0902320240275003,1.568085113698555e-08
NegativeSquaredNorm,2,smco,6,20261533,-7.372770313440989e-07,310,0.09156949701718986,7.372770313440989e-07
NegativeSquaredNorm,2,smco_evo,6,20261533,-4.405275970797632e-08,310,0.09035031101666391,4.405275970797632e-08
NegativeSquaredNorm,2,smco,7,20261534,-1.104293350916507e-07,310,0.08921865199226886,1.104293350916507e-07
NegativeSquaredNorm,2,smco_evo,7,20261534,-1.104293350916507e-07,310,0.09039639204274863,1.104293350916507e-07
NegativeSquaredNorm,2,smco,8,20261535,-6.318595861915178e-07,310,0.08878453000215814,6.318595861915178e-07
NegativeSquaredNorm,2,smco_evo,8,20261535,-4.865583030821575e-08,310,0.08997614297550172,4.865583030821575e-08
NegativeSquaredNorm,2,smco,9,20261536,-1.1379495890757456e-06,310,0.10629837302258238,1.1379495890757456e-06
NegativeSquaredNorm,2,smco_evo,9,20261536,-1.1379495890757456e-06,310,0.09299181599635631,1.1379495890757456e-06
NegativeSquaredNorm,2,smco,10,20261537,-3.3871023556363833e-07,310,0.08809234399814159,3.3871023556363833e-07
NegativeSquaredNorm,2,smco_evo,10,20261537,-3.3871023556363833e-07,310,0.08992297196527943,3.3871023556363833e-07
