table,function,dim,variant,rep,seed,best_value,iterations,wall_time_sec
table1,Rastrigin,2,smco,0,20260527,-0.007245202631388281,501,0.046502631972543895
table1,Rastrigin,2,smco_evo,0,20260527,-0.007245202631388281,501,0.02346428600139916
table1,Rastrigin,2,smco,1,20260528,-0.9967753955494203,501,0.02310053800465539
table1,Rastrigin,2,smco_evo,1,20260528,-0.9967753955494203,501,0.023268193006515503
table1,Rastrigin,2,smco,2,20260529,-0.012917971979177878,501,0.023268627002835274
table1,Rastrigin,2,smco_evo,2,20260529,-0.012917971979177878,501,0.023200034978799522
table1,Rastrigin,2,smco,3,20260530,-0.008447790254429322,501,0.02320911199785769
table1,Rastrigin,2,smco_evo,3,20260530,-0.008447790254429322,501,0.02334246103418991
table1,Rastrigin,2,smco,4,20260531,-0.9957384636504187,501,0.04326465498888865
table1,Rastrigin,2,smco_evo,4,20260531,-0.9957384636504187,501,0.025776689988560975
table1,Rastrigin,2,smco,5,20260532,-0.0114994930966823,501,0.023252984043210745
table1,Rastrigin,2,smco_evo,5,20260532,-0.0114994930966823,501,0.023302111017983407
table1,Rastrigin,2,smco,6,20260533,-0.0055884530188379244,501,0.02322904800530523
table1,Rastrigin,2,smco_evo,6,20260533,-0.0055884530188379244,501,0.0231218509725295
table1,Rastrigin,2,smco,7,20260534,-0.005698877090210885,501,0.023221404990181327
table1,Rastrigin,2,smco_evo,7,20260534,-0.005698877090210885,501,0.023130248999223113
table1,Rastrigin,2,smco,8,20260535,-0.0199331746574245,501,0.02329628198640421
table1,Rastrigin,2,smco_evo,8,20260535,-0.0199331746574245,501,0.042309974029194564
table1,Rastrigin,2,smco,9,20260536,-0.018036076820859392,501,0.023832159989979118
table1,Rastrigin,2,smco_evo,9,20260536,-0.018036076820859392,501,0.023569004028104246
table1,Rastrigin,2,smco,10,20260537,-9.242011073240519e-05,501,0.023563858994748443
table1,Rastrigin,2,smco_evo,10,20260537,-9.242011073240519e-05,501,0.023356020043138415
table1,Rastrigin,2,smco,11,20260538,-0.013331039877272133,501,0.023440591001417488
table1,Rastrigin,2,smco_evo,11,20260538,-0.013331039877272133,501,0.023120588972233236
table1,Rastrigin,2,smco,12,20260539,-0.0026778093557489058,501,0.023294762999285012
table1,Rastrigin,2,smco_evo,12,20260539,-0.0026778093557489058,501,0.02312259201426059
table1,Rastrigin,2,smco,13,20260540,-0.01293540849654562,501,0.024084081989713013
table1,Rastrigin,2,smco_evo,13,20260540,-0.01293540849654562,501,0.025788430008105934
table1,Rastrigin,2,smco,14,20260541,-0.0089389487821947,501,0.04790147196035832
table1,Rastrigin,2,smco_evo,14,20260541,-0.0089389487821947,501,0.02401242800988257
table1,Rastrigin,2,smco,15,20260542,-0.014664100634050214,501,0.02385677699930966
table1,Rastrigin,2,smco_evo,15,20260542,-0.014664100634050214,501,0.023872411984484643
table1,Rastrigin,2,smco,16,20260543,-0.0077379007878590755,501,0.02414271899033338
table1,Rastrigin,2,smco_evo,16,20260543,-0.0077379007878590755,501,0.02370331098791212
table1,Rastrigin,2,smco,17,20260544,-0.006091512291128254,501,0.023721961013507098
table1,Rastrigin,2,smco_evo,17,20260544,-0.006091512291128254,501,0.023135016963351518
table1,Rastrigin,2,smco,18,20260545,-0.0013574229550030736,501,0.023393950948957354
table1,Rastrigin,2,smco_evo,18,20260545,-0.0013574229550030736,501,0.02341758500551805
table1,Rastrigin,2,smco,19,20260546,-0.0120739693665044,501,0.023602001019753516
table1,Rastrigin,2,smco_evo,19,20260546,-0.0120739693665044,501,0.02331025101011619
table1,Rastrigin,2,smco,20,20260547,-0.004646579589646649,501,0.023537748958915472
