function,dim,sense,known_best_objective,smco_mean,evo_mean,smco_mean_time,evo_mean_time,evo_win_reps,smco_win_reps,tie_reps,smco_mean_gap,evo_mean_gap,gap_improvement,decision_basis,decision_metric,outcome
Eggholder,2,min,959.6407,854.3382365681267,903.6501313953756,0.06693427710561081,0.0677558649535058,10,0,10,105.30246343187335,55.990568604624386,49.31189482724896,gap_improvement,49.31189482724896,evo_better
Qing,10,min,-0.0,-79.91476264470806,-71.71336861975136,0.40805756474728694,0.41340934599284085,6,0,14,79.91476264470806,71.71336861975136,8.201394024956699,gap_improvement,8.201394024956699,evo_better
Shubert,2,min,186.7309,175.65029776499097,178.1945044300863,0.22757581855112222,0.22854207464552018,5,0,15,11.080602235009035,8.536395569913683,2.544206665095352,gap_improvement,2.544206665095352,evo_better
Rosenbrock,10,min,-0.0,-0.7932948861820989,-0.7030049150828769,0.546571383200353,0.5532287509588059,10,2,8,0.7932948861820989,0.7030049150828769,0.09028997109922199,gap_improvement,0.09028997109922199,evo_better
Ackley,2,min,-0.0,-0.10897243044335019,-0.0725781991880436,0.23916917039314284,0.23895201009872835,9,0,11,0.10897243044335019,0.0725781991880436,0.03639423125530658,gap_improvement,0.03639423125530658,evo_better
Michalewicz,10,min,,8.986431623523437,9.022455539230739,0.7140589420538163,0.7115876424417366,4,0,16,,,,rep_win_delta,4.0,evo_better
DropWave,2,min,1.0,0.9517772038633503,0.9705354432111013,0.06147716359992046,0.06331160709669348,10,1,9,0.04822279613664967,0.02946455678889854,0.01875823934775113,gap_improvement,0.01875823934775113,evo_better
Rastrigin,2,min,-0.0,-0.012906644846016313,-0.00601624700105301,0.1352426712081069,0.134263134750654,9,0,11,0.012906644846016313,0.00601624700105301,0.006890397844963303,gap_improvement,0.006890397844963303,evo_better
Mishra6,2,min,,3.948108264844889,3.9537931112415508,0.09380062739655841,0.09864913534838707,10,0,10,,,,rep_win_delta,10.0,evo_better
DixonPrice,10,min,-0.0,-0.6747377006648205,-0.6733288913698496,0.5453524262557039,0.5462822030473035,11,0,9,0.6747377006648205,0.6733288913698496,0.001408809294970892,gap_improvement,0.001408809294970892,evo_better
Griewank,2,min,-0.0,-0.007246395469475114,-0.006450682536973879,0.16267076445510611,0.1674813958525192,8,2,10,0.007246395469475114,0.006450682536973879,0.0007957129325012356,gap_improvement,0.0007957129325012356,evo_better
Zakharov,10,min,-0.0,-0.0011504932626823388,-0.001141387854192775,0.5958123098447686,0.5945305852510501,6,6,8,0.0011504932626823388,0.001141387854192775,9.10540848956371e-06,gap_improvement,9.10540848956371e-06,evo_better
SixHumpCamel,2,min,1.0316,1.031627708470567,1.0316281134580163,0.06012298883870244,0.060915640997700395,9,0,11,-2.7708470566867315e-05,-2.81134580160991e-05,4.049874492317855e-07,gap_improvement,4.049874492317855e-07,evo_better
NegativeSquaredNorm,2,max,0.0,-6.681378396421031e-07,-4.0231564235294236e-07,0.09139711464522407,0.09203128840017598,10,0,10,6.681378396421031e-07,4.0231564235294236e-07,2.6582219728916075e-07,gap_improvement,2.6582219728916075e-07,evo_better
McCormick,2,min,1.913222954981037,1.9132226141660145,1.9132227419964554,0.05710297665791586,0.0573261300480226,11,0,9,3.408150222705686e-07,2.129845812604003e-07,1.2783044101016827e-07,gap_improvement,1.2783044101016827e-07,evo_better
Easom,2,min,1.0,0.3981038871771733,0.3981038871775342,0.04025238874310162,0.04095311640412547,1,0,19,0.6018961128228267,0.6018961128224658,3.609335053056384e-13,gap_improvement,3.609335053056384e-13,tie
SquaredNorm,2,max,2.0,2.0,2.0,0.09390785510186106,0.09257375840388704,0,0,20,0.0,0.0,0.0,gap_improvement,0.0,tie
Bukin6,2,min,-0.0,-0.2081842482997392,-0.22326445386911664,0.0557567953976104,0.05743430084257852,4,7,9,0.2081842482997392,0.22326445386911664,-0.015080205569377447,gap_improvement,-0.015080205569377447,smco_better
