label,algo,best_strategy,best_gap_to_reference
Ackley_10d,SMCO_BR_EVO,current-to-best1bin,0.05425000610701343
Ackley_10d,SMCO_EVO,best1bin,0.21701870872821766
Ackley_10d,SMCO_R_EVO,current-to-best1bin,0.05325145086622847
Bukin6_2d,SMCO_BR_EVO,best1bin,0.1067714776622164
Bukin6_2d,SMCO_EVO,best1bin,0.17404214941055848
Bukin6_2d,SMCO_R_EVO,current-to-best1bin,0.09916240320112686
DixonPrice_10d,SMCO_BR_EVO,best1bin,0.1675724343804392
DixonPrice_10d,SMCO_EVO,current-to-best1bin,0.6697306079194487
DixonPrice_10d,SMCO_R_EVO,sobol,0.6340408152397282
DropWave_2d,SMCO_BR_EVO,rand1bin,0.025591295542203185
DropWave_2d,SMCO_EVO,best1bin,0.029403417818607558
DropWave_2d,SMCO_R_EVO,current-to-best1bin,0.025593806200987168
Easom_2d,SMCO_BR_EVO,rand1bin,0.25142864679696175
Easom_2d,SMCO_EVO,rand1bin,0.5225186402401767
Easom_2d,SMCO_R_EVO,rand1bin,0.15089415697141584
Eggholder_2d,SMCO_BR_EVO,rand1bin,82.40106345765935
Eggholder_2d,SMCO_EVO,best1bin,86.2040090125206
Eggholder_2d,SMCO_R_EVO,best1bin,82.33455255050058
Griewank_10d,SMCO_BR_EVO,rand1bin,0.09849467489925919
Griewank_10d,SMCO_EVO,rand1bin,0.3033519310919687
Griewank_10d,SMCO_R_EVO,rand1bin,0.06904263821733206
McCormick_2d,SMCO_BR_EVO,current-to-best1bin,1.7763145176985518e-08
McCormick_2d,SMCO_EVO,rand1bin,1.3406650412051135e-07
McCormick_2d,SMCO_R_EVO,current-to-best1bin,8.1946742724881e-09
Michalewicz_10d,SMCO_BR_EVO,rand1bin,0.565811468281245
Michalewicz_10d,SMCO_EVO,rand1bin,0.5827825604574812
Michalewicz_10d,SMCO_R_EVO,current-to-best1bin,0.6047205336680417
Mishra6_2d,SMCO_BR_EVO,rand1bin,0.025398300762520698
Mishra6_2d,SMCO_EVO,rand1bin,0.0374062480787094
Mishra6_2d,SMCO_R_EVO,sobol,0.030048096859924378
NegativeSquaredNorm_10d,SMCO_BR_EVO,rand1bin,1.2523285991489575e-06
NegativeSquaredNorm_10d,SMCO_EVO,current-to-best1bin,1.3205130061871495e-05
NegativeSquaredNorm_10d,SMCO_R_EVO,rand1bin,1.139290966849092e-06
Qing_10d,SMCO_BR_EVO,current-to-best1bin,5.598512360013424
Qing_10d,SMCO_EVO,rand1bin,51.74610187688796
Qing_10d,SMCO_R_EVO,best1bin,4.717429774179739
Rastrigin_10d,SMCO_BR_EVO,current-to-best1bin,3.739941012374023
Rastrigin_10d,SMCO_EVO,current-to-best1bin,4.01736938505497
Rastrigin_10d,SMCO_R_EVO,current-to-best1bin,4.036489121409903
Rosenbrock_10d,SMCO_BR_EVO,current-to-best1bin,0.12565696425722048
Rosenbrock_10d,SMCO_EVO,rand1bin,0.7442618752487925
Rosenbrock_10d,SMCO_R_EVO,rand1bin,0.14258615322627238
Shubert_2d,SMCO_BR_EVO,rand1bin,0.00012251655653017224
Shubert_2d,SMCO_EVO,current-to-best1bin,0.1287358925521005
Shubert_2d,SMCO_R_EVO,rand1bin,3.1578265437525204
SixHumpCamel_2d,SMCO_BR_EVO,rand1bin,2.36029029654361e-08
SixHumpCamel_2d,SMCO_EVO,best1bin,4.036757661474155e-07
SixHumpCamel_2d,SMCO_R_EVO,rand1bin,1.9608753509814392e-08
SquaredNorm_10d,SMCO_BR_EVO,rand1bin,0.6225639819748672
SquaredNorm_10d,SMCO_EVO,rand1bin,0.18663748935363955
SquaredNorm_10d,SMCO_R_EVO,rand1bin,0.3112560945691545
Zakharov_10d,SMCO_BR_EVO,best1bin,0.05826243683113825
Zakharov_10d,SMCO_EVO,rand1bin,0.03360884764294159
Zakharov_10d,SMCO_R_EVO,best1bin,0.03102450642187151
table1_Ackley_d2_max,SMCO_BR_EVO,rand1bin,0.09396648484839076
table1_Ackley_d2_max,SMCO_EVO,rand1bin,0.1651281901597237
table1_Ackley_d2_max,SMCO_R_EVO,rand1bin,0.10419231776717908
