strategy,algo,cases,mean_gap_to_reference,median_gap_to_reference
rand1bin,SMCO_BR_EVO,42,111.38628900552179,0.09623057987382497
rand1bin,SMCO_EVO,42,87.21881858300027,0.21574764444403902
rand1bin,SMCO_R_EVO,42,86.13494119804524,0.10420408172464946
current-to-best1bin,SMCO_BR_EVO,42,112.91698137763262,0.1066514998199676
current-to-best1bin,SMCO_EVO,42,87.91795583515939,0.22277363252394933
current-to-best1bin,SMCO_R_EVO,42,87.80143216528886,0.10182901802503938
best1bin,SMCO_BR_EVO,42,112.78739927792351,0.10298346644591715
best1bin,SMCO_EVO,42,87.534482819896,0.21085745270470416
best1bin,SMCO_R_EVO,42,87.67160678415105,0.10736332382553115
sobol,SMCO_BR_EVO,42,113.1505802760932,0.12254023647003326
sobol,SMCO_EVO,42,88.15208643054586,0.30838386358897735
sobol,SMCO_R_EVO,42,87.6546783895114,0.10736332382553115
