label,algo,baseline_strategy,strategy,baseline_gap,strategy_gap,gap_improvement_vs_baseline,winner
table1_Ackley_d2_max,SMCO_EVO,rand1bin,current-to-best1bin,0.1651281901597237,0.1711961015992678,-0.006067911439544105,rand1bin
table1_Ackley_d2_max,SMCO_EVO,rand1bin,best1bin,0.1651281901597237,0.1711961015992678,-0.006067911439544105,rand1bin
table1_Ackley_d2_max,SMCO_EVO,rand1bin,sobol,0.1651281901597237,0.1711961015992678,-0.006067911439544105,rand1bin
table1_Ackley_d2_max,SMCO_R_EVO,rand1bin,current-to-best1bin,0.10419231776717908,0.10449563284895191,-0.00030331508177283695,rand1bin
table1_Ackley_d2_max,SMCO_R_EVO,rand1bin,best1bin,0.10419231776717908,0.10449563284895191,-0.00030331508177283695,rand1bin
table1_Ackley_d2_max,SMCO_R_EVO,rand1bin,sobol,0.10419231776717908,0.10449563284895191,-0.00030331508177283695,rand1bin
table1_Ackley_d2_max,SMCO_BR_EVO,rand1bin,current-to-best1bin,0.09396648484839076,0.09859888044745801,-0.004632395599067252,rand1bin
table1_Ackley_d2_max,SMCO_BR_EVO,rand1bin,best1bin,0.09396648484839076,0.09859888044745801,-0.004632395599067252,rand1bin
table1_Ackley_d2_max,SMCO_BR_EVO,rand1bin,sobol,0.09396648484839076,0.09859888044745801,-0.004632395599067252,rand1bin
table1_Ackley_d2_min,SMCO_EVO,rand1bin,current-to-best1bin,0.033058970281130924,0.03159732185321061,0.0014616484279203132,current-to-best1bin
table1_Ackley_d2_min,SMCO_EVO,rand1bin,best1bin,0.033058970281130924,0.03159732185321061,0.0014616484279203132,best1bin
table1_Ackley_d2_min,SMCO_EVO,rand1bin,sobol,0.033058970281130924,0.03159732185321061,0.0014616484279203132,sobol
table1_Ackley_d2_min,SMCO_R_EVO,rand1bin,current-to-best1bin,0.03860527343145986,0.03954022249717131,-0.0009349490657114476,rand1bin
table1_Ackley_d2_min,SMCO_R_EVO,rand1bin,best1bin,0.03860527343145986,0.03954022249717131,-0.0009349490657114476,rand1bin
table1_Ackley_d2_min,SMCO_R_EVO,rand1bin,sobol,0.03860527343145986,0.03954022249717131,-0.0009349490657114476,rand1bin
table1_Ackley_d2_min,SMCO_BR_EVO,rand1bin,current-to-best1bin,0.04405389944286213,0.045226693680361904,-0.0011727942374997746,rand1bin
table1_Ackley_d2_min,SMCO_BR_EVO,rand1bin,best1bin,0.04405389944286213,0.045226693680361904,-0.0011727942374997746,rand1bin
table1_Ackley_d2_min,SMCO_BR_EVO,rand1bin,sobol,0.04405389944286213,0.045226693680361904,-0.0011727942374997746,rand1bin
table1_Griewank_d2_max,SMCO_EVO,rand1bin,current-to-best1bin,0.5016611768960786,0.49809086396587077,0.0035703129302078196,current-to-best1bin
table1_Griewank_d2_max,SMCO_EVO,rand1bin,best1bin,0.5016611768960786,0.49809086396587077,0.0035703129302078196,best1bin
table1_Griewank_d2_max,SMCO_EVO,rand1bin,sobol,0.5016611768960786,0.49809086396587077,0.0035703129302078196,sobol
table1_Griewank_d2_max,SMCO_R_EVO,rand1bin,current-to-best1bin,0.10421584568211983,0.1102310148021104,-0.00601516911999056,rand1bin
table1_Griewank_d2_max,SMCO_R_EVO,rand1bin,best1bin,0.10421584568211983,0.1102310148021104,-0.00601516911999056,rand1bin
table1_Griewank_d2_max,SMCO_R_EVO,rand1bin,sobol,0.10421584568211983,0.1102310148021104,-0.00601516911999056,rand1bin
table1_Griewank_d2_max,SMCO_BR_EVO,rand1bin,current-to-best1bin,0.1457886361273495,0.14395138244461236,0.0018372536827371277,current-to-best1bin
table1_Griewank_d2_max,SMCO_BR_EVO,rand1bin,best1bin,0.1457886361273495,0.14395138244461236,0.0018372536827371277,best1bin
table1_Griewank_d2_max,SMCO_BR_EVO,rand1bin,sobol,0.1457886361273495,0.14395138244461236,0.0018372536827371277,sobol
table1_Griewank_d2_min,SMCO_EVO,rand1bin,current-to-best1bin,0.012152078072715001,0.012860974633683915,-0.0007088965609689142,rand1bin
table1_Griewank_d2_min,SMCO_EVO,rand1bin,best1bin,0.012152078072715001,0.012860974633683915,-0.0007088965609689142,rand1bin
table1_Griewank_d2_min,SMCO_EVO,rand1bin,sobol,0.012152078072715001,0.012860974633683915,-0.0007088965609689142,rand1bin
table1_Griewank_d2_min,SMCO_R_EVO,rand1bin,current-to-best1bin,0.014653769122595833,0.01436117203989478,0.00029259708270105295,current-to-best1bin
table1_Griewank_d2_min,SMCO_R_EVO,rand1bin,best1bin,0.014653769122595833,0.01436117203989478,0.00029259708270105295,best1bin
table1_Griewank_d2_min,SMCO_R_EVO,rand1bin,sobol,0.014653769122595833,0.01436117203989478,0.00029259708270105295,sobol
table1_Griewank_d2_min,SMCO_BR_EVO,rand1bin,current-to-best1bin,0.026817928834341587,0.02528632502032005,0.0015316038140215371,current-to-best1bin
table1_Griewank_d2_min,SMCO_BR_EVO,rand1bin,best1bin,0.026817928834341587,0.02528632502032005,0.0015316038140215371,best1bin
table1_Griewank_d2_min,SMCO_BR_EVO,rand1bin,sobol,0.026817928834341587,0.02528632502032005,0.0015316038140215371,sobol
table1_Michalewicz_d2_max,SMCO_EVO,rand1bin,current-to-best1bin,2.767900776458986e-41,4.938746703491313e-39,-4.911067695726723e-39,rand1bin
table1_Michalewicz_d2_max,SMCO_EVO,rand1bin,best1bin,2.767900776458986e-41,4.938746703491313e-39,-4.911067695726723e-39,rand1bin
table1_Michalewicz_d2_max,SMCO_EVO,rand1bin,sobol,2.767900776458986e-41,4.938746703491313e-39,-4.911067695726723e-39,rand1bin
table1_Michalewicz_d2_max,SMCO_R_EVO,rand1bin,current-to-best1bin,1.025901394553262e-37,1.7005946322164117e-41,1.0257313350900404e-37,current-to-best1bin
table1_Michalewicz_d2_max,SMCO_R_EVO,rand1bin,best1bin,1.025901394553262e-37,1.7005946322164117e-41,1.0257313350900404e-37,best1bin
table1_Michalewicz_d2_max,SMCO_R_EVO,rand1bin,sobol,1.025901394553262e-37,1.7005946322164117e-41,1.0257313350900404e-37,sobol
table1_Michalewicz_d2_max,SMCO_BR_EVO,rand1bin,current-to-best1bin,4.193326252415732e-35,2.7409333520066233e-33,-2.699000089482466e-33,rand1bin
table1_Michalewicz_d2_max,SMCO_BR_EVO,rand1bin,best1bin,4.193326252415732e-35,2.7409333520066233e-33,-2.699000089482466e-33,rand1bin
table1_Michalewicz_d2_max,SMCO_BR_EVO,rand1bin,sobol,4.193326252415732e-35,2.7409333520066233e-33,-2.699000089482466e-33,rand1bin
table1_Michalewicz_d2_min,SMCO_EVO,rand1bin,current-to-best1bin,2.2757165927256295e-06,2.0658634498627038e-06,2.0985314286292578e-07,current-to-best1bin
table1_Michalewicz_d2_min,SMCO_EVO,rand1bin,best1bin,2.2757165927256295e-06,2.0658634498627038e-06,2.0985314286292578e-07,best1bin
table1_Michalewicz_d2_min,SMCO_EVO,rand1bin,sobol,2.2757165927256295e-06,2.0658634498627038e-06,2.0985314286292578e-07,sobol
